=== economy-table90.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Repayment Plan' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21] | col_header=True | row_header=True | metadata=True
Cell O7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S7 | value='Dollars Outstanding            (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U7 | value='Dollars Outstanding           (in billions)' | fill=FFFFFF00 | rows=[6] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V7 | value='Recipients     (in millions)' | fill=FFFFFF00 | rows=[6] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell A8 | value='2013' | fill=00000000 | rows=[7, 8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Q3' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='139.9' | fill=7 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='9.84' | fill=7 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='62.1' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='1.63' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='27.8' | fill=7 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1.27' | fill=7 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='17.5' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0.45' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='20.1' | fill=7 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0.63' | fill=7 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='50.9' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.91' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='1.3' | fill=7 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.04' | fill=7 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='-' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='-' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='4.4' | fill=7 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='0.23' | fill=7 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='37.3' | fill=7 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='0.76' | fill=7 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Q4' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='143.2' | fill=7 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='10' | fill=7 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='63.6' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='1.58' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='35' | fill=7 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1.52' | fill=7 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='11.9' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0.3' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='19.1' | fill=7 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='0.59' | fill=7 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='58' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='1.04' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='2' | fill=7 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='0.06' | fill=7 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='-' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='-' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='5.6' | fill=7 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='0.3' | fill=7 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='33.5' | fill=7 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='0.58' | fill=7 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A10 | value='2014' | fill=00000000 | rows=[9, 10, 11, 12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Q1' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='169.5' | fill=7 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='10.88' | fill=7 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='65.7' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='1.61' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='39.1' | fill=7 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='1.66' | fill=7 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='11.5' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0.28' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='19.2' | fill=7 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='0.58' | fill=7 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='67.9' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='1.21' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='4.1' | fill=7 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='0.11' | fill=7 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='-' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='-' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='5.9' | fill=7 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='0.31' | fill=7 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='30.5' | fill=7 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='0.46' | fill=7 | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Q2' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='168.5' | fill=7 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='10.81' | fill=7 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='65.5' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='1.6' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='41.8' | fill=7 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1.77' | fill=7 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='11.3' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.27' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='20' | fill=7 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.6' | fill=7 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='80.6' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='1.44' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='7.4' | fill=7 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0.19' | fill=7 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='-' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='-' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='6.1' | fill=7 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='0.31' | fill=7 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='37.8' | fill=7 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0.54' | fill=7 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Q3' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='175.8' | fill=7 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='11.11' | fill=7 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='66.1' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='1.61' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='44.8' | fill=7 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='1.89' | fill=7 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='11.3' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0.27' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='20.3' | fill=7 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='0.6' | fill=7 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='91.2' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='1.65' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='9.8' | fill=7 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='0.26' | fill=7 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='-' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='-' | fill=None | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='6.4' | fill=7 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='0.32' | fill=7 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='38.6' | fill=7 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='0.5' | fill=7 | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Q4' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='169.8' | fill=7 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='10.82' | fill=7 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='67.2' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='1.61' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='48.2' | fill=7 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='2.02' | fill=7 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='11.4' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.27' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='20.4' | fill=7 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='0.6' | fill=7 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='102.5' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='1.85' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='12.2' | fill=7 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='0.32' | fill=7 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='-' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='-' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='6.7' | fill=7 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='0.34' | fill=7 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='39.3' | fill=7 | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='0.54' | fill=7 | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A14 | value='2015' | fill=00000000 | rows=[13, 14, 15, 16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Q1' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='192.1' | fill=7 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='11.44' | fill=7 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='70.9' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='1.66' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='53.6' | fill=7 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='2.18' | fill=7 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='11.7' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.27' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='20.9' | fill=7 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0.6' | fill=7 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='116' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='2.07' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='16.9' | fill=7 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='0.41' | fill=7 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='-' | fill=None | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='-' | fill=None | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='6.7' | fill=7 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='0.34' | fill=7 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='34.5' | fill=7 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='0.4' | fill=7 | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Q2' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='188.4' | fill=7 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='11.26' | fill=7 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='70.9' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='1.66' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='56.7' | fill=7 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='2.29' | fill=7 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='11.9' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='0.27' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='21.4' | fill=7 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='0.6' | fill=7 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='130.6' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='2.33' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='21.8' | fill=7 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='0.53' | fill=7 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='-' | fill=None | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='-' | fill=None | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='6.5' | fill=7 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='0.32' | fill=7 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='44.2' | fill=7 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='0.57' | fill=7 | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Q3' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='191.3' | fill=7 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='11.36' | fill=7 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='70.5' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='1.66' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='59.1' | fill=7 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='2.38' | fill=7 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='12.1' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0.28' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='21.8' | fill=7 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0.61' | fill=7 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='145.2' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='2.61' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='26.4' | fill=7 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0.66' | fill=7 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='-' | fill=None | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='-' | fill=None | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='6.1' | fill=7 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='0.31' | fill=7 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='42.3' | fill=7 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='0.42' | fill=7 | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Q4' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='183.9' | fill=7 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='11.08' | fill=7 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='70.1' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='1.64' | fill=None | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='60.7' | fill=7 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='2.43' | fill=7 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='12.2' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0.27' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='22.1' | fill=7 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='0.61' | fill=7 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='157.7' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='2.83' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='30.5' | fill=7 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='0.77' | fill=7 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='-' | fill=None | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='-' | fill=None | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='6.1' | fill=7 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='0.31' | fill=7 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='42.6' | fill=7 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='0.45' | fill=7 | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell A18 | value='2016' | fill=00000000 | rows=[17, 18, 19, 20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Q1' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='202.9' | fill=7 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='11.47' | fill=7 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='72.1' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='1.66' | fill=None | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='65.9' | fill=7 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
