=== environment-table12.xlsx ===
Cell A1 | value='June 2008 Agricultural and Horticultural Survey - England' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A7 | value='COUNTY/REGION FILTER (select a county or region)' | fill=FFFFFF00 | rows=[6] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B7 | value='2007' | fill=43 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='2008' | fill=43 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E7 | value='2007' | fill=43 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='2008' | fill=43 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H7 | value='2007' | fill=43 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='2008' | fill=43 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K7 | value='2007' | fill=43 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='2008' | fill=43 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N7 | value='2007' | fill=43 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='2008' | fill=43 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='2007' | fill=43 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='2008' | fill=43 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T7 | value='2007' | fill=43 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='2008' | fill=43 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W7 | value='2007' | fill=43 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='2008' | fill=43 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z7 | value='2007' | fill=43 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='2008' | fill=43 | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC7 | value='2007' | fill=43 | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='2008' | fill=43 | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF7 | value='2007' | fill=44 | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='2008' | fill=44 | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI7 | value='2007' | fill=44 | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='2008' | fill=44 | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL7 | value='2007' | fill=44 | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='2008' | fill=44 | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO7 | value='2007' | fill=44 | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP7 | value='2008' | fill=44 | rows=[6] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR7 | value='2007' | fill=44 | rows=[6] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS7 | value='2008' | fill=44 | rows=[6] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT7 | value='% change' | fill=44 | rows=[6] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU7 | value='2007' | fill=46 | rows=[6] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV7 | value='2008' | fill=46 | rows=[6] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell A8 | value='ENGLAND' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='23565' | fill=43 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='24197' | fill=43 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='2.681943560364948' | fill=43 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='8565' | fill=43 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='8124' | fill=43 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='-5.148861646234676' | fill=43 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='8940' | fill=43 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='9046' | fill=43 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='1.185682326621924' | fill=43 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='2453' | fill=43 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2600' | fill=43 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='5.992662046473705' | fill=43 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='6192' | fill=43 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='6806' | fill=43 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='9.916020671834627' | fill=43 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='10649' | fill=43 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='10112' | fill=43 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='-5.042727016621279' | fill=43 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='13025' | fill=43 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='13015' | fill=43 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='-0.07677543186180423' | fill=43 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='32768' | fill=43 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='32785' | fill=43 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='0.0518798828125' | fill=43 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='9285' | fill=43 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='9355' | fill=43 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='0.7539041464728056' | fill=43 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='92724' | fill=43 | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='94480' | fill=43 | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE8 | value='1.89379232992537' | fill=43 | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF8 | value='92947' | fill=44 | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG8 | value='95084' | fill=44 | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH8 | value='2.2991597361937446' | fill=44 | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI8 | value='40134' | fill=44 | rows=[7] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ8 | value='40232' | fill=44 | rows=[7] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK8 | value='0.2441819903323865' | fill=44 | rows=[7] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL8 | value='27179' | fill=44 | rows=[7] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM8 | value='27399' | fill=44 | rows=[7] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN8 | value='0.8094484712461827' | fill=44 | rows=[7] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO8 | value='21309' | fill=44 | rows=[7] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP8 | value='21237' | fill=44 | rows=[7] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ8 | value='-0.3378854005349852' | fill=44 | rows=[7] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR8 | value='26597' | fill=44 | rows=[7] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS8 | value='26568' | fill=44 | rows=[7] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT8 | value='-0.10903485355491221' | fill=44 | rows=[7] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU8 | value='208166' | fill=46 | rows=[7] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV8 | value='210520' | fill=46 | rows=[7] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW8 | value='1.1308282812755204' | fill=46 | rows=[7] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A10 | value='HARTLEPOOL AND STOCKTON-ON-TEES' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='89' | fill=43 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='90' | fill=43 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='1.1235955056179776' | fill=43 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='#' | fill=43 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='#' | fill=43 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='-' | fill=43 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='10' | fill=43 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='10' | fill=43 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0' | fill=43 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='#' | fill=43 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='#' | fill=43 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='-' | fill=43 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='12' | fill=43 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='8' | fill=43 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='-33.33333333333333' | fill=43 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='#' | fill=43 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='#' | fill=43 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='-' | fill=43 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='0' | fill=43 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='0' | fill=43 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='0' | fill=43 | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='45' | fill=43 | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='45' | fill=43 | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='0' | fill=43 | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='18' | fill=43 | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA10 | value='#' | fill=43 | rows=[9] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB10 | value='-' | fill=43 | rows=[9] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC10 | value='135' | fill=43 | rows=[9] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD10 | value='137' | fill=43 | rows=[9] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE10 | value='1.4814814814814816' | fill=43 | rows=[9] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF10 | value='144' | fill=44 | rows=[9] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG10 | value='144' | fill=44 | rows=[9] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH10 | value='0' | fill=44 | rows=[9] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI10 | value='47' | fill=44 | rows=[9] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ10 | value='44' | fill=44 | rows=[9] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK10 | value='-6.382978723404255' | fill=44 | rows=[9] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL10 | value='40' | fill=44 | rows=[9] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM10 | value='41' | fill=44 | rows=[9] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN10 | value='2.5' | fill=44 | rows=[9] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO10 | value='51' | fill=44 | rows=[9] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP10 | value='49' | fill=44 | rows=[9] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ10 | value='-3.9215686274509802' | fill=44 | rows=[9] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR10 | value='38' | fill=44 | rows=[9] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS10 | value='38' | fill=44 | rows=[9] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT10 | value='0' | fill=44 | rows=[9] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU10 | value='320' | fill=46 | rows=[9] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV10 | value='316' | fill=46 | rows=[9] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW10 | value='-1.25' | fill=46 | rows=[9] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A11 | value='SOUTH TEESSIDE' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='52' | fill=43 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='57' | fill=43 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='9.615384615384617' | fill=43 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='#' | fill=43 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='#' | fill=43 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='-' | fill=43 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='8' | fill=43 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='10' | fill=43 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='25' | fill=43 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='#' | fill=43 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='#' | fill=43 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='-' | fill=43 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='9' | fill=43 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='10' | fill=43 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='11.11111111111111' | fill=43 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='12' | fill=43 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='13' | fill=43 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='8.333333333333332' | fill=43 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='21' | fill=43 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='21' | fill=43 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0' | fill=43 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='30' | fill=43 | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='25' | fill=43 | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y11 | value='-16.666666666666664' | fill=43 | rows=[10] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z11 | value='29' | fill=43 | rows=[10] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA11 | value='27' | fill=43 | rows=[10] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB11 | value='-6.896551724137931' | fill=43 | rows=[10] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC11 | value='131' | fill=43 | rows=[10] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD11 | value='130' | fill=43 | rows=[10] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE11 | value='-0.7633587786259541' | fill=43 | rows=[10] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF11 | value='138' | fill=44 | rows=[10] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG11 | value='139' | fill=44 | rows=[10] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH11 | value='0.7246376811594203' | fill=44 | rows=[10] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI11 | value='51' | fill=44 | rows=[10] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ11 | value='47' | fill=44 | rows=[10] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK11 | value='-7.8431372549019605' | fill=44 | rows=[10] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL11 | value='38' | fill=44 | rows=[10] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM11 | value='40' | fill=44 | rows=[10] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN11 | value='5.263157894736842' | fill=44 | rows=[10] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO11 | value='29' | fill=44 | rows=[10] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP11 | value='31' | fill=44 | rows=[10] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ11 | value='6.896551724137931' | fill=44 | rows=[10] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR11 | value='47' | fill=44 | rows=[10] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS11 | value='46' | fill=44 | rows=[10] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT11 | value='-2.127659574468085' | fill=44 | rows=[10] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU11 | value='303' | fill=46 | rows=[10] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV11 | value='303' | fill=46 | rows=[10] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW11 | value='0' | fill=46 | rows=[10] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A12 | value='DARLINGTON' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='72' | fill=43 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='77' | fill=43 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='6.944444444444445' | fill=43 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='12' | fill=43 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='13' | fill=43 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='8.333333333333332' | fill=43 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='#' | fill=43 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='#' | fill=43 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='-' | fill=43 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='#' | fill=43 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='#' | fill=43 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='-' | fill=43 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='10' | fill=43 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='12' | fill=43 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='20' | fill=43 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='8' | fill=43 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='8' | fill=43 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='0' | fill=43 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='0' | fill=43 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='0' | fill=43 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='0' | fill=43 | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
