=== health-table13.xlsx ===
Cell A1 | value='DAILY TRACKER' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=False
Cell A3 | value='2017-02-02 00:00:00' | fill=None | rows=[2, 3, 4, 5, 6, 7, 8, 9, 10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='MORNING' | fill=None | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='FOOD' | fill=None | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='FRUITS' | fill=None | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='Fruit Salad' | fill=None | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2 cups' | fill=None | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='75' | fill=None | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='2' | fill=None | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='15' | fill=None | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='4' | fill=None | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B4 | value='MORNING' | fill=None | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='DRINK' | fill=None | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='COFFEE' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='2 Creamers' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='20 oz' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='90' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='4' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='2' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='2' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B5 | value='AFTERNOON' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='FOOD' | fill=None | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='GRAINS' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Sub Roll' | fill=None | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='1' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='400' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='5' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='20' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='5' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B6 | value='AFTERNOON' | fill=None | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='FOOD' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='MEATS & POULTRY' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Roast Beef' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='6 oz' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='10' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='4' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='16' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M6 | value='400' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='111' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell B7 | value='EVENING' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='FOOD' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='OILS & FATS' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Mayonnaise' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='1 tbsp' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='60' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='500' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='4' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='1' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B8 | value='EVENING' | fill=None | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='DRINK' | fill=None | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='BEER' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2 Lagers' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='24 oz' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='20' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='36' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='2' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B9 | value='EVENING' | fill=None | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='ACTIVITY' | fill=None | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='WEIGHTLIFTING' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Bicep Curls' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell M9 | value='45' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='10' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='3' | fill=None | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B10 | value='EVENING' | fill=None | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='WEIGH-IN' | fill=None | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell P10 | value='220' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell C11 | value='DAILY TOTALS' | fill=FF00B050 | rows=[10] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell G11 | value='655' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='515' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='79' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='30' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0' | fill=None | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='445' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='121' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='3' | fill=None | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='220' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell A12 | value='2017-02-03 00:00:00' | fill=None | rows=[11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='MORNING' | fill=None | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='ACTIVITY' | fill=None | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='RUNNING' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Morning run in park' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell K12 | value='30' | fill=None | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='300' | fill=None | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B13 | value='MORNING' | fill=None | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='FOOD' | fill=None | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='EGGS' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='2 Scrambled' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='2' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='120' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='4' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='2' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='16' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B14 | value='MORNING' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='FOOD' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='GRAINS' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Wheat Toast' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='1 slice' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='5000' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='2' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='24' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='6' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B15 | value='MORNING' | fill=None | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='DRINK' | fill=None | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='COFFEE' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='2 Creamers' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='20 oz' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='90' | fill=None | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='4' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='2' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='2' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B16 | value='AFTERNOON' | fill=None | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='FOOD' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='VEGETABLES' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='Garden Salad' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='2 cups' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='45' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='100' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='8' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B17 | value='AFTERNOON' | fill=None | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='FOOD' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='OILS & FATS' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='Ranch Dressing' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='1 tbsp' | fill=None | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='80' | fill=None | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='5' | fill=None | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='4' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='1' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B18 | value='AFTERNOON' | fill=None | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='DRINK' | fill=None | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='WATER' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F18 | value='20 oz' | fill=None | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='0' | fill=None | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0' | fill=None | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='0' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='0' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B19 | value='AFTERNOON' | fill=None | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='ACTIVITY' | fill=None | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='WALKING' | fill=None | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='Walk around the block' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell K19 | value='30' | fill=None | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='1' | fill=None | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B20 | value='EVENING' | fill=None | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='FOOD' | fill=None | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='FISH & SEAFOOD' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='Salmon' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='6 oz' | fill=None | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='110' | fill=None | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='2' | fill=None | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='4' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='24' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B21 | value='EVENING' | fill=None | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='FOOD' | fill=None | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='GRAINS' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='Hamburger Bun' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1' | fill=None | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='125' | fill=None | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='2' | fill=None | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='28' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='4' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B22 | value='EVENING' | fill=None | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='FOOD' | fill=None | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='VEGETABLES' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='Lettuce & Tomato' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='2 oz' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='15' | fill=None | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0' | fill=None | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='2' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='1' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell N22 | value='200' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell B23 | value='EVENING' | fill=None | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='DRINK' | fill=None | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='WINE' | fill=None | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='a nice Cabernet' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='8 oz' | fill=None | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='125' | fill=None | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0' | fill=None | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='0' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='0' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B24 | value='EVENING' | fill=None | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='ACTIVITY' | fill=None | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='PUSH-UPS' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='Buzzed Push-ups' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N24 | value='10' | fill=None | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='3' | fill=None | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B25 | value='EVENING' | fill=None | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='WEIGH-IN' | fill=None | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell P25 | value='219' | fill=None | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell C26 | value='DAILY TOTALS' | fill=FF00B050 | rows=[25] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell G26 | value='5710' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='19' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='166' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='62' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='60' | fill=None | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='301' | fill=None | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='0' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='210' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='3' | fill=None | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='219' | fill=None | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell A27 | value='2017-02-04 00:00:00' | fill=None | rows=[26, 27, 28, 29, 30, 31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='MORNING' | fill=None | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='ACTIVITY' | fill=None | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='RUNNING' | fill=None | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Springfield Marathon' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell K27 | value='160' | fill=None | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='26.2' | fill=None | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B28 | value='MORNING' | fill=None | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='FOOD' | fill=None | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='SUGARS & EXTRAS' | fill=None | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='1 Bacon Ranch Pizza' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='8' | fill=None | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='40' | fill=None | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='240' | fill=None | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='200' | fill=None | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='45' | fill=None | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B29 | value='MORNING' | fill=None | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='DRINK' | fill=None | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='BEER' | fill=None | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='1 Case of beer' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='24' | fill=None | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='20' | fill=None | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0' | fill=None | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='450' | fill=None | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='24' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B30 | value='AFTERNOON' | fill=None | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='FOOD' | fill=None | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='VEGETABLES' | fill=None | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='1 Jar of Olives' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='10' | fill=None | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='10' | fill=None | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='30' | fill=None | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='50' | fill=None | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='4' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B31 | value='AFTERNOON' | fill=None | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='ACTIVITY' | fill=None | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='YOGA' | fill=None | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Bikram Yoga' | fill=None | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell K31 | value='60' | fill=None | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell C32 | value='DAILY TOTALS' | fill=FF00B050 | rows=[31] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell G32 | value='70' | fill=None | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='270' | fill=None | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='700' | fill=None | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
