=== economy-table106.xlsx ===
Cell A1 | value='Table 8. Digital Economy Current-Dollar Value Added by Industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=True | metadata=True
Cell W3 | value='2013' | fill=None | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='2014' | fill=None | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='2015' | fill=None | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='2016' | fill=None | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='2017' | fill=None | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell A4 | value='All Industries' | fill=None | rows=[3] | cols=[0, 1, 2, 3, 4, 5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='505.279592719757' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='540.114926700521' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='582.772125618216' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='627.288171692841' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='605.630957727877' | fill=None | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='614.927039438745' | fill=None | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='647.746957397156' | fill=None | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='705.826265897778' | fill=None | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='755.873710060848' | fill=None | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='787.131966427997' | fill=None | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='849.622244587932' | fill=None | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='891.119266515767' | fill=None | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='893.636896832427' | fill=None | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='944.655371047249' | fill=None | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='978.322380133057' | fill=None | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='998.253232899989' | fill=None | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='1067.60306912588' | fill=None | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='1096.47839660751' | fill=None | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='1193.46951984063' | fill=None | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='1276.96556491805' | fill=None | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='1351.27786209174' | fill=None | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Private industries' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell G5 | value='497.295543866561' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='531.81658811185' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='574.704795620361' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='619.388322183773' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='596.243559044361' | fill=None | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='605.060145032858' | fill=None | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='637.674805968051' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='695.261614357378' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='744.878067979316' | fill=None | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='775.528025243849' | fill=None | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='837.646803355237' | fill=None | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='878.443111142217' | fill=None | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='880.77880787832' | fill=None | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='931.088921799203' | fill=None | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='964.834141523265' | fill=None | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='987.589107698193' | fill=None | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='1055.07116845279' | fill=None | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='1084.1221745555' | fill=None | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='1181.04115437941' | fill=None | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='1264.23273088507' | fill=None | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='1338.1262307667' | fill=None | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Agriculture and mining' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0.479010028664996' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0.350205718934735' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0.320500694542783' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0.325500861814998' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0.304364045542948' | fill=None | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='0.0941092327709055' | fill=None | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='0.0835753357142857' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='0.0940924192931946' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0.113473058050235' | fill=None | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='0.131281530648649' | fill=None | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='0.166654404478261' | fill=None | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='0.126248937349446' | fill=None | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='0.12015336385' | fill=None | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='0.144210525559322' | fill=None | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='0.153192348407692' | fill=None | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='0.200467097140666' | fill=None | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='0.174078907995096' | fill=None | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='0.260222258842011' | fill=None | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='0.235821095589112' | fill=None | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='0.212721281459728' | fill=None | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='0.147607162986885' | fill=None | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Utilities' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.433391166606227' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.295555910564707' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0.44677853341775' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0.601058272078155' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.607955427096272' | fill=None | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='0.395552795458954' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0.404093944567307' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.409268879369281' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.402007487663101' | fill=None | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.363884652774249' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0.444678273363636' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='0.515808021438986' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='0.515134323391833' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='0.4494920364' | fill=None | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='0.445377279462338' | fill=None | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0.421484041462311' | fill=None | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='0.415921817495701' | fill=None | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='0.438430423837054' | fill=None | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='0.487786669577284' | fill=None | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='0.49857368997366' | fill=None | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='0.506952435566326' | fill=None | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Construction' | fill=None | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.616' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0.473' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0.584' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0.488' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.278' | fill=None | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0.213325938' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='0.186736779' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.184886964' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.171348924' | fill=None | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.166995319' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0.18078192' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0.20106686745' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='0.201052225725' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='0.1636512066' | fill=None | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='0.16889084215' | fill=None | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='0.217598167864854' | fill=None | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='0.2334583578' | fill=None | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='0.23897264145' | fill=None | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='0.25489556175' | fill=None | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='0.333923170736918' | fill=None | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='0.410455452701146' | fill=None | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Manufacturing' | fill=None | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G9 | value='134.63058515696' | fill=None | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='129.645892139196' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='128.79840460706' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='157.259296911204' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='113.049698104717' | fill=None | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='107.095245713552' | fill=None | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='120.534780861621' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='124.136782333077' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='132.748689620379' | fill=None | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='141.37306465884' | fill=None | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='138.059669027744' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='135.021847984527' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='124.700890055579' | fill=None | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='132.815881049847' | fill=None | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='127.076231652294' | fill=None | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='109.647255330941' | fill=None | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='110.204126260722' | fill=None | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='112.910197511158' | fill=None | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y9 | value='122.964978463122' | fill=None | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z9 | value='121.79758451367' | fill=None | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA9 | value='129.841224042606' | fill=None | rows=[8] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Durable goods' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G10 | value='131.740291893258' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='127.370816712163' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='126.247704687189' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='155.411427708648' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='111.398815537577' | fill=None | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='105.826825981168' | fill=None | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='119.329190582971' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='122.835397297315' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='131.44631958682' | fill=None | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='139.762378907424' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='136.791180128136' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='133.499884206646' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='123.446089363527' | fill=None | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='131.735885060704' | fill=None | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='125.991663612624' | fill=None | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='108.163368376838' | fill=None | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='108.658928626821' | fill=None | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='111.404406073579' | fill=None | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='121.338089569362' | fill=None | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='120.27729381664' | fill=None | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA10 | value='128.299503058663' | fill=None | rows=[9] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Wood products' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0.0558760662790614' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.0447592574418532' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0.0509344706976654' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.0426789418432185' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.0328176618604572' | fill=None | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.0171429475732288' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='0.0134599913182836' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0.0159715443243753' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.0102446278140347' | fill=None | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0.0227409644491947' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='0.0240811940560837' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.0258566367085515' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='0.00789585779980574' | fill=None | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='0.00876732872672157' | fill=None | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='0.00910338764973939' | fill=None | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0.0179150733' | fill=None | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='0.01632394215' | fill=None | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='0.0180531351' | fill=None | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y11 | value='0.0118547860296285' | fill=None | rows=[10] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z11 | value='0.0105694091846951' | fill=None | rows=[10] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA11 | value='0.01709717115' | fill=None | rows=[10] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Nonmetallic mineral products' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0.173' | fill=None | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0.129' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0.138' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0.113138265946093' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0.098' | fill=None | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='0.034454736' | fill=None | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='0.022508254' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='0.020873872' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='0.021339078' | fill=None | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='0.02078479' | fill=None | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='0.021389376' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='0.0374597371072429' | fill=None | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='0.0333245864250939' | fill=None | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='0.033391136364695' | fill=None | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='0.0253032016548302' | fill=None | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='0.0755012204862078' | fill=None | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='0.10697831760327' | fill=None | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X12 | value='0.0944017598586317' | fill=None | rows=[11] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y12 | value='0.111931938438744' | fill=None | rows=[11] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z12 | value='0.130004913337954' | fill=None | rows=[11] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA12 | value='0.155825967521943' | fill=None | rows=[11] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Primary metals' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G13 | value='0.311265902757733' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0.280232690293878' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='0.24557080649455' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.142572204390957' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='0.17988571620105' | fill=None | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='0.158566544518632' | fill=None | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='0.120023031322024' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='0.136158047968844' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='0.126964608981044' | fill=None | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='0.10349033870406' | fill=None | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='0.0541757102126039' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='0.107568069694467' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='0.134695478040226' | fill=None | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='0.141936409868627' | fill=None | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='0.146056460586911' | fill=None | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='0.0887543121857055' | fill=None | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='0.0847706204668683' | fill=None | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X13 | value='0.0895479944622302' | fill=None | rows=[12] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y13 | value='0.104543513586647' | fill=None | rows=[12] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z13 | value='0.116525676809537' | fill=None | rows=[12] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA13 | value='0.148598317716339' | fill=None | rows=[12] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Fabricated metal products' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0.541352090486778' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0.519851617090701' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0.573258335915596' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.56800289981158' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0.590623616755325' | fill=None | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
