=== environment-table19.xlsx ===
Cell A1 | value='Table 3 Scientific procedures by species of animal, primary purpose and genetic status' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell D12 | value='322518' | fill=43 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='1528388' | fill=43 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='2679763' | fill=43 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Rat' | fill=43 | rows=[12, 13, 14, 15, 16, 17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Fundamental biological research' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='82249' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='1874' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='2368' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='86491' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Applied studies' | fill=47 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='136637' | fill=47 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='1235' | fill=47 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0' | fill=47 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='137872' | fill=47 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Safety' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='33064' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='0' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='33064' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Other  uses' | fill=47 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='1171' | fill=47 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0' | fill=47 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='0' | fill=47 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='1171' | fill=47 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Breeding of GM or HM' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='2506' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='8285' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='2146' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='12937' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Total' | fill=43 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='255627' | fill=43 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='11394' | fill=43 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='4514' | fill=43 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='271535' | fill=43 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Guinea pig' | fill=43 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Fundamental biological research' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='1336' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='-' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='-' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='1336' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Applied studies' | fill=47 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='11999' | fill=47 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='-' | fill=47 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='-' | fill=47 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='11999' | fill=47 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Safety' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='39' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='-' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='-' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='39' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Other  uses' | fill=47 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='286' | fill=47 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='-' | fill=47 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='-' | fill=47 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='286' | fill=47 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Breeding of GM or HM' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='-' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='-' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='-' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='0' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Total' | fill=43 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='13660' | fill=43 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='0' | fill=43 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='0' | fill=43 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='13660' | fill=43 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Hamster' | fill=43 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Fundamental biological research' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='853' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='-' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='-' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='853' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Applied studies' | fill=47 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='3229' | fill=47 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-' | fill=47 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='-' | fill=47 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='3229' | fill=47 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Safety' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='61' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='-' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='-' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='61' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Other  uses' | fill=47 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='-' | fill=47 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='-' | fill=47 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='-' | fill=47 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='0' | fill=47 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Breeding of GM or HM' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='-' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='-' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='-' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='0' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Total' | fill=43 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='4143' | fill=43 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='0' | fill=43 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='0' | fill=43 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='4143' | fill=43 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A31 | value='Gerbil' | fill=43 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Fundamental biological research' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='560' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='-' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='-' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='560' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Applied studies' | fill=47 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='-' | fill=47 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='-' | fill=47 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='-' | fill=47 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='0' | fill=47 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Safety' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='-' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='-' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='-' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='0' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Other  uses' | fill=47 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='-' | fill=47 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='-' | fill=47 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='-' | fill=47 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='0' | fill=47 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Breeding of GM or HM' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='-' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='-' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='-' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='0' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Total' | fill=43 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='560' | fill=43 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='0' | fill=43 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0' | fill=43 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='560' | fill=43 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A37 | value='Other rodent' | fill=43 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Fundamental biological research' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='909' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='-' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='-' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='909' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Applied studies' | fill=47 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='69' | fill=47 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='-' | fill=47 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='-' | fill=47 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='69' | fill=47 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Safety' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='566' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='-' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='-' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='566' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Other  uses' | fill=47 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='-' | fill=47 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='-' | fill=47 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='-' | fill=47 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='0' | fill=47 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B41 | value='Breeding of GM or HM' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='-' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='-' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='-' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='0' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Total' | fill=43 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='1544' | fill=43 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='0' | fill=43 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='0' | fill=43 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='1544' | fill=43 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A43 | value='Rabbit' | fill=43 | rows=[42, 43, 44, 45, 46, 47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Fundamental biological research' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='1467' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='0' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='0' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='1467' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Applied studies' | fill=47 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='10719' | fill=47 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='0' | fill=47 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='0' | fill=47 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='10719' | fill=47 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Safety' | fill=00000000 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='1767' | fill=00000000 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='0' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='0' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='1767' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Other  uses' | fill=47 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='1482' | fill=47 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='0' | fill=47 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='0' | fill=47 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='1482' | fill=47 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Breeding of GM or HM' | fill=00000000 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='13' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='0' | fill=00000000 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='13' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F47 | value='26' | fill=00000000 | rows=[46] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Total' | fill=43 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='15448' | fill=43 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='0' | fill=43 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='13' | fill=43 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F48 | value='15461' | fill=43 | rows=[47] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A49 | value='Cat' | fill=43 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B49 | value='Fundamental biological research' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='13' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='-' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='-' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F49 | value='13' | fill=00000000 | rows=[48] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Applied studies' | fill=47 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='174' | fill=47 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='-' | fill=47 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='-' | fill=47 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F50 | value='174' | fill=47 | rows=[49] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B51 | value='Safety' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='-' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='-' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='-' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F51 | value='0' | fill=00000000 | rows=[50] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B52 | value='Other  uses' | fill=47 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='-' | fill=47 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='-' | fill=47 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='-' | fill=47 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F52 | value='0' | fill=47 | rows=[51] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B53 | value='Breeding of GM or HM' | fill=00000000 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='-' | fill=00000000 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D53 | value='-' | fill=00000000 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E53 | value='-' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='0' | fill=00000000 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B54 | value='Total' | fill=43 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C54 | value='187' | fill=43 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D54 | value='0' | fill=43 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E54 | value='0' | fill=43 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F54 | value='187' | fill=43 | rows=[53] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A55 | value='Dog - Beagle' | fill=43 | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Fundamental biological research' | fill=00000000 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='285' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='-' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='-' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
