=== employment-table31.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell N15 | value='138208.098103955' | fill=9 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='137847.909491087' | fill=9 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='101333.832049128' | fill=9 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='105814.326770567' | fill=9 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='108000.339322394' | fill=9 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='109834.851788233' | fill=9 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='1479380.78022561' | fill=9 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='1487726.41268325' | fill=9 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Heritage' | fill=9 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='4905.72' | fill=9 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='2993.09' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='4826.05' | fill=9 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='1438.88' | fill=9 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='11891.77' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='14453.35' | fill=9 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='1545.52' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='987.96' | fill=9 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='5343.34' | fill=9 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='4617.2' | fill=9 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='6810.96' | fill=9 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='5631.98' | fill=9 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='6655.59' | fill=9 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='7880.3' | fill=9 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='5251.82' | fill=9 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='5590.64' | fill=9 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='4693.17' | fill=9 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='4308.17' | fill=9 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='54179.34' | fill=9 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='49618.05' | fill=9 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A17 | value='MLA' | fill=9 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='8486.79' | fill=9 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='6694.33' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='8541.59' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='9179.39' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='27818.42' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='25227.46' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='4837.79' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='4715.56' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='13344.44' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='11196.87' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='15436.86' | fill=9 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='14328.54' | fill=9 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='11691.11' | fill=9 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='12640.44' | fill=9 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='10179.64' | fill=9 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='11925.21' | fill=9 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='12249.09' | fill=9 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='11606.17' | fill=9 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='112827.38' | fill=9 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='108034.62' | fill=9 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Sport' | fill=9 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='22644.44' | fill=9 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='24326.74' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='29764.99' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='32580.54' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='36061.45' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='40609.78' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='15422.23' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='13957.55' | fill=9 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='35269.46' | fill=9 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='37995.75' | fill=9 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='62655.69' | fill=9 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='61304.65' | fill=9 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='33556.78' | fill=9 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='30487.28' | fill=9 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='32699.79' | fill=9 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='25532.66' | fill=9 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='27877.23' | fill=9 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='28792.05' | fill=9 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='298592.4' | fill=9 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='296468' | fill=9 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A20 | value='CASE' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='123879.810384893' | fill=9 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='119420.221560335' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='181384.043145119' | fill=9 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='176618.535319473' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='527559.508801883' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='538957.589869109' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='65968.1094752818' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='62268.5241766872' | fill=9 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='198983.640546636' | fill=9 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='195537.17877145' | fill=9 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='336391.518396321' | fill=9 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='338550.509936305' | fill=9 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='190111.578103955' | fill=9 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='188855.929491087' | fill=9 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='149465.082049128' | fill=9 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='148862.836770567' | fill=9 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='152819.829322394' | fill=9 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='154541.241788233' | fill=9 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='1944979.90022561' | fill=9 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='1941847.08268325' | fill=9 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False

