=== environment-table38.xlsx ===
Cell A1 | value='Forest Type' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C5 | value='2' | fill=00000000 | rows=[4, 5, 6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Fall' | fill=00000000 | rows=[4, 5, 6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='2012' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='7' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E6 | value='2013' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='55.3333333333333' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2014' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='91' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C8 | value='3' | fill=00000000 | rows=[7, 8, 9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='Fall' | fill=00000000 | rows=[7, 8, 9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2012' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='29' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E9 | value='2013' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='55.3333333333333' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E10 | value='2014' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='88.3333333333333' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C11 | value='4' | fill=00000000 | rows=[10, 11, 12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Fall' | fill=00000000 | rows=[10, 11, 12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='2012' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='19.3333333333333' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E12 | value='2013' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='45.3333333333333' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E13 | value='2014' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='96.6666666666667' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Control' | fill=00000000 | rows=[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='1' | fill=00000000 | rows=[13, 14, 15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='Fall' | fill=00000000 | rows=[13, 14, 15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='2012' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='28' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E15 | value='2013' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='26' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E16 | value='2014' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='55.6666666666667' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C17 | value='2' | fill=00000000 | rows=[16, 17, 18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='Fall' | fill=00000000 | rows=[16, 17, 18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='2012' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='27.6666666666667' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E18 | value='2013' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='13.3333333333333' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E19 | value='2014' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='29.6666666666667' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C20 | value='3' | fill=00000000 | rows=[19, 20, 21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='Fall' | fill=00000000 | rows=[19, 20, 21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='2012' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='17.6666666666667' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E21 | value='2013' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='24' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E22 | value='2014' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='32.3333333333333' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C23 | value='4' | fill=00000000 | rows=[22, 23, 24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='Fall' | fill=00000000 | rows=[22, 23, 24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='2012' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='10.3333333333333' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E24 | value='2013' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='18.3333333333333' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E25 | value='2014' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='17' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Ponderosa pine' | fill=00000000 | rows=[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Burn' | fill=00000000 | rows=[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='1' | fill=00000000 | rows=[25, 26, 27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='Fall' | fill=00000000 | rows=[25, 26, 27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='2012' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='72' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E27 | value='2013' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='93.6666666666667' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E28 | value='2014' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='97.6666666666667' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C29 | value='2' | fill=00000000 | rows=[28, 29, 30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='Fall' | fill=00000000 | rows=[28, 29, 30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='2012' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='15.3333333333333' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E30 | value='2013' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='32' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E31 | value='2014' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='57.3333333333333' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C32 | value='3' | fill=00000000 | rows=[31, 32, 33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='Fall' | fill=00000000 | rows=[31, 32, 33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='2012' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='56.3333333333333' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E33 | value='2013' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='79.6666666666667' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E34 | value='2014' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='86.6666666666667' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C35 | value='4' | fill=00000000 | rows=[34, 35, 36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='Fall' | fill=00000000 | rows=[34, 35, 36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='2012' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='26.3333333333333' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E36 | value='2013' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='61' | fill=00000000 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E37 | value='2014' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='95.3333333333333' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Control' | fill=00000000 | rows=[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='1' | fill=00000000 | rows=[37, 38, 39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='Fall' | fill=00000000 | rows=[37, 38, 39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='2012' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='27' | fill=00000000 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E39 | value='2013' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='15.6666666666667' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E40 | value='2014' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='31.6666666666667' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C41 | value='2' | fill=00000000 | rows=[40, 41, 42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='Fall' | fill=00000000 | rows=[40, 41, 42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='2012' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='35.3333333333333' | fill=00000000 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E42 | value='2013' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='48.3333333333333' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E43 | value='2014' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='47' | fill=00000000 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C44 | value='3' | fill=00000000 | rows=[43, 44, 45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='Fall' | fill=00000000 | rows=[43, 44, 45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='2012' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='8' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E45 | value='2013' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='37.3333333333333' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E46 | value='2014' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='35.6666666666667' | fill=00000000 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell C47 | value='4' | fill=00000000 | rows=[46, 47, 48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='Fall' | fill=00000000 | rows=[46, 47, 48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='2012' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F47 | value='20' | fill=00000000 | rows=[46] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E48 | value='2013' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F48 | value='31.3333333333333' | fill=00000000 | rows=[47] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell E49 | value='2014' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F49 | value='27.6666666666667' | fill=00000000 | rows=[48] | cols=[5] | col_header=False | row_header=False | metadata=False

