=== economy-table88.xlsx ===
Cell A1 | value='Direct Loan Portfolio by Deferment Type' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=True | metadata=True
Cell P9 | value='0.01' | fill=7 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='0.1' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='0.01' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Q3' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='68.4' | fill=7 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='2.58' | fill=7 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='10.2' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='0.22' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='8.5' | fill=7 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0.26' | fill=7 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='5.3' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0.19' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0.3' | fill=7 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='0.01' | fill=7 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='N/A' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='N/A' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='0.6' | fill=7 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='0.01' | fill=7 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='0.1' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='0' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Q4' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='73.2' | fill=7 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='2.76' | fill=7 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='12.5' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0.27' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='7.9' | fill=7 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.23' | fill=7 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='4.9' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.17' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.3' | fill=7 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.01' | fill=7 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='N/A' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='N/A' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.5' | fill=7 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0' | fill=7 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='0' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A12 | value='2016' | fill=00000000 | rows=[11, 12, 13, 14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Q1' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='70.7' | fill=7 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='2.64' | fill=7 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='4.6' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='0.12' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='7.6' | fill=7 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0.21' | fill=7 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='4.5' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0.16' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0.3' | fill=7 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='0.01' | fill=7 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='N/A' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='N/A' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='0.6' | fill=7 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='0.01' | fill=7 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='0' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='0' | fill=None | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Q2' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='88.3' | fill=7 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='3.12' | fill=7 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='4.5' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='0.14' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='7.3' | fill=7 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0.21' | fill=7 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='4.2' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.14' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='0.3' | fill=7 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='0.01' | fill=7 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='N/A' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='N/A' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='0.6' | fill=7 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='0.01' | fill=7 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='0.2' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='0.01' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Q3' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='78.5' | fill=7 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='2.82' | fill=7 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='11.6' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0.24' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='6.8' | fill=7 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0.19' | fill=7 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='3.8' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.13' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0.3' | fill=7 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0.01' | fill=7 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='N/A' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='N/A' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='0.6' | fill=7 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='0' | fill=7 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='0.2' | fill=None | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='0.01' | fill=None | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Q4' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='83.2' | fill=7 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='2.98' | fill=7 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='13.7' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='0.3' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='6.1' | fill=7 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0.16' | fill=7 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='3.4' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='0.11' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='0.3' | fill=7 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='0.01' | fill=7 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='N/A' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='N/A' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='0.4' | fill=7 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='0' | fill=7 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='0' | fill=None | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='0' | fill=None | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A16 | value='2017' | fill=00000000 | rows=[15, 16, 17, 18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Q1' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='81.4' | fill=7 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='2.89' | fill=7 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='5.1' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0.14' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='6.2' | fill=7 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0.16' | fill=7 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='3.3' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0.1' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0.3' | fill=7 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0.01' | fill=7 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='N/A' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='N/A' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='0.5' | fill=7 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0' | fill=7 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='0' | fill=None | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='0' | fill=None | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Q2' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='97.2' | fill=7 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='3.2' | fill=7 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='5.1' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0.15' | fill=None | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='6.6' | fill=7 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0.17' | fill=7 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='3.3' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0.1' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='0.3' | fill=7 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='0.01' | fill=7 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='N/A' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='N/A' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='0.6' | fill=7 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='0' | fill=7 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='0' | fill=None | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='0' | fill=None | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Q3' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='85.3' | fill=7 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='2.86' | fill=7 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='12.5' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='0.26' | fill=None | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='6.7' | fill=7 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0.17' | fill=7 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='3.2' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='0.1' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='0.3' | fill=7 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='0.01' | fill=7 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='N/A' | fill=None | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='N/A' | fill=None | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='0.6' | fill=7 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='0' | fill=7 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='0' | fill=None | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='0' | fill=None | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Q4' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='89.4' | fill=7 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='3' | fill=7 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='15' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.32' | fill=None | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='6.2' | fill=7 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='0.15' | fill=7 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='3' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0.09' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='0.3' | fill=7 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='0.01' | fill=7 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='N/A' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='N/A' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='0.4' | fill=7 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='0' | fill=7 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='0' | fill=None | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='0' | fill=None | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A20 | value='2018' | fill=00000000 | rows=[19, 20, 21, 22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Q1' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='87' | fill=7 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='2.92' | fill=7 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='5.8' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='0.15' | fill=None | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='6.3' | fill=7 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='0.15' | fill=7 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='3' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='0.09' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='0.3' | fill=7 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='0.01' | fill=7 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='N/A' | fill=None | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='N/A' | fill=None | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='0.6' | fill=7 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='0' | fill=7 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='0' | fill=None | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='0' | fill=None | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Q2' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='104.7' | fill=7 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='3.25' | fill=7 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='5.4' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
