=== society-table28.xlsx ===
Cell A1 | value='Number and Share of Lives Saved by Mitigation Strategy' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell BA2 | value='351' | fill=00000000 | rows=[1] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB2 | value='352' | fill=00000000 | rows=[1] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC2 | value='353' | fill=00000000 | rows=[1] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD2 | value='354' | fill=00000000 | rows=[1] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE2 | value='355' | fill=00000000 | rows=[1] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF2 | value='356' | fill=00000000 | rows=[1] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG2 | value='357' | fill=00000000 | rows=[1] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH2 | value='358' | fill=00000000 | rows=[1] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI2 | value='359' | fill=00000000 | rows=[1] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ2 | value='360' | fill=00000000 | rows=[1] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK2 | value='361' | fill=00000000 | rows=[1] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL2 | value='362' | fill=00000000 | rows=[1] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM2 | value='363' | fill=00000000 | rows=[1] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell B3 | value='FP' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='Antenatal Care' | fill=5 | rows=[2] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='Delivery Care' | fill=None | rows=[2] | cols=[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='Newborn Care' | fill=9 | rows=[2] | cols=[32, 33, 34, 35, 36, 37, 38, 39, 40] | col_header=False | row_header=False | metadata=False
Cell AP3 | value='Breastfeeding' | fill=None | rows=[2] | cols=[41, 42, 43] | col_header=False | row_header=False | metadata=False
Cell AS3 | value='Vaccines' | fill=7 | rows=[2] | cols=[44, 45, 46, 47, 48, 49, 50, 51, 52, 53] | col_header=False | row_header=False | metadata=False
Cell BC3 | value='Child Health' | fill=5 | rows=[2] | cols=[54, 55, 56, 57, 58, 59, 60, 61] | col_header=False | row_header=False | metadata=False
Cell BK3 | value='Malnutrition' | fill=4 | rows=[2] | cols=[62, 63] | col_header=False | row_header=False | metadata=False
Cell BM3 | value='Other' | fill=8 | rows=[2] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN3 | value='Family Planning' | fill=9 | rows=[2, 3, 4, 5] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO3 | value='Antenatal Care' | fill=5 | rows=[2, 3, 4, 5] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP3 | value='Delivery Care' | fill=None | rows=[2, 3, 4, 5] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ3 | value='Newborn Care' | fill=9 | rows=[2, 3, 4, 5] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR3 | value='Breastfeeding' | fill=None | rows=[2, 3, 4, 5] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS3 | value='Vaccines' | fill=7 | rows=[2, 3, 4, 5] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT3 | value='Child Health' | fill=5 | rows=[2, 3, 4, 5] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU3 | value='Malnutrition' | fill=4 | rows=[2, 3, 4, 5] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV3 | value='Other' | fill=8 | rows=[2, 3, 4, 5] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW3 | value='TOTAL' | fill=FFFFFF00 | rows=[2, 3, 4, 5] | cols=[74] | col_header=True | row_header=False | metadata=False
Cell BX3 | value='% of TOTAL' | fill=FFFFFF00 | rows=[2, 3, 4, 5] | cols=[75] | col_header=True | row_header=False | metadata=False
Cell C4 | value='x' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='x' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='x' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='x' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='x' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I4 | value='x' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='x' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='x' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='x' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='x' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='x' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='x' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='x' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='x' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='x' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='x' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='x' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='x' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='x' | fill=00000000 | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='x' | fill=00000000 | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='x' | fill=00000000 | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='x' | fill=00000000 | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='x' | fill=00000000 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='x' | fill=00000000 | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB4 | value='x' | fill=00000000 | rows=[3] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC4 | value='x' | fill=00000000 | rows=[3] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD4 | value='x' | fill=00000000 | rows=[3] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE4 | value='x' | fill=00000000 | rows=[3] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AG4 | value='x' | fill=00000000 | rows=[3] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH4 | value='x' | fill=00000000 | rows=[3] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI4 | value='x' | fill=00000000 | rows=[3] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ4 | value='x' | fill=00000000 | rows=[3] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK4 | value='x' | fill=00000000 | rows=[3] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AM4 | value='x' | fill=00000000 | rows=[3] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN4 | value='x' | fill=00000000 | rows=[3] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AP4 | value='x' | fill=00000000 | rows=[3] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ4 | value='x' | fill=00000000 | rows=[3] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR4 | value='x' | fill=00000000 | rows=[3] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS4 | value='x' | fill=00000000 | rows=[3] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT4 | value='x' | fill=00000000 | rows=[3] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU4 | value='x' | fill=00000000 | rows=[3] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV4 | value='x' | fill=00000000 | rows=[3] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW4 | value='x' | fill=00000000 | rows=[3] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX4 | value='x' | fill=00000000 | rows=[3] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY4 | value='x' | fill=00000000 | rows=[3] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ4 | value='x' | fill=00000000 | rows=[3] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA4 | value='x' | fill=00000000 | rows=[3] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB4 | value='x' | fill=00000000 | rows=[3] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC4 | value='x' | fill=00000000 | rows=[3] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD4 | value='x' | fill=00000000 | rows=[3] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE4 | value='x' | fill=00000000 | rows=[3] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF4 | value='x' | fill=00000000 | rows=[3] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG4 | value='x' | fill=00000000 | rows=[3] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH4 | value='x' | fill=00000000 | rows=[3] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI4 | value='x' | fill=00000000 | rows=[3] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ4 | value='x' | fill=00000000 | rows=[3] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell B5 | value='0' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='9' | fill=None | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='10' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='11' | fill=None | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='12' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='13' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='14' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='15' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='16' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='17' | fill=None | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='18' | fill=None | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='19' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='20' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='21' | fill=None | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='22' | fill=None | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='23' | fill=None | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='24' | fill=None | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='25' | fill=None | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='26' | fill=None | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='27' | fill=None | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='28' | fill=None | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='29' | fill=None | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='30' | fill=None | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='31' | fill=None | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='32' | fill=None | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='33' | fill=None | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='34' | fill=None | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='35' | fill=None | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='36' | fill=None | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='37' | fill=None | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='38' | fill=None | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='39' | fill=None | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH5 | value='40' | fill=None | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='41' | fill=None | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='42' | fill=None | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK5 | value='43' | fill=None | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='44' | fill=None | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM5 | value='45' | fill=None | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN5 | value='46' | fill=None | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='47' | fill=None | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP5 | value='48' | fill=None | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ5 | value='49' | fill=None | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='50' | fill=None | rows=[4] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS5 | value='51' | fill=None | rows=[4] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT5 | value='52' | fill=None | rows=[4] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU5 | value='53' | fill=None | rows=[4] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV5 | value='54' | fill=None | rows=[4] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW5 | value='55' | fill=None | rows=[4] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX5 | value='56' | fill=None | rows=[4] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY5 | value='57' | fill=None | rows=[4] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ5 | value='58' | fill=None | rows=[4] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA5 | value='59' | fill=None | rows=[4] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB5 | value='60' | fill=None | rows=[4] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC5 | value='61' | fill=None | rows=[4] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD5 | value='62' | fill=None | rows=[4] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE5 | value='63' | fill=None | rows=[4] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF5 | value='64' | fill=None | rows=[4] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG5 | value='65' | fill=None | rows=[4] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH5 | value='66' | fill=None | rows=[4] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI5 | value='67' | fill=None | rows=[4] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ5 | value='68' | fill=None | rows=[4] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK5 | value='69' | fill=None | rows=[4] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL5 | value='70' | fill=None | rows=[4] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM5 | value='71' | fill=None | rows=[4] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Modifications to ensure continued/safe delivery of services' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='All Methods' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Antenatal care (at least 1 visit)' | fill=5 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Antenatal care (at least 4 visits)' | fill=5 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='TT - Tetanus toxoid vaccination' | fill=5 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=5 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='Syphilis detection and treatment' | fill=5 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='Calcium supplementation' | fill=5 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='Iron and folate supplementation in pregnancy' | fill=5 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='Multiple micronutrient supplementation in pregnancy' | fill=5 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='Balanced energy supplementation' | fill=5 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='Hypertensive disorder case management' | fill=5 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='Diabetes case management' | fill=5 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='Malaria case management' | fill=5 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='MgSO4 management of pre-eclampsia' | fill=5 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='Health Facility Delivery' | fill=2 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='Clean birth environment' | fill=2 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='Manual removal of placenta' | fill=2 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='MgSO4 management of eclampsia' | fill=2 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='Antibiotics for preterm or prolonged PROM' | fill=2 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='Parenteral administration of antibiotics' | fill=2 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='Assisted vaginal delivery' | fill=2 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='Active management of third stage of labor (AMTSL)' | fill=2 | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='Removal of retained products of conception' | fill=2 | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=2 | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='Antenatal corticosteroids for preterm labor' | fill=2 | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='Maternal sepsis case management' | fill=2 | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='Safe abortion services' | fill=2 | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='Post abortion case management' | fill=2 | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='Cesarean delivery' | fill=2 | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE6 | value='Blood transfusion' | fill=2 | rows=[5] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF6 | value='Ectopic pregnancy case management' | fill=2 | rows=[5] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG6 | value='Immediate drying and additional stimulation' | fill=9 | rows=[5] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH6 | value='Thermal protection' | fill=9 | rows=[5] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI6 | value='Clean cord care' | fill=9 | rows=[5] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ6 | value='Neonatal resuscitation' | fill=9 | rows=[5] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK6 | value='Kangaroo-Mother Care (KMC)' | fill=9 | rows=[5] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL6 | value='Full supportive care of prematurity' | fill=9 | rows=[5] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM6 | value='Oral antibiotics for neonatal sepsis' | fill=9 | rows=[5] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN6 | value='Injectable antibiotics for neonatal sepsis' | fill=9 | rows=[5] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO6 | value='Full supportive care for neonatal sepsis/pneumonia' | fill=9 | rows=[5] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP6 | value='Breastfeeding' | fill=None | rows=[5] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ6 | value='Complementary feeding - Education only' | fill=None | rows=[5] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR6 | value='Complementary feeding - Supplementary feeding + Education' | fill=None | rows=[5] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS6 | value='BCG - Single dose' | fill=7 | rows=[5] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT6 | value='Polio - Three doses' | fill=7 | rows=[5] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU6 | value='DPT - Three doses' | fill=7 | rows=[5] | cols=[46] | col_header=False | row_header=False | metadata=False
