=== society-table76.xlsx ===
Cell C1 | value='All Individuals receiving an adverse sanction decision' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell B10 | value='50-54 years of age' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='1645' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B11 | value='55-59 years of age' | fill=9 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='1199' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B12 | value='60 and over' | fill=9 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='309' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Unknown' | fill=9 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='18' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Ethnicity' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='White' | fill=9 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='11458' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Asian or Asian British' | fill=9 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='614' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Black or Black British' | fill=9 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='697' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Mixed' | fill=9 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='220' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Other/ Chinese' | fill=9 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='296' | fill=9 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Unknown' | fill=9 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='1336' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Gender' | fill=9 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Male' | fill=9 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='7939' | fill=9 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Female' | fill=9 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='6656' | fill=9 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Unknown' | fill=9 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='-' | fill=9 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Disability' | fill=9 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Disability - Yes' | fill=9 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='11491' | fill=9 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Disability - No' | fill=9 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='2907' | fill=9 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Disability - Unknown' | fill=9 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='198' | fill=9 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Regional Group' | fill=9 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Central England' | fill=9 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='2312' | fill=9 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B31 | value='London and the Home Counties' | fill=9 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='4022' | fill=9 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B32 | value='North East' | fill=9 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='1509' | fill=9 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B33 | value='North West' | fill=9 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='3068' | fill=9 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Scotland' | fill=9 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='1166' | fill=9 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Southern England' | fill=9 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='1536' | fill=9 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Wales' | fill=9 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='949' | fill=9 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Unknown' | fill=9 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='46' | fill=9 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Source: Decision Making and Appeals System (DMAS), via Stat-Xplore' | fill=FF00B0F0 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A42 | value='Notes:' | fill=FF00B0F0 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A43 | value='1    Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.' | fill=FF00B0F0 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A44 | value='2    "-" dernotes a nil or negligible value' | fill=FF00B0F0 | rows=[43] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A45 | value='3   Count of Adverse Sanction decisions for individuals since 3rd December 2012' | fill=FF00B0F0 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=True

