=== society-table69.xlsx ===
Cell B1 | value='GREAT BRITAIN' | fill=9 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E11 | value='1069' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='1128' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='547' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='833' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='1333' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='1735' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='1412' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='1570' | fill=9 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='1609' | fill=9 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='1590' | fill=9 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='14305' | fill=9 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Failure to participate in a scheme for assisting person to obtain employment without good reason - other scheme' | fill=9 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='8' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='38' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='32' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='17' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='8' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='26' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='36' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='62' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='44' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='47' | fill=9 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='44' | fill=9 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='48' | fill=9 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='409' | fill=9 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Failure to participate in a scheme for assisting person to obtain employment without good reason - Work Experience' | fill=9 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='-' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='-' | fill=9 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='170' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='84' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='43' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='222' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='343' | fill=9 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='340' | fill=9 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='297' | fill=9 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='179' | fill=9 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='191' | fill=9 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='81' | fill=9 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='1959' | fill=9 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Total' | fill=22 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='16294' | fill=22 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='42225' | fill=22 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='33848' | fill=22 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='39109' | fill=22 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='26933' | fill=22 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='28992' | fill=22 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='39101' | fill=22 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='42823' | fill=22 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='38333' | fill=22 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='46609' | fill=22 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='42119' | fill=22 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='42941' | fill=22 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='439317' | fill=22 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Intermediate' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Not actively seeking employment' | fill=9 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='7883' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='22799' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='17861' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='28440' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='27556' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='28083' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='27566' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='27262' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='23075' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='28855' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='27102' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='26039' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='292520' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Not being available for work' | fill=9 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='543' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='1132' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='737' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='933' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='903' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='928' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='1030' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='1026' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='1163' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='1259' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='1305' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='1155' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='12110' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Total' | fill=22 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='8423' | fill=22 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='23932' | fill=22 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='18597' | fill=22 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='29367' | fill=22 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='28464' | fill=22 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='29015' | fill=22 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='28594' | fill=22 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='28291' | fill=22 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='24236' | fill=22 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='30116' | fill=22 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='28407' | fill=22 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='27194' | fill=22 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='304634' | fill=22 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A18 | value='High' | fill=9 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Left employment voluntarily without good reason' | fill=9 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='900' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='2501' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='1814' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='2610' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='2491' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='2555' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='2610' | fill=9 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='2448' | fill=9 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='2249' | fill=9 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='2330' | fill=9 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='2174' | fill=9 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='2709' | fill=9 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='27386' | fill=9 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Losing employment through misconduct' | fill=9 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='312' | fill=9 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='861' | fill=9 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='717' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='1074' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='1103' | fill=9 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='990' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='1143' | fill=9 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='1087' | fill=9 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='856' | fill=9 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='1194' | fill=9 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='1070' | fill=9 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='935' | fill=9 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='11342' | fill=9 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Neglect to avail themselves of a reasonable opportunity of employment without good reason' | fill=9 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='-' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='-' | fill=9 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='-' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='-' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
