=== education-table23.xlsx ===
Cell A1 | value='DBN' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B2 | value='Forsyth Satellite Academy' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='High School Transfer' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='53.1' | fill=7 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='C' | fill=7 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='30' | fill=7 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='D' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='F' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='A' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='C' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='6.5' | fill=00000000 | rows=[1] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L2 | value='Ingrid Roberts Haynes' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='224' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='0.116' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='0.027' | fill=00000000 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P2 | value='0.762' | fill=00000000 | rows=[1] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q2 | value='0.786' | fill=00000000 | rows=[1] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R2 | value='0.942' | fill=00000000 | rows=[1] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S2 | value='0.04' | fill=00000000 | rows=[1] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T2 | value='2.46' | fill=00000000 | rows=[1] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U2 | value='1.41' | fill=00000000 | rows=[1] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A3 | value='01M515' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Lower East Side Preparatory High School' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='High School Transfer' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='76.8' | fill=7 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='A' | fill=7 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='7' | fill=7 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='B' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='A' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='F' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='A' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='10.1' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='Martha Polin' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='562' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='0.014' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='0.005' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='0.861' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='0.139' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='0.142' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='0.811' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='2.54' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='1.64' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A4 | value='01M650' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Cascades High School' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='High School Transfer' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='73.1' | fill=7 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='A' | fill=7 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='12' | fill=7 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='B' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='A' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='B' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='C' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='5.7' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='Paul Rotondo' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='218' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='0.096' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='0.018' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='0.45' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='0.665' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='0.954' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='0.032' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='2.5' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='1.82' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A5 | value='02M313' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='James Baldwin School, The: A School for Expeditionary Learning' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='High School Transfer' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='54.8' | fill=7 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='C' | fill=7 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='26' | fill=7 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='D' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='B' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='C' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='C' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='5.9' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='Samantha Pugh' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='248' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='0.173' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='0.032' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='0.224' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='0.645' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='0.887' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='0.048' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='2.59' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='1.95' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A6 | value='02M394' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='EMMA LAZARUS HIGH SCHOOL' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='High School Transfer' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='.' | fill=7 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='.' | fill=7 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='.' | fill=7 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='.' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='.' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='.' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='.' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='.' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='Melody Kellogg' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='250' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='0' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='0.785' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='0.876' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='0.336' | fill=00000000 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='0.828' | fill=00000000 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='2.82' | fill=00000000 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='2.03' | fill=00000000 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A7 | value='02M432' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='MURRAY HILL ACADEMY' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='High School Transfer' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='.' | fill=7 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='.' | fill=7 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='.' | fill=7 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='.' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='.' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='.' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='.' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='.' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='Anita Manninen Felix' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='214' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.276' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.112' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.152' | fill=00000000 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0.757' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='0.864' | fill=00000000 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='0.075' | fill=00000000 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='2.61' | fill=00000000 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='1.68' | fill=00000000 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A8 | value='02M544' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Independence High School' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='High School Transfer' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='49.2' | fill=7 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='C' | fill=7 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='37' | fill=7 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='D' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='D' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='C' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='C' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='6.1' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='Ron Smolkin' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='391' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.146' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.041' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.622' | fill=00000000 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0.721' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0.931' | fill=00000000 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='0.038' | fill=00000000 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='2.37' | fill=00000000 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='1.37' | fill=00000000 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A9 | value='02M550' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Liberty High School Academy for Newcomers' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='High School Transfer' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='75.9' | fill=7 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='A' | fill=7 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='9' | fill=7 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='A' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='A' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='F' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='B' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='11.5' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='Melodee Khristan' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='397' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='0.028' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.005' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='0.575' | fill=00000000 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='0.438' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='0.62' | fill=00000000 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='0.922' | fill=00000000 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='2.21' | fill=00000000 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='1.57' | fill=00000000 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A10 | value='02M560' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='High School M560 - City As School' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='High School Transfer' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='52.7' | fill=7 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='C' | fill=7 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='32' | fill=7 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='F' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='B' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='B' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='C' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='8' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='Alan Cheng' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='605' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='0.14' | fill=00000000 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='0.026' | fill=00000000 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='0.369' | fill=00000000 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='0.4' | fill=00000000 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='0.765' | fill=00000000 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='0.017' | fill=00000000 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='2.63' | fill=00000000 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='1.93' | fill=00000000 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A11 | value='02M565' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Urban Academy Laboratory High School' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='High School Transfer' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='73.7' | fill=7 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='A' | fill=7 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='11' | fill=7 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='B' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='B' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='A' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='B' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='4.5' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='Herb Mack' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='157' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0.089' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.006' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0.221' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='0.408' | fill=00000000 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.732' | fill=00000000 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='0.013' | fill=00000000 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='2.96' | fill=00000000 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='2.54' | fill=00000000 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A12 | value='02M570' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Satellite Academy High School' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='High School Transfer' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='91.9' | fill=7 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='A' | fill=7 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='1' | fill=7 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='A' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='A' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='A' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='D' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='9.7' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='Steven Zbaida' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='248' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='0.165' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='0.056' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='0.734' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='0.79' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='0.948' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='0.065' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='2.35' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='1.17' | fill=00000000 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A13 | value='02M575' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Manhattan Comprehensive Night and Day High School' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
