=== employment-table30.xlsx ===
Cell B1 | value='North East' | fill=9 | rows=[0] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell L5 | value='4.04032128514056' | fill=9 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='4.14139095205942' | fill=9 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='8.62192307692308' | fill=9 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='7.84910118130457' | fill=9 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='6.05234375' | fill=9 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='5.05933360096347' | fill=9 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='4.69928934010152' | fill=9 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='4.55990376904571' | fill=9 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='5.68002841485691' | fill=9 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='5.33870524529217' | fill=9 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Art & Antiques' | fill=9 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='5.29473684210526' | fill=9 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='4.65269841269841' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='10.3278385197645' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='9.93536585365854' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='4.43557046979866' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='5.68881036513545' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='7.52158940397351' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='11.3172320217096' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='8.99003250270856' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='8.12813186813187' | fill=9 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='8.25111111111111' | fill=9 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='5.27897727272727' | fill=9 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='7.45757776307082' | fill=9 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='9.04529855868222' | fill=9 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='6.71624633431085' | fill=9 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='7.67724803862402' | fill=9 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='5.30502512562814' | fill=9 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='5.38026431718062' | fill=9 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='7.3007102569459' | fill=9 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='7.66623488773748' | fill=9 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Designer Fashion' | fill=9 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='4.38849658314351' | fill=9 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='3.63694602896007' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='3.50950669063311' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='3.69319620253164' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='3.40223951413931' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='4.37660459229796' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='3.68529609690444' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='3.52357570034624' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='3.32566513761468' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='4.22614695557439' | fill=9 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='2.71524222134699' | fill=9 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='3.01043853073463' | fill=9 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='3.61223146223146' | fill=9 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='3.82453528243999' | fill=9 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='3.75275207478775' | fill=9 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='3.19753073279762' | fill=9 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='2.96976260802976' | fill=9 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='3.15495247910226' | fill=9 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='3.45801544385297' | fill=9 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='3.57464503697644' | fill=9 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Music & the Visual & Performing Arts' | fill=9 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='4.23856209150327' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='7.23306233062331' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='3.92482157018239' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='5.2224795640327' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='4.89700722394221' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='5.4883632923368' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='2.97280385078219' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='4.95394321766562' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='3.50157480314961' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='7.88340649692713' | fill=9 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2.33105802047782' | fill=9 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='3.48940719144801' | fill=9 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='2.7269701956482' | fill=9 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='3.03704010778319' | fill=9 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='3.19281901989326' | fill=9 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='4.2080195599022' | fill=9 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='2.86320804658549' | fill=9 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='3.4608832807571' | fill=9 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='3.00254030706068' | fill=9 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='3.97544416523388' | fill=9 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Publishing' | fill=9 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='3.12173913043478' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='22.4869565217391' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='17.5211111111111' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='12.6126582278481' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='14.1482517482517' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='15.4676470588235' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='6.28053691275168' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='16.9850746268657' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='10.1300613496933' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='19.0098039215686' | fill=9 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='34.9149068322981' | fill=9 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='18.0611764705882' | fill=9 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='28.2971428571429' | fill=9 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='15.0379562043796' | fill=9 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='17.3575438596491' | fill=9 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='20.7808823529412' | fill=9 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='8.61794019933555' | fill=9 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='9.81138211382114' | fill=9 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='22.2860588861298' | fill=9 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='17.2880685563612' | fill=9 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Radio & TV' | fill=9 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='4.31111111111111' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='4.36' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='4.37254901960784' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='3.91764705882353' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='4.53846153846154' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='5.49375' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='17.23' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='19.1642857142857' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='4.25' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='3.5047619047619' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='2.21785714285714' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='2.43714285714286' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='22.5698924731183' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='17.4047543581616' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='3.90212765957447' | fill=9 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='2.72356020942408' | fill=9 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='2.58983050847458' | fill=9 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='3.1575' | fill=9 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='14.1823050058207' | fill=9 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='11.3675347222222' | fill=9 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Software, Computer Games & Electronic Publishing' | fill=9 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='7.25512820512821' | fill=9 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='5.01048304213772' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='9.37753318225963' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='6.61597164303586' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='4.63962085308057' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='4.2146164021164' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='4.39951080309825' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='3.43295724465558' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='5.15794300687848' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='5.00943820224719' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='4.80057522919288' | fill=9 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='3.90859572206722' | fill=9 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='5.23146629325865' | fill=9 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='4.12386129334583' | fill=9 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='8.50284402049108' | fill=9 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='6.37200873073616' | fill=9 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='3.94605187319885' | fill=9 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='3.4061369640317' | fill=9 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='6.20921260975961' | fill=9 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='4.84814648654936' | fill=9 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Video, Film & Photography' | fill=9 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='2.082' | fill=9 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='2.17794117647059' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='3.02920110192837' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='2.96078431372549' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='2.9699604743083' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2.97516339869281' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='4.06633165829146' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='7.5728' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='3.07132352941176' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='2.85217391304348' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='4.27592954990215' | fill=9 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='3.49676375404531' | fill=9 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='6.52578974624547' | fill=9 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='5.66414922656961' | fill=9 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='3.39442096365173' | fill=9 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='2.79597411933861' | fill=9 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='3.75352380952381' | fill=9 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='3.60203045685279' | fill=9 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='5.58527793065493' | fill=9 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='5.17601231352119' | fill=9 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Total' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='6.13395430351811' | fill=9 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='5.55985377983825' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='7.18385026574933' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='6.05171030277289' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='5.25538934449388' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='5.21110946113446' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='4.52942482475942' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='4.96668440596279' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='4.97814122194143' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='6.14832160253652' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='5.86443567012876' | fill=9 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='4.2077061046141' | fill=9 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='7.30161638020429' | fill=9 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='5.74646358586543' | fill=9 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='7.3022580300779' | fill=9 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='5.87271345213269' | fill=9 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='4.35328879648712' | fill=9 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='3.80506807939125' | fill=9 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='6.58397436734406' | fill=9 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='5.47990797920282' | fill=9 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False

