=== employment-table29.xlsx ===
Cell B1 | value='Aggregated and disaggregated subnational public employment' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B14 | value='Reference area: Belgium' | fill=FFB7DEF6 | rows=[13] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFB7DEF6 | rows=[14] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C16 | value='27816' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='18701' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='46517' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Reference area: Belgium' | fill=FFB7DEF6 | rows=[16] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Institutional sector: State government' | fill=FFB7DEF6 | rows=[17] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C19 | value='330442' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='156431' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='486873' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Reference area: Belgium' | fill=FFB7DEF6 | rows=[19] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[20] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C22 | value='185945' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='112567' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='298512' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Reference area: Canada' | fill=FFB7DEF6 | rows=[22] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Institutional sector: State government' | fill=FFB7DEF6 | rows=[23] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C25 | value='166700' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='128900' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='295500' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Reference area: Canada' | fill=FFB7DEF6 | rows=[25] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[26] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C28 | value='143500' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='206300' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='349800' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Reference area: Costa Rica' | fill=FFB7DEF6 | rows=[28] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[29] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C31 | value='949' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='2351' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='3300' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Reference area: Denmark' | fill=FFB7DEF6 | rows=[31] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[32] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C34 | value='111220' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='35154' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='146374' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Reference area: Denmark' | fill=FFB7DEF6 | rows=[34] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[35] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C37 | value='389237' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='114288' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='503525' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Reference area: Finland' | fill=FFB7DEF6 | rows=[37] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFB7DEF6 | rows=[38] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C40 | value='143789' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='37841' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='181630' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B41 | value='Reference area: Finland' | fill=FFB7DEF6 | rows=[40] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[41] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C43 | value='452667' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='96150' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='548817' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Reference area: France' | fill=FFB7DEF6 | rows=[43] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Institutional sector: Intermediate government' | fill=FFB7DEF6 | rows=[44] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C46 | value='208570' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='141548' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='350118' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Reference area: France' | fill=FFB7DEF6 | rows=[46] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFB7DEF6 | rows=[47] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C49 | value='206353' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='168980' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='375333' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Reference area: France' | fill=FFB7DEF6 | rows=[49] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B51 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[50] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C52 | value='57981' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='39952' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='97933' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B53 | value='Reference area: France' | fill=FFB7DEF6 | rows=[52] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B54 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[53] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C55 | value='737237' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='416601' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='1153838' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Reference area: Germany' | fill=FFB7DEF6 | rows=[55] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Institutional sector: State government' | fill=FFB7DEF6 | rows=[56] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='2541400' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Reference area: Israel' | fill=FFB7DEF6 | rows=[58] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B60 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[59] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C61 | value='1118270.48' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D61 | value='542677.559' | fill=00000000 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='1660948.039' | fill=00000000 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Reference area: Italy' | fill=FFB7DEF6 | rows=[61] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B63 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFB7DEF6 | rows=[62] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C64 | value='4110' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D64 | value='2828' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='6938' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B65 | value='Reference area: Italy' | fill=FFB7DEF6 | rows=[64] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B66 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[65] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C67 | value='47063' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D67 | value='37060' | fill=00000000 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='84123' | fill=00000000 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Reference area: Italy' | fill=FFB7DEF6 | rows=[67] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B69 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[68] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C70 | value='182543' | fill=00000000 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D70 | value='140163' | fill=00000000 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='322706' | fill=00000000 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Reference area: Korea' | fill=FFB7DEF6 | rows=[70] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B72 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[71] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C73 | value='23144' | fill=00000000 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D73 | value='35568' | fill=00000000 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='58712' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B74 | value='Reference area: Korea' | fill=FFB7DEF6 | rows=[73] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[74] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C76 | value='129365' | fill=00000000 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D76 | value='120802' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='250167' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Reference area: Mexico' | fill=FFB7DEF6 | rows=[76] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[77] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C79 | value='792951' | fill=00000000 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D79 | value='642732' | fill=00000000 | rows=[78] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E79 | value='1435683' | fill=00000000 | rows=[78] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B80 | value='Reference area: Mexico' | fill=FFB7DEF6 | rows=[79] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B81 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[80] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C82 | value='338147' | fill=00000000 | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D82 | value='643771' | fill=00000000 | rows=[81] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E82 | value='981918' | fill=00000000 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B83 | value='Reference area: Norway' | fill=FFB7DEF6 | rows=[82] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B84 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[83] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C85 | value='1768' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='760' | fill=00000000 | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='2528' | fill=00000000 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B86 | value='Reference area: Portugal' | fill=FFB7DEF6 | rows=[85] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[86] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C88 | value='29013' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D88 | value='14523' | fill=00000000 | rows=[87] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E88 | value='43536' | fill=00000000 | rows=[87] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Reference area: Portugal' | fill=FFB7DEF6 | rows=[88] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[89] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C91 | value='59247' | fill=00000000 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D91 | value='72468' | fill=00000000 | rows=[90] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E91 | value='131715' | fill=00000000 | rows=[90] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B92 | value='Reference area: Sweden' | fill=FFB7DEF6 | rows=[91] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B93 | value='Institutional sector: Inter-municipal cooperation bodies' | fill=FFB7DEF6 | rows=[92] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C94 | value='3640' | fill=00000000 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D94 | value='6750' | fill=00000000 | rows=[93] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E94 | value='10390' | fill=00000000 | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B95 | value='Reference area: Sweden' | fill=FFB7DEF6 | rows=[94] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B96 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[95] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C97 | value='189020' | fill=00000000 | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D97 | value='59240' | fill=00000000 | rows=[96] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E97 | value='248260' | fill=00000000 | rows=[96] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B98 | value='Reference area: Sweden' | fill=FFB7DEF6 | rows=[97] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B99 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[98] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C100 | value='499560' | fill=00000000 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D100 | value='139105' | fill=00000000 | rows=[99] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E100 | value='638665' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Reference area: Non-OECD economies > Bulgaria' | fill=FFB7DEF6 | rows=[100] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[101] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E103 | value='752.2' | fill=00000000 | rows=[102] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B104 | value='Reference area: Bulgaria' | fill=FFB7DEF6 | rows=[103] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B105 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[104] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell E106 | value='24272.7' | fill=00000000 | rows=[105] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B107 | value='Reference area: Malta' | fill=FFB7DEF6 | rows=[106] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B108 | value='Institutional sector: Regional government (unitary countries only)' | fill=FFB7DEF6 | rows=[107] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C109 | value='14' | fill=00000000 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D109 | value='3' | fill=00000000 | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='17' | fill=00000000 | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B110 | value='Reference area: Malta' | fill=FFB7DEF6 | rows=[109] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell B111 | value='Institutional sector: Municipal government' | fill=FFB7DEF6 | rows=[110] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell C112 | value='217' | fill=00000000 | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D112 | value='184' | fill=00000000 | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='401' | fill=00000000 | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B114 | value='© Terms & conditions' | fill=FF00B0F0 | rows=[113] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell F114 | value='Aggregated and disaggregated subnational public employment' | fill=FF00B0F0 | rows=[113] | cols=[5] | col_header=False | row_header=False | metadata=True

