=== education-table22.xlsx ===
Cell A1 | value='DBN' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell S1 | value='Credit accumulation per year 22-33' | fill=00000000 | rows=[0] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z1 | value='Credit accumulation per year 33-38' | fill=00000000 | rows=[0] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG1 | value='Average change in Attendance' | fill=00000000 | rows=[0] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN1 | value='Average Completion Rate of Remaining Regents' | fill=00000000 | rows=[0] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU1 | value='Weighted Regents Pass Rate - English' | fill=00000000 | rows=[0] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell AY1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell AZ1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[51] | col_header=True | row_header=False | metadata=False
Cell BA1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[52] | col_header=True | row_header=False | metadata=False
Cell BB1 | value='Weighted Regents Pass Rate - Math' | fill=00000000 | rows=[0] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[54] | col_header=True | row_header=False | metadata=False
Cell BD1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[55] | col_header=True | row_header=False | metadata=False
Cell BE1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[56] | col_header=True | row_header=False | metadata=False
Cell BF1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[57] | col_header=True | row_header=False | metadata=False
Cell BG1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[58] | col_header=True | row_header=False | metadata=False
Cell BH1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[59] | col_header=True | row_header=False | metadata=False
Cell BI1 | value='Weighted Regents Pass Rate - Science' | fill=00000000 | rows=[0] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[61] | col_header=True | row_header=False | metadata=False
Cell BK1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[62] | col_header=True | row_header=False | metadata=False
Cell BL1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[63] | col_header=True | row_header=False | metadata=False
Cell BM1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[64] | col_header=True | row_header=False | metadata=False
Cell BN1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[65] | col_header=True | row_header=False | metadata=False
Cell BO1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[66] | col_header=True | row_header=False | metadata=False
Cell BP1 | value='Weighted Regents Pass Rate - Global History' | fill=00000000 | rows=[0] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[68] | col_header=True | row_header=False | metadata=False
Cell BR1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[69] | col_header=True | row_header=False | metadata=False
Cell BS1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[70] | col_header=True | row_header=False | metadata=False
Cell BT1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[71] | col_header=True | row_header=False | metadata=False
Cell BU1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[72] | col_header=True | row_header=False | metadata=False
Cell BV1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[73] | col_header=True | row_header=False | metadata=False
Cell BW1 | value='Weighted Regents Pass Rate - US History' | fill=00000000 | rows=[0] | cols=[74] | col_header=False | row_header=False | metadata=False
Cell BX1 | value='Peer 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[75] | col_header=True | row_header=False | metadata=False
Cell BY1 | value='Peer 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[76] | col_header=True | row_header=False | metadata=False
Cell BZ1 | value='Peer Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[77] | col_header=True | row_header=False | metadata=False
Cell CA1 | value='City 0% of Range' | fill=FFFFFF00 | rows=[0] | cols=[78] | col_header=True | row_header=False | metadata=False
Cell CB1 | value='City 100% of Range' | fill=FFFFFF00 | rows=[0] | cols=[79] | col_header=True | row_header=False | metadata=False
Cell CC1 | value='City Percent of Range' | fill=FFFFFF00 | rows=[0] | cols=[80] | col_header=True | row_header=False | metadata=False
Cell A2 | value='01M458' | fill=00000000 | rows=[1] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B2 | value='Forsyth Satellite Academy' | fill=00000000 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='25' | fill=7 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='D' | fill=7 | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E2 | value='4.55' | fill=00000000 | rows=[1] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F2 | value='2' | fill=00000000 | rows=[1] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G2 | value='11.64' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='0.265' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='1.76' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='11.48' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='0.287' | fill=00000000 | rows=[1] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L2 | value='7.4' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='3.04' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='12.48' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='0.462' | fill=00000000 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P2 | value='3.01' | fill=00000000 | rows=[1] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q2 | value='12.25' | fill=00000000 | rows=[1] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R2 | value='0.475' | fill=00000000 | rows=[1] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S2 | value='8.83' | fill=00000000 | rows=[1] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T2 | value='5.65' | fill=00000000 | rows=[1] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U2 | value='13.75' | fill=00000000 | rows=[1] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V2 | value='0.393' | fill=00000000 | rows=[1] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W2 | value='5.82' | fill=00000000 | rows=[1] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X2 | value='13.34' | fill=00000000 | rows=[1] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y2 | value='0.4' | fill=00000000 | rows=[1] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z2 | value='.' | fill=00000000 | rows=[1] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA2 | value='5.78' | fill=00000000 | rows=[1] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB2 | value='13.32' | fill=00000000 | rows=[1] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC2 | value='.' | fill=00000000 | rows=[1] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD2 | value='5.76' | fill=00000000 | rows=[1] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE2 | value='12.98' | fill=00000000 | rows=[1] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF2 | value='.' | fill=00000000 | rows=[1] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG2 | value='0.026' | fill=00000000 | rows=[1] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH2 | value='-0.109' | fill=00000000 | rows=[1] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI2 | value='0.085' | fill=00000000 | rows=[1] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ2 | value='0.696' | fill=00000000 | rows=[1] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK2 | value='-0.117' | fill=00000000 | rows=[1] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL2 | value='0.099' | fill=00000000 | rows=[1] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM2 | value='0.662' | fill=00000000 | rows=[1] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN2 | value='.' | fill=00000000 | rows=[1] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO2 | value='0.037' | fill=00000000 | rows=[1] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP2 | value='0.433' | fill=00000000 | rows=[1] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ2 | value='.' | fill=00000000 | rows=[1] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR2 | value='0.014' | fill=00000000 | rows=[1] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS2 | value='0.43' | fill=00000000 | rows=[1] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT2 | value='.' | fill=00000000 | rows=[1] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU2 | value='0.77' | fill=00000000 | rows=[1] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV2 | value='0.42' | fill=00000000 | rows=[1] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW2 | value='1.98' | fill=00000000 | rows=[1] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX2 | value='0.224' | fill=00000000 | rows=[1] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY2 | value='0.41' | fill=00000000 | rows=[1] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ2 | value='1.91' | fill=00000000 | rows=[1] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA2 | value='0.24' | fill=00000000 | rows=[1] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB2 | value='.' | fill=00000000 | rows=[1] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC2 | value='0.2' | fill=00000000 | rows=[1] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD2 | value='2.12' | fill=00000000 | rows=[1] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE2 | value='.' | fill=00000000 | rows=[1] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF2 | value='0.08' | fill=00000000 | rows=[1] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG2 | value='2.26' | fill=00000000 | rows=[1] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH2 | value='.' | fill=00000000 | rows=[1] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI2 | value='.' | fill=00000000 | rows=[1] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ2 | value='0.55' | fill=00000000 | rows=[1] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK2 | value='2.47' | fill=00000000 | rows=[1] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL2 | value='.' | fill=00000000 | rows=[1] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM2 | value='0.47' | fill=00000000 | rows=[1] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN2 | value='2.55' | fill=00000000 | rows=[1] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO2 | value='.' | fill=00000000 | rows=[1] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP2 | value='.' | fill=00000000 | rows=[1] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ2 | value='0.25' | fill=00000000 | rows=[1] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR2 | value='2.39' | fill=00000000 | rows=[1] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS2 | value='.' | fill=00000000 | rows=[1] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT2 | value='0.2' | fill=00000000 | rows=[1] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU2 | value='2.48' | fill=00000000 | rows=[1] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV2 | value='.' | fill=00000000 | rows=[1] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW2 | value='.' | fill=00000000 | rows=[1] | cols=[74] | col_header=False | row_header=False | metadata=False
Cell BX2 | value='0.52' | fill=00000000 | rows=[1] | cols=[75] | col_header=False | row_header=False | metadata=False
Cell BY2 | value='1.82' | fill=00000000 | rows=[1] | cols=[76] | col_header=False | row_header=False | metadata=False
Cell BZ2 | value='.' | fill=00000000 | rows=[1] | cols=[77] | col_header=False | row_header=False | metadata=False
Cell CA2 | value='0.49' | fill=00000000 | rows=[1] | cols=[78] | col_header=False | row_header=False | metadata=False
Cell CB2 | value='1.89' | fill=00000000 | rows=[1] | cols=[79] | col_header=False | row_header=False | metadata=False
Cell CC2 | value='.' | fill=00000000 | rows=[1] | cols=[80] | col_header=False | row_header=False | metadata=False
Cell A3 | value='01M515' | fill=00000000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Lower East Side Preparatory High School' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='33.8' | fill=7 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='B' | fill=7 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='7.99' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2.74' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='11.78' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='0.581' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='1.76' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='11.48' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='0.641' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='10.86' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='3.22' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='12.68' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='0.808' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='3.01' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='12.25' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='0.85' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='10.35' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='5.39' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='14.13' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='0.568' | fill=00000000 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='5.82' | fill=00000000 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='13.34' | fill=00000000 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='0.602' | fill=00000000 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='13.53' | fill=00000000 | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='5.2' | fill=00000000 | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='13.84' | fill=00000000 | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC3 | value='0.964' | fill=00000000 | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD3 | value='5.76' | fill=00000000 | rows=[2] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE3 | value='12.98' | fill=00000000 | rows=[2] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF3 | value='1' | fill=00000000 | rows=[2] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='-0.032' | fill=00000000 | rows=[2] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH3 | value='-0.109' | fill=00000000 | rows=[2] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI3 | value='0.093' | fill=00000000 | rows=[2] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ3 | value='0.381' | fill=00000000 | rows=[2] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK3 | value='-0.117' | fill=00000000 | rows=[2] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL3 | value='0.099' | fill=00000000 | rows=[2] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM3 | value='0.394' | fill=00000000 | rows=[2] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN3 | value='0.571' | fill=00000000 | rows=[2] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO3 | value='0.043' | fill=00000000 | rows=[2] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP3 | value='0.475' | fill=00000000 | rows=[2] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ3 | value='1' | fill=00000000 | rows=[2] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR3 | value='0.014' | fill=00000000 | rows=[2] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS3 | value='0.43' | fill=00000000 | rows=[2] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT3 | value='1' | fill=00000000 | rows=[2] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU3 | value='1.64' | fill=00000000 | rows=[2] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV3 | value='0.42' | fill=00000000 | rows=[2] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW3 | value='2.08' | fill=00000000 | rows=[2] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX3 | value='0.735' | fill=00000000 | rows=[2] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY3 | value='0.41' | fill=00000000 | rows=[2] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ3 | value='1.91' | fill=00000000 | rows=[2] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA3 | value='0.82' | fill=00000000 | rows=[2] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB3 | value='1.38' | fill=00000000 | rows=[2] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC3 | value='0.2' | fill=00000000 | rows=[2] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD3 | value='2.22' | fill=00000000 | rows=[2] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE3 | value='0.584' | fill=00000000 | rows=[2] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF3 | value='0.08' | fill=00000000 | rows=[2] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG3 | value='2.26' | fill=00000000 | rows=[2] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH3 | value='0.596' | fill=00000000 | rows=[2] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI3 | value='1.37' | fill=00000000 | rows=[2] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ3 | value='0.61' | fill=00000000 | rows=[2] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK3 | value='2.31' | fill=00000000 | rows=[2] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL3 | value='0.447' | fill=00000000 | rows=[2] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM3 | value='0.47' | fill=00000000 | rows=[2] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN3 | value='2.55' | fill=00000000 | rows=[2] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO3 | value='0.433' | fill=00000000 | rows=[2] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell BP3 | value='1.34' | fill=00000000 | rows=[2] | cols=[67] | col_header=False | row_header=False | metadata=False
Cell BQ3 | value='0.22' | fill=00000000 | rows=[2] | cols=[68] | col_header=False | row_header=False | metadata=False
Cell BR3 | value='2.4' | fill=00000000 | rows=[2] | cols=[69] | col_header=False | row_header=False | metadata=False
Cell BS3 | value='0.514' | fill=00000000 | rows=[2] | cols=[70] | col_header=False | row_header=False | metadata=False
Cell BT3 | value='0.2' | fill=00000000 | rows=[2] | cols=[71] | col_header=False | row_header=False | metadata=False
Cell BU3 | value='2.48' | fill=00000000 | rows=[2] | cols=[72] | col_header=False | row_header=False | metadata=False
Cell BV3 | value='0.5' | fill=00000000 | rows=[2] | cols=[73] | col_header=False | row_header=False | metadata=False
Cell BW3 | value='1.26' | fill=00000000 | rows=[2] | cols=[74] | col_header=False | row_header=False | metadata=False
Cell BX3 | value='0.54' | fill=00000000 | rows=[2] | cols=[75] | col_header=False | row_header=False | metadata=False
Cell BY3 | value='1.86' | fill=00000000 | rows=[2] | cols=[76] | col_header=False | row_header=False | metadata=False
Cell BZ3 | value='0.545' | fill=00000000 | rows=[2] | cols=[77] | col_header=False | row_header=False | metadata=False
Cell CA3 | value='0.49' | fill=00000000 | rows=[2] | cols=[78] | col_header=False | row_header=False | metadata=False
