=== society-table54.xlsx ===
Cell C2 | value='Table 3. Temporal changes in age-standardized MSD mortality rates based on Joinpoint regression analysis 1986-2011, stratified by sex' | fill=FF00B0F0 | rows=[1] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | col_header=False | row_header=False | metadata=True
Cell O8 | value='-2.1' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='1990-1994' | fill=00000000 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='4' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='1994-1999' | fill=00000000 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='-0.7' | fill=00000000 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='1999-2005' | fill=00000000 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='-4.2*' | fill=00000000 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='2005-2011' | fill=00000000 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='-1.8*' | fill=00000000 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Hong Kong SAR' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='1986-2002' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='13.3*' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='2002-2011' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='-1.3' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N9 | value='1986-1992' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='-8.6' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='1992-2011' | fill=00000000 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='1.4' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Israel' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='1986-1999' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='9.2*' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='1999-2011' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='1.3' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N10 | value='1986-2011' | fill=00000000 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='2.0*' | fill=00000000 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Japan' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='1986-1992' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='-2.1*' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='1992-1996' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='7.0*' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1996-2004' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='-1.2' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='2004-2011' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='1.7*' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N11 | value='1986-1993' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='-3.1*' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='1993-1997' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='0.7' | fill=00000000 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='1997-2004' | fill=00000000 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='-3.5*' | fill=00000000 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='2004-2011' | fill=00000000 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='-1.2*' | fill=00000000 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Kazakhstan' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='1986-1990' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='-11.7*' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='1990-1995' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='10.6*' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='1995-2011' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='-4.1*' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N12 | value='1986-1990' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='-4.5' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='1990-1994' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='8.9' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='1994-2000' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='-8.1*' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='2000-2004' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='11.7' | fill=00000000 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='2004-2011' | fill=00000000 | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='-0.1' | fill=00000000 | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Kyrgyzstan' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='1986-1998' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='-2.4' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='1998-2007' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='22.1*' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='2007-2011' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='-15.9*' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N13 | value='1986-1998' | fill=00000000 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='-2.2' | fill=00000000 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='1998-2006' | fill=00000000 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='25.1*' | fill=00000000 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='2006-2011' | fill=00000000 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='-10.3*' | fill=00000000 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Republic of Korea' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='1986-1990' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='1.1' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='1990-1994' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='24.6' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='1994-2000' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='-6.3*' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='2000-2004' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='-16.3*' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='2004-2011' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='1.4' | fill=00000000 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='1986-1990' | fill=00000000 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='6.9' | fill=00000000 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='1990-1994' | fill=00000000 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='28.3*' | fill=00000000 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='1994-2002' | fill=00000000 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='-2.6' | fill=00000000 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='2002-2006' | fill=00000000 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='-14.2' | fill=00000000 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='2006-2011' | fill=00000000 | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W14 | value='-10.6' | fill=00000000 | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Singapore' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='1986-2011' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='-0.7' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N15 | value='1986-2011' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='-5.1*' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Eastern Europe  (n=8)' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='1986-1993' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='1.2' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='1993-2011' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='-1.8*' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N16 | value='1986-1993' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='2.5*' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='1993-1997' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='-5.2*' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='1997-2001' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='0.1' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='2001-2011' | fill=00000000 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='-2.9*' | fill=00000000 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Bulgaria' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='1986-2011' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='1.3' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N17 | value='1986-2011' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='1' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C18 | value='Czech Republic' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='1986-2004' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='-6.1*' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='2004-2011' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='22.3*' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N18 | value='1986-2004' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='-7.4*' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='2004-2011' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='16.1*' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Hungary' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='1986-2011' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='1.9*' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N19 | value='1986-2003' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='-0.9' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='2003-2007' | fill=00000000 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='5.3' | fill=00000000 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='2007-2011' | fill=00000000 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='-2' | fill=00000000 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Poland' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='1986-1994' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='-0.2' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='1994-1998' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='-12.9' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='1998-2011' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='-3.1*' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N20 | value='1986-1995' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='-0.4' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='1995-1999' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='-12.7*' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='1999-2011' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='-2.6*' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Republic of Moldova' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='1986-2011' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='-1.9*' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N21 | value='1986-2003' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='0.02' | fill=00000000 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='2003-2011' | fill=00000000 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='-10.9*' | fill=00000000 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Romania' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='1986-1992' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='0.6' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='1992-1996' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='-26.4' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='1996-2011' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='-3.5' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N22 | value='1986-1992' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='0.4' | fill=00000000 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='1992-1996' | fill=00000000 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='-25.7*' | fill=00000000 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='1996-2011' | fill=00000000 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='-2.4' | fill=00000000 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Russian Federation' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='1986-2000' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='0.4' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='2000-2011' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='-3.0*' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N23 | value='1986-1993' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='3.2*' | fill=00000000 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='1993-1997' | fill=00000000 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='-3.2*' | fill=00000000 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='1997-2001' | fill=00000000 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='2.3' | fill=00000000 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='2001-2005' | fill=00000000 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='-5.6*' | fill=00000000 | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='2005-2011' | fill=00000000 | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W23 | value='-2.4*' | fill=00000000 | rows=[22] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Ukraine' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='1986-1994' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
