=== environment-table46.xlsx ===
Cell A1 | value='LEAD CONC DURING JANUARY & DECEMBER 2023 in mg/L' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=True | row_header=True | metadata=True
Cell C7 | value='0.289' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='0.289' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='0.289' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.289' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.289' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.264' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0.264' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0.264' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.264' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='0.264' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0.264' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A9 | value='TENANTS' | fill=00000000 | rows=[8, 9, 10, 11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='0.311' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0.311' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='0.311' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='0.311' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0.311' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.311' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.331' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0.331' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0.331' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.331' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='0.331' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='0.331' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B10 | value='0.31' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='0.31' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='0.31' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='0.31' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='0.31' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0.31' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0.35' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='0.35' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0.35' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0.35' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='0.35' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='0.35' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B11 | value='0.37' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='0.37' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='0.37' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='0.37' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0.37' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0.37' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.32' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0.32' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.32' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.32' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.32' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='0.32' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B12 | value='0.312' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='0.312' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='0.312' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0.312' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='0.312' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0.312' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0.278' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0.278' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0.278' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0.278' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='0.278' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='0.278' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A14 | value='CHAMPION REEFS' | fill=00000000 | rows=[13, 14, 15, 16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='0.47' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0.47' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0.47' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0.47' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0.47' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0.47' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0.52' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0.84' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.52' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0.87' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0.56' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='0.52' | fill=00000000 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B15 | value='0.45' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='0.45' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0.45' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='0.45' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='0.51' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='0.45' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0.49' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='0.98' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='0.75' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='0.85' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='0.55' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='0.52' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B16 | value='0.43' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0.43' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0.51' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='0.43' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0.49' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0.43' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0.47' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0.85' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0.78' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0.74' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0.54' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='0.47' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B17 | value='0.49' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='0.49' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='0.52' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='0.49' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0.49' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='0.49' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0.465' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='0.78' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0.78' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='0.75' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='0.52' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='0.465' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A19 | value='BALGHAT' | fill=00000000 | rows=[18, 19, 20, 21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='0.19' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='0.19' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='0.19' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='0.19' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.19' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='0.19' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='0.157' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='0.157' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0.157' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='0.157' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='0.157' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='0.157' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B20 | value='0.164' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='0.164' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='0.164' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='0.164' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='0.164' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='0.164' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='0.142' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='0.142' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='0.142' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='0.142' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='0.142' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0.142' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B21 | value='0.153' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='0.153' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='0.153' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='0.153' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='0.153' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='0.153' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='0.157' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='0.157' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='0.157' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='0.157' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='0.157' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='0.157' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell B22 | value='0.166' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='0.166' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='0.166' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='0.166' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='0.166' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='0.166' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0.162' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='0.162' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='0.162' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='0.162' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='0.162' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='0.162' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False

