=== society-table12.xlsx ===
Cell B1 | value='2000' | fill=7 | rows=[0] | cols=[1, 2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell K2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD2 | value='Planned Hrs' | fill=FFFFFF00 | rows=[1] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE2 | value='Actual Hrs' | fill=FFFFFF00 | rows=[1] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG2 | value='Percentage' | fill=FFFFFF00 | rows=[1] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Client Billable' | fill=None | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='50' | fill=None | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='10' | fill=None | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='-40' | fill=None | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='0.2' | fill=None | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='200' | fill=None | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='10' | fill=None | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='-190' | fill=None | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='0.2' | fill=None | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='200' | fill=None | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='10' | fill=None | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='-190' | fill=None | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='0.2' | fill=None | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='200' | fill=None | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='10' | fill=None | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='-190' | fill=None | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='0.2' | fill=None | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='200' | fill=None | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='10' | fill=None | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='-190' | fill=None | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='0.2' | fill=None | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='200' | fill=None | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='10' | fill=None | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='-190' | fill=None | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='0.2' | fill=None | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='200' | fill=None | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='10' | fill=None | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='-190' | fill=None | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC3 | value='0.2' | fill=None | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD3 | value='200' | fill=None | rows=[2] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE3 | value='10' | fill=None | rows=[2] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF3 | value='-190' | fill=None | rows=[2] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='0.2' | fill=None | rows=[2] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Marketing' | fill=None | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='50' | fill=None | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='10' | fill=None | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='-40' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='0.2' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='200' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='10' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='-190' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='0.2' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='200' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='10' | fill=None | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='-190' | fill=None | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='0.2' | fill=None | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='200' | fill=None | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='10' | fill=None | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='-190' | fill=None | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='0.2' | fill=None | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='200' | fill=None | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='10' | fill=None | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='-190' | fill=None | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='0.2' | fill=None | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='200' | fill=None | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='10' | fill=None | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='-190' | fill=None | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='0.2' | fill=None | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='200' | fill=None | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='10' | fill=None | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB4 | value='-190' | fill=None | rows=[3] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC4 | value='0.2' | fill=None | rows=[3] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD4 | value='200' | fill=None | rows=[3] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE4 | value='10' | fill=None | rows=[3] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF4 | value='-190' | fill=None | rows=[3] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG4 | value='0.2' | fill=None | rows=[3] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Practice Development & Research' | fill=None | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='50' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='10' | fill=None | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-40' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='0.2' | fill=None | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='200' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='10' | fill=None | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='-190' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='0.2' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='200' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='10' | fill=None | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='-190' | fill=None | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='0.2' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='200' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='10' | fill=None | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='-190' | fill=None | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='0.2' | fill=None | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='200' | fill=None | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='10' | fill=None | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='-190' | fill=None | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='0.2' | fill=None | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='200' | fill=None | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='10' | fill=None | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='-190' | fill=None | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='0.2' | fill=None | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='200' | fill=None | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='10' | fill=None | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='-190' | fill=None | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='0.2' | fill=None | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='200' | fill=None | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='10' | fill=None | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='-190' | fill=None | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='0.2' | fill=None | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Education' | fill=None | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='50' | fill=None | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='10' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='-40' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='0.2' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='200' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='10' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='-190' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0.2' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='200' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='10' | fill=None | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='-190' | fill=None | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='0.2' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='200' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='10' | fill=None | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='-190' | fill=None | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='0.2' | fill=None | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='200' | fill=None | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='10' | fill=None | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='-190' | fill=None | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='0.2' | fill=None | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='200' | fill=None | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='10' | fill=None | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='-190' | fill=None | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='0.2' | fill=None | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='200' | fill=None | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='10' | fill=None | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='-190' | fill=None | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='0.2' | fill=None | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='200' | fill=None | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE6 | value='10' | fill=None | rows=[5] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF6 | value='-190' | fill=None | rows=[5] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG6 | value='0.2' | fill=None | rows=[5] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Administration' | fill=None | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='50' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='10' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='-40' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='0.2' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='200' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='10' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='-190' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0.2' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='200' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='10' | fill=None | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='-190' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0.2' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='200' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='10' | fill=None | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='-190' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0.2' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='200' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='10' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='-190' | fill=None | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='0.2' | fill=None | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='200' | fill=None | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='10' | fill=None | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='-190' | fill=None | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='0.2' | fill=None | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='200' | fill=None | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='10' | fill=None | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='-190' | fill=None | rows=[6] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC7 | value='0.2' | fill=None | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='200' | fill=None | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='10' | fill=None | rows=[6] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF7 | value='-190' | fill=None | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='0.2' | fill=None | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Total' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='250' | fill=None | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='50' | fill=None | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='-200' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='1' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='1000' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='50' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='-950' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='1' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='1000' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='50' | fill=None | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='-950' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='1' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='1000' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='50' | fill=None | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='-950' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='1' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='1000' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='50' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='-950' | fill=None | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='1' | fill=None | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='1000' | fill=None | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='50' | fill=None | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='-950' | fill=None | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='1' | fill=None | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='1000' | fill=None | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='50' | fill=None | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='-950' | fill=None | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='1' | fill=None | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='1000' | fill=None | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE8 | value='50' | fill=None | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF8 | value='-950' | fill=None | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG8 | value='1' | fill=None | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=False

