=== economy-table56.xlsx ===
Cell B5 | value='January' | fill=FFFFFFFF | rows=[4] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell L11 | value='-755.3' | fill=FFFFFFFF | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Product 5' | fill=FFFFFFFF | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='5347.35' | fill=FFFFFFFF | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='-5347.35' | fill=FFFFFFFF | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F12 | value='-5347.35' | fill=FFFFFFFF | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='5347.35' | fill=FFFFFFFF | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Product 6' | fill=FFFFFFFF | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='56.49' | fill=FFFFFFFF | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='-56.49' | fill=FFFFFFFF | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='0' | fill=FFFFFFFF | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Product 7' | fill=FFFFFFFF | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='2500' | fill=FFFFFFFF | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='4700' | fill=FFFFFFFF | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='-2500' | fill=FFFFFFFF | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F14 | value='-2500' | fill=FFFFFFFF | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='2500' | fill=FFFFFFFF | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0' | fill=FFFFFFFF | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Product 8' | fill=FFFFFFFF | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='9442.47' | fill=FFFFFFFF | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='10723.7' | fill=FFFFFFFF | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='1281.23' | fill=FFFFFFFF | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F15 | value='13214.28' | fill=FFFFFFFF | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='10723.7' | fill=FFFFFFFF | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='-2490.58' | fill=FFFFFFFF | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J15 | value='9441.59' | fill=FFFFFFFF | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='10723.7' | fill=FFFFFFFF | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='1282.11' | fill=FFFFFFFF | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Product 9' | fill=FFFFFFFF | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='147.35' | fill=FFFFFFFF | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='-147.35' | fill=FFFFFFFF | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F16 | value='147.35' | fill=FFFFFFFF | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='-147.35' | fill=FFFFFFFF | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J16 | value='147.35' | fill=FFFFFFFF | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0' | fill=FFFFFFFF | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='-147.35' | fill=FFFFFFFF | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Product 10' | fill=FFFFFFFF | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='983.27' | fill=FFFFFFFF | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='1208.33333333333' | fill=FFFFFFFF | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='225.063333333333' | fill=FFFFFFFF | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F17 | value='983.27' | fill=FFFFFFFF | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='1208.33333333333' | fill=FFFFFFFF | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='225.063333333333' | fill=FFFFFFFF | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J17 | value='983.27' | fill=FFFFFFFF | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='1208.33333333333' | fill=FFFFFFFF | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='225.063333333333' | fill=FFFFFFFF | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False

