=== science-table02.xlsx ===
Cell B1 | value='Income-based tax support for R&D and Innovation' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell B41 | value='Portugal' | fill=FFE2F2FB | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D41 | value='0.003' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Slovak Republic' | fill=FFE2F2FB | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D42 | value='0.0118' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Slovenia' | fill=FFE2F2FB | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D43 | value='0' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Spain' | fill=FFE2F2FB | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D44 | value='0.007' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Sweden' | fill=FFE2F2FB | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D45 | value='0' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Switzerland' | fill=FFE2F2FB | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D46 | value='O ..' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Türkiye' | fill=FFE2F2FB | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D47 | value='O ..' | fill=00000000 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B48 | value='United Kingdom' | fill=FFE2F2FB | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D48 | value='0.0581' | fill=00000000 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B49 | value='United States' | fill=FFE2F2FB | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D49 | value='0.0997' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Non-OECD economies' | fill=FFE2F2FB | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B51 | value='·  Brazil' | fill=FFE2F2FB | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D51 | value='0' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B52 | value='·  Bulgaria' | fill=FFE2F2FB | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D52 | value='0' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B53 | value='·  China (People’s Republic of)' | fill=FFE2F2FB | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D53 | value='O ..' | fill=00000000 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B54 | value='·  Croatia' | fill=FFE2F2FB | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D54 | value='0' | fill=00000000 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B55 | value='·  Cyprus' | fill=FFE2F2FB | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D55 | value='0.7203' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B56 | value='·  Peru' | fill=FFE2F2FB | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D56 | value='0' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B57 | value='·  Romania' | fill=FFE2F2FB | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D57 | value='0.0165' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B58 | value='·  South Africa' | fill=FFE2F2FB | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D58 | value='0' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B59 | value='·  Thailand' | fill=FFE2F2FB | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D59 | value='O ..' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B61 | value='© Terms & conditions' | fill=FF00B0F0 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell E61 | value='Income-based tax support for R&D and Innovation' | fill=FF00B0F0 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=True

