=== environment-table24.xlsx ===
Cell A1 | value='Table 8 Scientific procedures (non-toxicology) by species of animal and techniques of particular interest' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell J11 | value='-' | fill=47 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='212' | fill=47 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='218' | fill=47 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Dog' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='-' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='-' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='-' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='-' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='-' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='-' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='4' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='-' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='-' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='907' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='911' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Ferret' | fill=47 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='35' | fill=47 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='3' | fill=47 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='-' | fill=47 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='-' | fill=47 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='-' | fill=47 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='-' | fill=47 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='-' | fill=47 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='-' | fill=47 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='-' | fill=47 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='627' | fill=47 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='665' | fill=47 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Other carnivore' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='-' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='-' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='-' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='-' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='-' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='-' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='-' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='-' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='-' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='757' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='757' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Horse and other equids' | fill=47 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='-' | fill=47 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='-' | fill=47 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='-' | fill=47 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='-' | fill=47 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='-' | fill=47 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='-' | fill=47 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='12' | fill=47 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='-' | fill=47 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='-' | fill=47 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='8296' | fill=47 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='8308' | fill=47 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Pigs, sheep & all other ungulate' | fill=00000000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='71' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='4' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='-' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='20' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='-' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='-' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='54' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='-' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='264' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='43911' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='44324' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Primate' | fill=47 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A18 | value='New World monkey' | fill=00000000 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='-' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='-' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='51' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='9' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='-' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='-' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='24' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='-' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='-' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='158' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='242' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Old World monkey' | fill=47 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='7' | fill=47 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='-' | fill=47 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='37' | fill=47 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='-' | fill=47 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='-' | fill=47 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='-' | fill=47 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='-' | fill=47 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='-' | fill=47 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='-' | fill=47 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='522' | fill=47 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='566' | fill=47 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A20 | value='All other mammals' | fill=00000000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='13' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='-' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='-' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='-' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='-' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='-' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='-' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='-' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='-' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='532' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='545' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Bird' | fill=47 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='162' | fill=47 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='-' | fill=47 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='250' | fill=47 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='88' | fill=47 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='514' | fill=47 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='-' | fill=47 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='-' | fill=47 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='-' | fill=47 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='-' | fill=47 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='145952' | fill=47 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='146966' | fill=47 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Reptile, amphibian' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='-' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='-' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='-' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='-' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='-' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='-' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='-' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='-' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='73' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='15806' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='15879' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Fish' | fill=47 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='587' | fill=47 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='-' | fill=47 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='-' | fill=47 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='857' | fill=47 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='-' | fill=47 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='-' | fill=47 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='-' | fill=47 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='-' | fill=47 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='117' | fill=47 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='485992' | fill=47 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='487553' | fill=47 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Total' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='26366' | fill=43 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='9833' | fill=43 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='21884' | fill=43 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='2880' | fill=43 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='6793' | fill=43 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='23663' | fill=43 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='55035' | fill=43 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='0' | fill=43 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='4203' | fill=43 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='3243074' | fill=43 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='3393731' | fill=43 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Increase on 2010' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='-411' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='-553' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='1222' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='564' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='-416' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='4340' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='4762' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='-48' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='-2190' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='52929' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='60199' | fill=00000000 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Percentage change from 2010' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='-0.01534899353923143' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='-0.05324475255151165' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='0.059142386990610786' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='0.24352331606217617' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='-0.057705645720626995' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='0.22460280494747192' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0.09472281343862511' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='-1' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='-0.342562177381511' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='0.01659140885445646' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='0.01805862370602712' | fill=00000000 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Percentage of total for 2011' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='0.007769030603780912' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='0.002897401119888406' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='0.006448360226547125' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='0.0008486235355719119' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='0.002001631832340277' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='0.006972562056332691' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0.016216665375069505' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='0' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0.0012384599722252588' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='0.9556072652782439' | fill=00000000 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='1' | fill=00000000 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A28 | value='2010 Totals' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='26777' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='10386' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='20662' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
