=== society-table41.xlsx ===
Cell C1 | value='Demographic and Epidemiological Data' | fill=FF00B0F0 | rows=[0] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell H5 | value='4989342' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='5024148' | fill=9 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='5053303' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='FamPlan/Proximate Determinants: Percent of women 15-49 in union' | fill=None | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Pregnancies' | fill=FF00B050 | rows=[5] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='Pregnancies' | fill=FF00B050 | rows=[5] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E6 | value='FamPlan Result' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G6 | value='Births + Abortions + Miscarriage' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='1067630' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='1061789' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='1057944' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='FamPlan/Results/Demographic Events\Pregnancies' | fill=None | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Births' | fill=FF00B050 | rows=[6] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='Births' | fill=FF00B050 | rows=[6] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E7 | value='Fam Plan Result' | fill=None | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='53.586550282403' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='Total Pop x CBR/1000' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='681650' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='677212' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='674024' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='FamPlan/Results/Demographic Events\Births' | fill=None | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Abortions' | fill=FF00B050 | rows=[7] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='Abortions' | fill=FF00B050 | rows=[7] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell F8 | value='0.231529649785038' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H8 | value='247188' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='246545' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='246387' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='LiST/Health status, mortality and economic status/Abortions' | fill=None | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Miscarriage' | fill=FF00B050 | rows=[8] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D9 | value='Miscarriage' | fill=FF00B050 | rows=[8] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E9 | value='LiST' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0.13' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H9 | value='138791.9' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='138032.57' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='137532.72' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='LiST/Health status, mortality and economic status/Abortions' | fill=None | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Newborns' | fill=FF00B050 | rows=[9] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D10 | value='Newborns' | fill=FF00B050 | rows=[9] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E10 | value='=Births' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H10 | value='681650' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='677212' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='674024' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Children < 1' | fill=FF00B050 | rows=[10] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D11 | value='Children < 1' | fill=FF00B050 | rows=[10] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E11 | value='=Births' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H11 | value='681650' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='677212' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='674024' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Children under 5' | fill=FF00B050 | rows=[11] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D12 | value='Population aged 0-4' | fill=FF00B050 | rows=[11] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E12 | value='UN Pop Division/LiST' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H12 | value='3389553' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='3359654' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='3334037' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='DemProj/Demographic Data' | fill=None | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Int# in LiST' | fill=FFFFFF00 | rows=[12] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B13 | value='Int#' | fill=FFFFFF00 | rows=[12] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C13 | value='EPIDEMIOLOGICAL DATA' | fill=FFFFFF00 | rows=[12] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D13 | value='Name in Spectrum Download' | fill=FFFFFF00 | rows=[12] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E13 | value='Target Population' | fill=FFFFFF00 | rows=[12] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F13 | value='% Requiring Intervention' | fill=FFFFFF00 | rows=[12] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G13 | value='Note' | fill=FFFFFF00 | rows=[12] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H13 | value='No. Requiring Intervention 2019' | fill=FFFFFF00 | rows=[12] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I13 | value='No. Requiring Intervention 2020' | fill=FFFFFF00 | rows=[12] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J13 | value='No. Requiring Intervention 2021' | fill=FFFFFF00 | rows=[12] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K13 | value='LiST Data Table' | fill=FFFFFF00 | rows=[12] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A14 | value='1' | fill=9 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='2' | fill=9 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='FP - Condoms' | fill=FF00B050 | rows=[13] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='FP - Condoms' | fill=FF00B050 | rows=[13] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E14 | value='Married WRA' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='% of Women Using' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A15 | value='2' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='6' | fill=9 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='FP - Female Sterilization' | fill=FF00B050 | rows=[14] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D15 | value='FP - Female Sterilization' | fill=FF00B050 | rows=[14] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E15 | value='Married WRA' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='0' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='% of Women Using' | fill=None | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='0' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='0' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A16 | value='3' | fill=9 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='7' | fill=9 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='FP - Male Sterilization' | fill=FF00B050 | rows=[15] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='FP - Male Sterilization' | fill=FF00B050 | rows=[15] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E16 | value='Married WRA' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='% of Women Using' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A17 | value='4' | fill=9 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='3' | fill=9 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='FP - Injectables' | fill=FF00B050 | rows=[16] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='FP - Injectables' | fill=FF00B050 | rows=[16] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E17 | value='Married WRA' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='% of Women Using' | fill=None | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0' | fill=None | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='0' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A18 | value='5' | fill=9 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='4' | fill=9 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='FP - Implants' | fill=FF00B050 | rows=[17] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D18 | value='FP - Implants' | fill=FF00B050 | rows=[17] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E18 | value='Married WRA' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='0' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='% of Women Using' | fill=None | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0' | fill=None | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='0' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='0' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A19 | value='6' | fill=9 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='5' | fill=9 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='FP - IUD' | fill=FF00B050 | rows=[18] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D19 | value='FP - IUD' | fill=FF00B050 | rows=[18] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E19 | value='Married WRA' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.04368497' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='% of Women Using' | fill=None | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='217959.25558974' | fill=None | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='219479.75465556' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='220753.38995591' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A20 | value='7' | fill=9 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='1' | fill=9 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='FP - Pills' | fill=FF00B050 | rows=[19] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D20 | value='FP - Pills' | fill=FF00B050 | rows=[19] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E20 | value='Married WRA' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='0.50341753' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='% of Women Using' | fill=None | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='2511722.22596526' | fill=None | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='2529244.17651444' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='2543921.31460159' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A21 | value='8' | fill=9 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='8' | fill=9 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='FP - Traditional Methods' | fill=FF00B050 | rows=[20] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D21 | value='FP - Traditional Methods' | fill=FF00B050 | rows=[20] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E21 | value='Married WRA' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='0.11025259' | fill=9 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='% of Women Using' | fill=None | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='550087.87789578' | fill=None | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='553925.32954332' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='557139.74380477' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='FamPlan/Goal: CPR and FamPlan/Proximate Determinants: Method Mix' | fill=None | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A22 | value='9' | fill=4 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='68' | fill=4 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Folic acid supplementation/fortification' | fill=FF00B050 | rows=[21] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D22 | value='Folic acid supplementation/fortification' | fill=FF00B050 | rows=[21] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E22 | value='Women of Reproductive Age (aged15-49)' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='1' | fill=9 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H22 | value='9539852' | fill=None | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='9606402' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='9662148' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A23 | value='10' | fill=4 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='34' | fill=4 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Safe abortion services' | fill=FF00B050 | rows=[22] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D23 | value='Safe abortion services' | fill=FF00B050 | rows=[22] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E23 | value='Abortions' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='1' | fill=9 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='All abortions' | fill=None | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='247188' | fill=None | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='246545' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='246387' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A24 | value='11' | fill=4 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='35' | fill=4 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Post abortion case management' | fill=FF00B050 | rows=[23] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D24 | value='Post abortion case management' | fill=FF00B050 | rows=[23] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E24 | value='Abortions' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='0.2635' | fill=9 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='1% of safe abortions, 40% of unsafe' | fill=None | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='65134.038' | fill=None | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='64964.6075' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='64922.9745' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='65% of abortions are unsafe  (FamPlan Impact Rates)' | fill=None | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A25 | value='12' | fill=4 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='38' | fill=4 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='Ectopic pregnancy case management' | fill=FF00B050 | rows=[24] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D25 | value='Ectopic pregnancy case management' | fill=FF00B050 | rows=[24] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E25 | value='Pregnancies' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='0.01' | fill=9 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='2% incidence, 50% requiring treatment' | fill=None | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='10676.3' | fill=None | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='10617.89' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='10579.44' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='Estimate, no data in LiST' | fill=None | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A26 | value='13' | fill=4 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='72' | fill=4 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='Blanket iron supplementation/fortification' | fill=FF00B050 | rows=[25] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D26 | value='Blanket iron supplementation/fortification' | fill=FF00B050 | rows=[25] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E26 | value='Women of Reproductive Age (aged15-49)' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='1' | fill=9 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='All women of rep. age' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='9539852' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='9606402' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='9662148' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A27 | value='14' | fill=5 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='9' | fill=5 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[26] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D27 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[26] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E27 | value='Pregnancies' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='1' | fill=9 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='All pregnant women' | fill=None | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='1067630' | fill=None | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='1061789' | fill=None | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='1057944' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A28 | value='15' | fill=5 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='10' | fill=5 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='Antenatal care (at least 4 visits)' | fill=FF00B050 | rows=[27] | cols=[2] | col_header=False | row_header=True | metadata=False
