=== transport-table05.xlsx ===
Cell C1 | value='Key services' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Rural3' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Urban3' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Rural3' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Number of people with reasonable access' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A5 | value='2007' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='Public Transport / Walking' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='548300' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='47000' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='248900' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='17700' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='215100' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='14200' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='..' | fill=9 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='..' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='3278500' | fill=9 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='299800' | fill=9 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='2132400' | fill=9 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='140300' | fill=9 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='2854400' | fill=9 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='269100' | fill=9 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='..' | fill=9 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='..' | fill=9 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Cycle' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='409300' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='26100' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='317400' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='23000' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='223500' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='10300' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='..' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='..' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='3100100' | fill=9 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='242900' | fill=9 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='2235300' | fill=9 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='84200' | fill=9 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='3157900' | fill=9 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='278200' | fill=9 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='..' | fill=9 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='..' | fill=9 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Car' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='587200' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='56800' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='308900' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='24800' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='302700' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='25300' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='..' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='..' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='3866100' | fill=9 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='424900' | fill=9 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='3841800' | fill=9 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='379500' | fill=9 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='3411900' | fill=9 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='374600' | fill=9 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='..' | fill=9 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='..' | fill=9 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A8 | value='2008' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='Public Transport / Walking' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='674500' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='73200' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='241300' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='17300' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='207100' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='13600' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='..' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='..' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='3270100' | fill=9 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='299100' | fill=9 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='2112600' | fill=9 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='139800' | fill=9 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='2846900' | fill=9 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='269100' | fill=9 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='..' | fill=9 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='..' | fill=9 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Cycle' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='504200' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='41900' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='308200' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='22600' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='252500' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='10900' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='..' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='..' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='3096700' | fill=9 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='243000' | fill=9 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='2231000' | fill=9 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='84200' | fill=9 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='3155500' | fill=9 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='278700' | fill=9 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='..' | fill=9 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='..' | fill=9 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Car' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='724700' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='85500' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='300000' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='24300' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='293900' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='24200' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='..' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='..' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='3861900' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='425000' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='3821100' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='369600' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='3408000' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='372700' | fill=9 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='..' | fill=9 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='..' | fill=9 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A11 | value='2009' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='Public Transport / Walking' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='910200' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='86800' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='244200' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='17400' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='213200' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='13200' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='..' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='..' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='3512800' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='325800' | fill=9 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='2110600' | fill=9 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='127400' | fill=9 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='3013300' | fill=9 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='270500' | fill=9 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='2063200' | fill=9 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='129100' | fill=9 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Cycle' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='675700' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='54600' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='311800' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='23900' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='218500' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='10000' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='..' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='..' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='3272600' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='288200' | fill=9 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='2095400' | fill=9 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='68800' | fill=9 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='3323600' | fill=9 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='292300' | fill=9 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='2638000' | fill=9 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='110600' | fill=9 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Car' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='977400' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='114500' | fill=9 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='303800' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='26000' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='296600' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='25300' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='..' | fill=9 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='..' | fill=9 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='4072600' | fill=9 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='452900' | fill=9 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='4018900' | fill=9 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='385700' | fill=9 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='3594100' | fill=9 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='397600' | fill=9 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='3586600' | fill=9 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='352900' | fill=9 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A14 | value='2010' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='Public Transport / Walking' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='812300' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='81800' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='262100' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='21300' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='222000' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='16000' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='..' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='..' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='3448900' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='343500' | fill=9 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='1964100' | fill=9 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='126300' | fill=9 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='3123600' | fill=9 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='292100' | fill=9 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='2077800' | fill=9 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='138600' | fill=9 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Cycle' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='607100' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='48300' | fill=9 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='338100' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='29300' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='237200' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='12500' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='..' | fill=9 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='..' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='3313500' | fill=9 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='312500' | fill=9 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='2145500' | fill=9 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='77900' | fill=9 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='3340000' | fill=9 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='310800' | fill=9 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='2808900' | fill=9 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='126300' | fill=9 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Car' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='868400' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='96400' | fill=9 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='328200' | fill=9 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='30200' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='309900' | fill=9 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='28800' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='..' | fill=9 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='..' | fill=9 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='4065600' | fill=9 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='449500' | fill=9 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='3998900' | fill=9 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='380600' | fill=9 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='3587800' | fill=9 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='395300' | fill=9 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='3583200' | fill=9 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='356000' | fill=9 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Car (new method)5' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='867700' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='95700' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='327800' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='30000' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='308200' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='27200' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='..' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='..' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='4060800' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='446100' | fill=9 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='3655100' | fill=9 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='324800' | fill=9 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='3583700' | fill=9 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='389300' | fill=9 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='3350400' | fill=9 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='290600' | fill=9 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A18 | value='2011' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='Public Transport / Walking' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='673300' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='71500' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='261600' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='21100' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='220100' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='15400' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='..' | fill=9 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='..' | fill=9 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
