=== economy-table116.xlsx ===
Cell A1 | value='Time period' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell B9 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D9 | value='245.8405' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='246.8567' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='248.9132' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='254.7283' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='250.7867' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='259.7714' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='258.545' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='260.3255' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='264.7445' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='265.8481' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='267.735' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Israel' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='Total - all activities' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A11 | value='Israel' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D11 | value='143.3143' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='148.8258' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='143.689' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='141.8083' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='142.5971' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='144.3737' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='143.1458' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='146.5222' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='145.4804' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='143.2319' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='145.0337' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='143.9604' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='146.382' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Italy' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='Total - all activities' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A13 | value='Italy' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D13 | value='111.9058' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='111.8017' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='111.7941' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='111.8112' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='111.7935' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='111.8669' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='111.6585' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='111.5553' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='111.6333' | fill=00000000 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='111.6967' | fill=00000000 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='111.7515' | fill=00000000 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='111.8279' | fill=00000000 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='111.8955' | fill=00000000 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Japan' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='Total - all activities' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A15 | value='Japan' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D15 | value='107.5505' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='104.9589' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='104.9589' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='104.9589' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='106.5537' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='106.6534' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='114.2288' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='111.6372' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='107.6501' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='108.5472' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='109.1453' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Luxembourg' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='Total - all activities' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A17 | value='Luxembourg' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D17 | value='106.5361' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='107.3163' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='107.5879' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='105.3675' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='108.6221' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='105.4103' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='106.5754' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='105.6887' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='105.0053' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='104.1494' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Mexico' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='Total - all activities' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A19 | value='Mexico' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D19 | value='193.2108' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='194.3849' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='196.812' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='197.8309' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='198.6646' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='200.798' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='201.1138' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='202.6442' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='205.854' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='204.9755' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='208.2129' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Netherlands' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='Total - all activities' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A21 | value='Netherlands' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D21 | value='126.925' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='129.3874' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='129.7158' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='130.0424' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='130.249' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='130.423' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='131.7247' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='134.049' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='134.2366' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='134.3743' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Poland' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='Total - all activities' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A23 | value='Poland' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D23 | value='188.0163' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='192.0297' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='194.6193' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='196.0948' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='196.6903' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='198.0858' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='200.7864' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='201.7786' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='203.3579' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='203.4873' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Slovak Republic' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='Total - all activities' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A25 | value='Slovak Republic' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D25 | value='165.2656' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='165.1683' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='168.4058' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='169.5655' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='167.7851' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='168.9997' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='171.2348' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='170.4848' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='171.4704' | fill=00000000 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='171.47' | fill=00000000 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Slovenia' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='Total - all activities' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A27 | value='Slovenia' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D27 | value='188.3848' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='149.0082' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='148.7007' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='151.6055' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='151.9137' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='154.1322' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='155.0509' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='154.1113' | fill=00000000 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='156.0986' | fill=00000000 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='156.907' | fill=00000000 | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='156.5195' | fill=00000000 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Sweden' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='Total - all activities' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A29 | value='Sweden' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D29 | value='122.1571' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='123.3318' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='123.0989' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='123.0615' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='125.6047' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='124.5162' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='125.6601' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='126.7258' | fill=00000000 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='125.9324' | fill=00000000 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='126.1574' | fill=00000000 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='126.6686' | fill=00000000 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A30 | value='United Kingdom' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='Total - all activities' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A31 | value='United Kingdom' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D31 | value='129.4035' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='130.178' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='131.5979' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='135.3413' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='134.4377' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='134.6958' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='135.4703' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='134.954' | fill=00000000 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='135.793' | fill=00000000 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='136.6966' | fill=00000000 | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='137.2129' | fill=00000000 | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A32 | value='United States' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='Total - all activities' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A33 | value='United States' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D33 | value='136.3088' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='136.7108' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='137.4142' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='137.9668' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='138.419' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='138.9214' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='139.6248' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='140.479' | fill=00000000 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='140.5292' | fill=00000000 | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='141.2326' | fill=00000000 | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='141.5843' | fill=00000000 | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='142.1872' | fill=00000000 | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A34 | value='G7' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='Total - all activities' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A35 | value='G7' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='·  Earnings, Manufacturing' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
