=== society-table48.xlsx ===
Cell D1 | value='Int# in LiST' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell C42 | value='Antenatal corticosteroids for preterm labor' | fill=FF00B050 | rows=[41] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D42 | value='41' | fill=2 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='32' | fill=2 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C43 | value='Cesarean delivery' | fill=FF00B050 | rows=[42] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D43 | value='42' | fill=2 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='36' | fill=2 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C44 | value='Blood transfusion' | fill=FF00B050 | rows=[43] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D44 | value='43' | fill=2 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='37' | fill=2 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A45 | value='Breastfeeding' | fill=FF00B050 | rows=[44] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C45 | value='Breastfeeding' | fill=FF00B050 | rows=[44] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D45 | value='44' | fill=None | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='48' | fill=None | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A46 | value='Preventive Interventions' | fill=FF00B050 | rows=[45, 46, 47, 48, 49, 50, 51, 52, 53, 54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B46 | value='Feeding and Supplements' | fill=FF00B050 | rows=[45, 46, 47, 48] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C46 | value='Complementary feeding - Education only' | fill=FF00B050 | rows=[45] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D46 | value='45' | fill=8 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='49' | fill=8 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C47 | value='Complementary feeding - Supplementary feeding + Education' | fill=FF00B050 | rows=[46] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D47 | value='46' | fill=8 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='50' | fill=8 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C48 | value='Vitamin A supplementation' | fill=FF00B050 | rows=[47] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D48 | value='47' | fill=8 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='61' | fill=8 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C49 | value='Zinc supplementation' | fill=FF00B050 | rows=[48] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D49 | value='48' | fill=8 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='62' | fill=8 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B50 | value='WASH' | fill=FF00B050 | rows=[49, 50, 51, 52, 53] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C50 | value='Basic sanitation' | fill=FF00B050 | rows=[49] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D50 | value='49' | fill=8 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='Not
Incl.' | fill=8 | rows=[49, 50, 51, 52, 53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C51 | value='Point-of-use filtered water' | fill=FF00B050 | rows=[50] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D51 | value='50' | fill=8 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C52 | value='Piped water' | fill=FF00B050 | rows=[51] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D52 | value='51' | fill=8 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C53 | value='Hand washing with soap' | fill=FF00B050 | rows=[52] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D53 | value='52' | fill=8 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell C54 | value='Hygienic disposal of children's stools' | fill=FF00B050 | rows=[53] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D54 | value='53' | fill=8 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Other' | fill=FF00B050 | rows=[54] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C55 | value='ITN/IRS - Households protected from malaria' | fill=FF00B050 | rows=[54] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D55 | value='54' | fill=8 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='71' | fill=8 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Vaccines' | fill=FF00B050 | rows=[55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C56 | value='BCG - Single dose' | fill=FF00B050 | rows=[55] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D56 | value='55' | fill=7 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='51' | fill=7 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C57 | value='Polio - Three doses' | fill=FF00B050 | rows=[56] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D57 | value='56' | fill=7 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='52' | fill=7 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C58 | value='Pentavalent' | fill=FF00B050 | rows=[57] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell C59 | value='DPT - Three doses' | fill=FF00B050 | rows=[58] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D59 | value='57' | fill=7 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='53' | fill=7 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C60 | value='Hib - Three doses' | fill=FF00B050 | rows=[59] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D60 | value='58' | fill=7 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E60 | value='54' | fill=7 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C61 | value='HepB - Three doses' | fill=FF00B050 | rows=[60] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D61 | value='59' | fill=7 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='55' | fill=7 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C62 | value='Pneumococcal - Three doses' | fill=FF00B050 | rows=[61] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D62 | value='60' | fill=7 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E62 | value='56' | fill=7 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C63 | value='Rotavirus - Two doses' | fill=FF00B050 | rows=[62] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D63 | value='61' | fill=7 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='57' | fill=7 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C64 | value='Meningococcal A - Single dose' | fill=FF00B050 | rows=[63] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D64 | value='62' | fill=7 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='58' | fill=7 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C65 | value='Malaria vaccine - Three doses' | fill=FF00B050 | rows=[64] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D65 | value='63' | fill=7 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E65 | value='59' | fill=7 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C66 | value='Measles - Single dose' | fill=FF00B050 | rows=[65] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D66 | value='64' | fill=7 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E66 | value='60' | fill=7 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A67 | value='Curative Interventions' | fill=FF00B050 | rows=[66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B67 | value='Maternal' | fill=FF00B050 | rows=[66] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C67 | value='Maternal sepsis case management' | fill=FF00B050 | rows=[66] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D67 | value='65' | fill=5 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='33' | fill=5 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Neonatal' | fill=FF00B050 | rows=[67, 68, 69, 70, 71, 72, 73] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C68 | value='Case management of premature babies' | fill=FF00B050 | rows=[67] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell C69 | value='Kangaroo-Mother Care (KMC)' | fill=FF00B050 | rows=[68] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D69 | value='66' | fill=5 | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='43' | fill=5 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C70 | value='Full supportive care of prematurity' | fill=FF00B050 | rows=[69] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D70 | value='67' | fill=5 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='44' | fill=5 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C71 | value='Case management of neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[70] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell C72 | value='Oral antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[71] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D72 | value='68' | fill=5 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E72 | value='45' | fill=5 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C73 | value='Injectable antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[72] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D73 | value='69' | fill=5 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='46' | fill=5 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C74 | value='Full supportive care for neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[73] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D74 | value='70' | fill=5 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='47' | fill=5 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Diarrhea' | fill=FF00B050 | rows=[74, 75, 76] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C75 | value='ORS - Oral Rehydration Solution' | fill=FF00B050 | rows=[74] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D75 | value='71' | fill=5 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='63' | fill=5 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C76 | value='Antibiotics for treatment of dysentery' | fill=FF00B050 | rows=[75] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D76 | value='72' | fill=5 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='64' | fill=5 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C77 | value='Zinc for treatment of diarrhea' | fill=FF00B050 | rows=[76] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D77 | value='73' | fill=5 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='65' | fill=5 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Other infectious diseases' | fill=FF00B050 | rows=[77, 78, 79] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C78 | value='Oral antibiotics for pneumonia' | fill=FF00B050 | rows=[77] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D78 | value='74' | fill=5 | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='66' | fill=5 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C79 | value='Vitamin A for treatment of measles' | fill=FF00B050 | rows=[78] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D79 | value='75' | fill=5 | rows=[78] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E79 | value='67' | fill=5 | rows=[78] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell C80 | value='ACTs - Artemisinin compounds for treatment of malaria' | fill=FF00B050 | rows=[79] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D80 | value='76' | fill=5 | rows=[79] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E80 | value='68' | fill=5 | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B81 | value='Malnutrition' | fill=FF00B050 | rows=[80] | cols=[1] | col_header=False | row_header=True | metadata=False
