=== science-table09.xlsx ===
Cell A2 | value='Time = 0 min' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell I8 | value='1.36666666666667' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='1.06666666666667' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A10 | value='ROI 3' | fill=FFFFFF00 | rows=[9] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G10 | value='ROI 4' | fill=FFFFFF00 | rows=[9] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B11 | value='M0' | fill=FFFFFF00 | rows=[10] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C11 | value='IFN-y' | fill=FFFFFF00 | rows=[10] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D11 | value='LPS' | fill=FFFFFF00 | rows=[10] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E11 | value='M2' | fill=FFFFFF00 | rows=[10] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H11 | value='M0' | fill=FFFFFF00 | rows=[10] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I11 | value='IFN-y' | fill=FFFFFF00 | rows=[10] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J11 | value='LPS' | fill=FFFFFF00 | rows=[10] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K11 | value='M2' | fill=FFFFFF00 | rows=[10] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A12 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='1' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='21' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='19' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='12' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[11] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H12 | value='8' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='238' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='44' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='9' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='0' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='8' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='4' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='0' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G13 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[12] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H13 | value='7' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='116' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='15' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='4' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='0' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='59' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='14' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[13] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H14 | value='38' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='640' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='51' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='8' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Phagocytosis Index' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='0' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='2.80952380952381' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0.736842105263158' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='0' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G15 | value='Phagocytosis Index' | fill=FF00B050 | rows=[14] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H15 | value='4.75' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='2.6890756302521' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='1.15909090909091' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='0.888888888888889' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A17 | value='ROI 5' | fill=00000000 | rows=[16] | cols=[0, 1, 2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell G17 | value='ROI 6' | fill=00000000 | rows=[16] | cols=[6, 7, 8, 9, 10] | col_header=False | row_header=False | metadata=False
Cell B18 | value='M0' | fill=FFFFFF00 | rows=[17] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C18 | value='IFN-y' | fill=FFFFFF00 | rows=[17] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D18 | value='LPS' | fill=FFFFFF00 | rows=[17] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E18 | value='M2' | fill=FFFFFF00 | rows=[17] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H18 | value='M0' | fill=FFFFFF00 | rows=[17] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I18 | value='IFN-y' | fill=FFFFFF00 | rows=[17] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J18 | value='LPS' | fill=FFFFFF00 | rows=[17] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K18 | value='M2' | fill=FFFFFF00 | rows=[17] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A19 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='7' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='28' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='40' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='4' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G19 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[18] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H19 | value='0' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='27' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='38' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='8' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='6' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='26' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='7' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='0' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G20 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[19] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H20 | value='0' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='22' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='2' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='2' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='19' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='78' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='21' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='0' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G21 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[20] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H21 | value='0' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='96' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='4' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='4' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Phagocytosis Index' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='2.71428571428571' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='2.78571428571429' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='0.525' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='0' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G22 | value='Phagocytosis Index' | fill=FF00B050 | rows=[21] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H22 | value='#DIV/0!' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='3.55555555555556' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='0.105263157894737' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='0.5' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Time = 30 min' | fill=FFFFFF00 | rows=[23] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A25 | value='ROI 1' | fill=FFFFFF00 | rows=[24] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G25 | value='ROI 2' | fill=FFFFFF00 | rows=[24] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B26 | value='M0' | fill=FFFFFF00 | rows=[25] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C26 | value='IFN-y' | fill=FFFFFF00 | rows=[25] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D26 | value='LPS' | fill=FFFFFF00 | rows=[25] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E26 | value='M2' | fill=FFFFFF00 | rows=[25] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H26 | value='M0' | fill=FFFFFF00 | rows=[25] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I26 | value='IFN-y' | fill=FFFFFF00 | rows=[25] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J26 | value='LPS' | fill=FFFFFF00 | rows=[25] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K26 | value='M2' | fill=FFFFFF00 | rows=[25] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A27 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='7' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='4' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='0' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='25' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[26] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H27 | value='1' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='26' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='15' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='11' | fill=00000000 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='2' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='0' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='0' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='0' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G28 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[27] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H28 | value='0' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='0' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='0' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='2' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='0' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='0' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='0' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[28] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H29 | value='0' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='0' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='0' | fill=00000000 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Phagocytosis Index' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='0.285714285714286' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='0' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='#DIV/0!' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='0' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='Phagocytosis Index' | fill=FF00B050 | rows=[29] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H30 | value='0' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='0' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='0' | fill=00000000 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='0' | fill=00000000 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A32 | value='ROI 3' | fill=00000000 | rows=[31] | cols=[0, 1, 2, 3, 4] | col_header=False | row_header=False | metadata=False
Cell G32 | value='ROI 4' | fill=FFFFFF00 | rows=[31] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B33 | value='M0' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='IFN-y' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='LPS' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='M2' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H33 | value='M0' | fill=FFFFFF00 | rows=[32] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I33 | value='IFN-y' | fill=FFFFFF00 | rows=[32] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J33 | value='LPS' | fill=FFFFFF00 | rows=[32] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K33 | value='M2' | fill=FFFFFF00 | rows=[32] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A34 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='1' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='17' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='19' | fill=None | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='11' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G34 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[33] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H34 | value='10' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='200' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='44' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='9' | fill=00000000 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A35 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='0' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='4' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='1' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='0' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G35 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[34] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H35 | value='8' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='110' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='5' | fill=00000000 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A36 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[35] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B36 | value='0' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='40' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='2' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G36 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[35] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H36 | value='38' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='450' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='0' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='13' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A37 | value='Phagocytosis Index' | fill=FF00B050 | rows=[36] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B37 | value='0' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='2.35294117647059' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='0.105263157894737' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='0' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G37 | value='Phagocytosis Index' | fill=FF00B050 | rows=[36] | cols=[6] | col_header=False | row_header=True | metadata=False
