=== education-table08.xlsx ===
Cell B1 | value='Participation' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='102890' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='2440' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='5690' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='33500' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='70' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='4850' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='149400' | fill=FF00B0F0 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Total Learners' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='684750' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C6 | value='36810' | fill=FF00B0F0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D6 | value='26470' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='180900' | fill=FF00B0F0 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F6 | value='880' | fill=FF00B0F0 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G6 | value='382280' | fill=FF00B0F0 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H6 | value='1312100' | fill=FF00B0F0 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I6 | value='462770' | fill=FF00B0F0 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J6 | value='27950' | fill=FF00B0F0 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K6 | value='18870' | fill=FF00B0F0 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L6 | value='130620' | fill=FF00B0F0 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M6 | value='700' | fill=FF00B0F0 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N6 | value='171660' | fill=FF00B0F0 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O6 | value='812600' | fill=FF00B0F0 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=True

