=== health-table19.xlsx ===
Cell A1 | value='Data Dictionary - HCP Influenza Vaccination by Hospital and County' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C7 | value='Facility_ID is the primary key used to track facility information for all facilities stored in the Electronic Licensing Management System (ELMS) for CDPH Center for Health Care Quality, Licensing and Certification Program.' | fill=5 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Facility_Name' | fill=5 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Plain Text' | fill=5 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Facility name for facilities reporting to National Healthcare Safety Network (NHSN) healthcare personnel influenza vaccination data for the 2023-24 influenza season, specifically October 1, 2023, through March 31, 2024 for California General Acute Care Hospitals reporting.' | fill=5 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Hospital_Type' | fill=5 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Plain Text' | fill=5 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='HAI Program designation for hospital types. These include major teaching, community (<125 beds, 125-250 beds, and >250 beds), pediatric, critical access, long-term acute care (LTAC), and free-standing rehabilitation hospitals.' | fill=5 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A10 | value='HCP_Total_Number_Vaccinated' | fill=7 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Number' | fill=7 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Total number of Health Care Personnel (HCP) vaccinated. HCP include all paid (employee) and unpaid (licensed independent practitioners, other contract personnel and adult students/trainees and volunteers) persons working in health care settings and have the potential to transmit influenza to and from other HCP and patients.' | fill=7 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A11 | value='HCP_Total_Number_Working' | fill=7 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Number' | fill=7 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Total number of Health Care Personnel (HCP) working' | fill=7 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A12 | value='HCP_Percent_Vaccinated' | fill=7 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Number' | fill=7 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Percentage of HCP vaccinated.' | fill=7 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Emp_Number_Vaccinated' | fill=7 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Number' | fill=7 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Total number of hospital employees vaccinated' | fill=7 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Emp_Number_Working' | fill=7 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Number' | fill=7 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Total number of hospital employees working' | fill=7 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Emp_Percent_Vaccinated' | fill=7 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Number' | fill=7 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Percentage of hospital employees vaccinated' | fill=7 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Lip_Number_Vaccinated' | fill=7 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Number' | fill=7 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Total number of licensed independent practitioners vaccinated' | fill=7 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Lip_Number_Working' | fill=7 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Number' | fill=7 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Total number of licensed independent practitioners working' | fill=7 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Lip_Percent_Vaccinated' | fill=7 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Number' | fill=7 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='Percentage of licensed independent practitioners vaccinated' | fill=7 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Cont_Number_Vaccinated' | fill=7 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Number' | fill=7 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Total number of other contract personnel vaccinated' | fill=7 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Cont_Number_Working' | fill=7 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Number' | fill=7 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Total number of other contract personnel working' | fill=7 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Cont_Percent_Vaccinated' | fill=7 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Number' | fill=7 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Percentage of contract personnel vaccinated' | fill=7 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A22 | value='StudVol_Number_Vaccinated' | fill=7 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Number' | fill=7 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Total number of students, trainees, and volunteers vaccinated' | fill=7 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A23 | value='StudVol_Number_Working' | fill=7 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Number' | fill=7 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Total number of students, trainees, and volunteers working' | fill=7 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A24 | value='StudVol_Percent_Vaccinated' | fill=7 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Number' | fill=7 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Percentage of students, trainees, and volunteers vaccinated' | fill=7 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Met 2020 goal of 90% (>=90% in 2023-24)' | fill=5 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Plain Text' | fill=5 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='In 2023-24, hospitals should have achieved at least 90% (Healthy People 2020 goal) HCP vaccination coverage. Did hospital achieve at least 90% HCP vaccination coverage in 2023-24?  Yes or No.' | fill=5 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Notes' | fill=5 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Plain Text' | fill=5 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='“Non-reporter” indicates if hospital did not report data (all data fields are blank); "Reported combined data" indicates when hospital reports consolidated data with another hospital.' | fill=5 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False

=== health-table19.xlsx ===
Cell A1 | value='Data Dictionary - HCP Influenza Vaccination by Hospital and County' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell A2 | value='Field' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Format' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Definition' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Influenza_Season' | fill=5 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Plain Text' | fill=5 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='October 01, 2023 through March 31, 2024' | fill=5 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A4 | value='State' | fill=5 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Plain Text' | fill=5 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='California' | fill=5 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A5 | value='CDPH_HAI_HCP_FLU_VACCINATION' | fill=5 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Plain Text' | fill=5 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination' | fill=5 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A6 | value='County' | fill=5 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Plain Text' | fill=5 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Reported County' | fill=5 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Facility_ID' | fill=5 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Plain Text' | fill=5 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Facility_ID is the primary key used to track facility information for all facilities stored in the Electronic Licensing Management System (ELMS) for CDPH Center for Health Care Quality, Licensing and Certification Program.' | fill=5 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Facility_Name' | fill=5 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Plain Text' | fill=5 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Facility name for facilities reporting to National Healthcare Safety Network (NHSN) healthcare personnel influenza vaccination data for the 2023-24 influenza season, specifically October 1, 2023, through March 31, 2024 for California General Acute Care Hospitals reporting.' | fill=5 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Hospital_Type' | fill=5 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Plain Text' | fill=5 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='HAI Program designation for hospital types. These include major teaching, community (<125 beds, 125-250 beds, and >250 beds), pediatric, critical access, long-term acute care (LTAC), and free-standing rehabilitation hospitals.' | fill=5 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A10 | value='HCP_Total_Number_Vaccinated' | fill=7 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Number' | fill=7 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Total number of Health Care Personnel (HCP) vaccinated. HCP include all paid (employee) and unpaid (licensed independent practitioners, other contract personnel and adult students/trainees and volunteers) persons working in health care settings and have the potential to transmit influenza to and from other HCP and patients.' | fill=7 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A11 | value='HCP_Total_Number_Working' | fill=7 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Number' | fill=7 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Total number of Health Care Personnel (HCP) working' | fill=7 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A12 | value='HCP_Percent_Vaccinated' | fill=7 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Number' | fill=7 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Percentage of HCP vaccinated.' | fill=7 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Emp_Number_Vaccinated' | fill=7 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Number' | fill=7 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Total number of hospital employees vaccinated' | fill=7 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Emp_Number_Working' | fill=7 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Number' | fill=7 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Total number of hospital employees working' | fill=7 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Emp_Percent_Vaccinated' | fill=7 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Number' | fill=7 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Percentage of hospital employees vaccinated' | fill=7 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Lip_Number_Vaccinated' | fill=7 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Number' | fill=7 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Total number of licensed independent practitioners vaccinated' | fill=7 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Lip_Number_Working' | fill=7 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Number' | fill=7 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Total number of licensed independent practitioners working' | fill=7 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Lip_Percent_Vaccinated' | fill=7 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Number' | fill=7 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='Percentage of licensed independent practitioners vaccinated' | fill=7 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Cont_Number_Vaccinated' | fill=7 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Number' | fill=7 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Total number of other contract personnel vaccinated' | fill=7 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Cont_Number_Working' | fill=7 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Number' | fill=7 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Total number of other contract personnel working' | fill=7 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Cont_Percent_Vaccinated' | fill=7 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Number' | fill=7 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Percentage of contract personnel vaccinated' | fill=7 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A22 | value='StudVol_Number_Vaccinated' | fill=7 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Number' | fill=7 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Total number of students, trainees, and volunteers vaccinated' | fill=7 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A23 | value='StudVol_Number_Working' | fill=7 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Number' | fill=7 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Total number of students, trainees, and volunteers working' | fill=7 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A24 | value='StudVol_Percent_Vaccinated' | fill=7 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Number' | fill=7 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Percentage of students, trainees, and volunteers vaccinated' | fill=7 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Met 2020 goal of 90% (>=90% in 2023-24)' | fill=5 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Plain Text' | fill=5 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='In 2023-24, hospitals should have achieved at least 90% (Healthy People 2020 goal) HCP vaccination coverage. Did hospital achieve at least 90% HCP vaccination coverage in 2023-24?  Yes or No.' | fill=5 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Notes' | fill=5 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Plain Text' | fill=5 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='“Non-reporter” indicates if hospital did not report data (all data fields are blank); "Reported combined data" indicates when hospital reports consolidated data with another hospital.' | fill=5 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False

