=== employment-table27.xlsx ===
Cell A1 | value='Occupation' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell A7 | value='Management, professional, and related occupations' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='1355' | fill=FF00B0F0 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C7 | value='1432' | fill=FF00B0F0 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D7 | value='2' | fill=FF00B0F0 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E7 | value='2' | fill=FF00B0F0 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F7 | value='1.8' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='2' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='2.1' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='2' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Management, business, and financial operations occupations' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='530' | fill=FF00B0F0 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C8 | value='604' | fill=FF00B0F0 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D8 | value='1.8' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E8 | value='1.9' | fill=FF00B0F0 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F8 | value='1.6' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='1.9' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='2' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Management occupations' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='330' | fill=FF00B0F0 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C9 | value='361' | fill=FF00B0F0 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D9 | value='1.6' | fill=FF00B0F0 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E9 | value='1.7' | fill=FF00B0F0 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F9 | value='1.5' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='1.7' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1.7' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1.7' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Business and financial operations occupations' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='200' | fill=FF00B0F0 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C10 | value='243' | fill=FF00B0F0 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D10 | value='2.1' | fill=FF00B0F0 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E10 | value='2.5' | fill=FF00B0F0 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F10 | value='1.9' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='2.5' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2.4' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='2.4' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Professional and related occupations' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='825' | fill=FF00B0F0 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C11 | value='828' | fill=FF00B0F0 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D11 | value='2.1' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E11 | value='2' | fill=FF00B0F0 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F11 | value='2' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='2.1' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='2.2' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='2' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Computer and mathematical occupations' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='118' | fill=FF00B0F0 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='138' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='1.9' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E12 | value='2.1' | fill=FF00B0F0 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F12 | value='1.8' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='2' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='2.1' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Architecture and engineering occupations' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='52' | fill=FF00B0F0 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C13 | value='64' | fill=FF00B0F0 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D13 | value='1.5' | fill=FF00B0F0 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E13 | value='1.8' | fill=FF00B0F0 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F13 | value='1.4' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='1.5' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='2.2' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='3.1' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Life, physical, and social science occupations' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='26' | fill=FF00B0F0 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C14 | value='32' | fill=FF00B0F0 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D14 | value='1.4' | fill=FF00B0F0 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E14 | value='1.7' | fill=FF00B0F0 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F14 | value='1.7' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='1.8' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='1' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='1.5' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Community and social service occupations' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='54' | fill=FF00B0F0 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C15 | value='66' | fill=FF00B0F0 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D15 | value='1.8' | fill=FF00B0F0 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E15 | value='2.3' | fill=FF00B0F0 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F15 | value='1.9' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='2.7' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='1.8' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='2.1' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Legal occupations' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='26' | fill=FF00B0F0 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C16 | value='19' | fill=FF00B0F0 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D16 | value='1.4' | fill=FF00B0F0 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E16 | value='1' | fill=FF00B0F0 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F16 | value='0.9' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0.5' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='1.8' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='1.4' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Education, training, and library occupations' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='254' | fill=FF00B0F0 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C17 | value='243' | fill=FF00B0F0 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D17 | value='2.7' | fill=FF00B0F0 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E17 | value='2.5' | fill=FF00B0F0 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F17 | value='2.8' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='3' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='2.6' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='2.3' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Arts, design, entertainment, sports, and media occupations' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='144' | fill=FF00B0F0 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C18 | value='130' | fill=FF00B0F0 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D18 | value='4' | fill=FF00B0F0 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E18 | value='3.6' | fill=FF00B0F0 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F18 | value='4' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='3.6' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='4' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='3.6' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Healthcare practitioners and technical occupations' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='152' | fill=FF00B0F0 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C19 | value='137' | fill=FF00B0F0 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D19 | value='1.5' | fill=FF00B0F0 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E19 | value='1.3' | fill=FF00B0F0 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F19 | value='1.1' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='1.2' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='1.6' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='1.4' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Service occupations' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='1281' | fill=FF00B0F0 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C21 | value='1240' | fill=FF00B0F0 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D21 | value='4.8' | fill=FF00B0F0 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E21 | value='4.5' | fill=FF00B0F0 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F21 | value='4.8' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='4.7' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='4.8' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='4.4' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Healthcare support occupations' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='203' | fill=FF00B0F0 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C22 | value='187' | fill=FF00B0F0 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D22 | value='3.9' | fill=FF00B0F0 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E22 | value='3.5' | fill=FF00B0F0 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F22 | value='3.3' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='3.4' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='4.1' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='3.5' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Protective service occupations' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='108' | fill=FF00B0F0 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C23 | value='93' | fill=FF00B0F0 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D23 | value='3.4' | fill=FF00B0F0 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E23 | value='2.9' | fill=FF00B0F0 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F23 | value='3' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='2.6' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='4.6' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='4' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Food preparation and serving related occupations' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='480' | fill=FF00B0F0 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C24 | value='493' | fill=FF00B0F0 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D24 | value='5.7' | fill=FF00B0F0 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E24 | value='5.7' | fill=FF00B0F0 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F24 | value='5.6' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='5.8' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='5.8' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='5.6' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Building and grounds cleaning and maintenance occupations' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='319' | fill=FF00B0F0 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C25 | value='306' | fill=FF00B0F0 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D25 | value='5.4' | fill=FF00B0F0 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E25 | value='5.2' | fill=FF00B0F0 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F25 | value='5' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='5.4' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='5.9' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='5.1' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Personal care and service occupations' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='170' | fill=FF00B0F0 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C26 | value='161' | fill=FF00B0F0 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D26 | value='4.1' | fill=FF00B0F0 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E26 | value='3.7' | fill=FF00B0F0 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F26 | value='5.6' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='3.9' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='3.7' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='3.6' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Sales and office occupations' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='1176' | fill=FF00B0F0 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C28 | value='1146' | fill=FF00B0F0 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D28 | value='3.7' | fill=FF00B0F0 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E28 | value='3.6' | fill=FF00B0F0 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F28 | value='3.6' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='3.7' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='3.8' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='3.6' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Sales and related occupations' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='579' | fill=FF00B0F0 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C29 | value='581' | fill=FF00B0F0 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D29 | value='3.9' | fill=FF00B0F0 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E29 | value='3.9' | fill=FF00B0F0 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F29 | value='3.2' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='3.4' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='4.5' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='4.4' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Office and administrative support occupations' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='598' | fill=FF00B0F0 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C30 | value='565' | fill=FF00B0F0 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D30 | value='3.6' | fill=FF00B0F0 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E30 | value='3.4' | fill=FF00B0F0 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F30 | value='4.2' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='4.3' | fill=00000000 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='3.3' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='3.1' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Natural resources, construction, and maintenance occupations' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='658' | fill=FF00B0F0 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C32 | value='659' | fill=FF00B0F0 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D32 | value='4.4' | fill=FF00B0F0 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E32 | value='4.4' | fill=FF00B0F0 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F32 | value='4.3' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='4.3' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='6' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='6.1' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A33 | value='Farming, fishing, and forestry occupations' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='71' | fill=FF00B0F0 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C33 | value='74' | fill=FF00B0F0 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D33 | value='6.8' | fill=FF00B0F0 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E33 | value='7' | fill=FF00B0F0 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F33 | value='6.3' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='6.8' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='7.9' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='7.4' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Construction and extraction occupations' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='477' | fill=FF00B0F0 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C34 | value='480' | fill=FF00B0F0 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D34 | value='5.4' | fill=FF00B0F0 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E34 | value='5.4' | fill=FF00B0F0 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F34 | value='5.4' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
