=== economy-table79.xlsx ===
Cell A1 | value='Category Name' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B13 | value='Soda: Diet' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='1.5' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Coffee' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='2' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Coffee: Decaf' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='2' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Coffee: Turkish' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='2.5' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Hot Chocolate' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='2.5' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Soups & Salads' | fill=FF00B050 | rows=[17, 18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='Red Lentile Soup' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='4' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Chicken Soup' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='4' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Appetizers' | fill=FF00B050 | rows=[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='Hummus' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C20 | value='4.95' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Mashed Veggies' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C21 | value='4.95' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Babagannush' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='4.95' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Stuffed Grape Leaves' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='4.95' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B24 | value='App: String Beans' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='4.95' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B25 | value='White Beans' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='4.95' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Eggplant Salad' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='4.95' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B27 | value='App: Spinach Stew' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='4.95' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Cacik' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='4.95' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Cold Hot Combo' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='24.95' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Cold Combo Lg' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='19.95' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Cold Combo Sm' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='15.95' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Veal Liver' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='7.95' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Falafel' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='6.95' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Feta Cheese' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C34 | value='6.95' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Spinach Pie' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C35 | value='6.95' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Fried Calamari' | fill=FF00B050 | rows=[35] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C36 | value='8.95' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Zucchini Pancakes' | fill=FF00B050 | rows=[36] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C37 | value='6.95' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A38 | value='Soups & Salads' | fill=FF00B050 | rows=[37, 38, 39, 40, 41, 42, 43, 44] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B38 | value='Salad: Shepherd Sm' | fill=FF00B050 | rows=[37] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C38 | value='6.95' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Salad: Shepherd Lg' | fill=FF00B050 | rows=[38] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C39 | value='8.95' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Salad: Season Sm' | fill=FF00B050 | rows=[39] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C40 | value='6.95' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B41 | value='Salad: Season Lg' | fill=FF00B050 | rows=[40] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C41 | value='8.95' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Salad: Garden Sm' | fill=FF00B050 | rows=[41] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C42 | value='6.95' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Salad: Garden Lg' | fill=FF00B050 | rows=[42] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C43 | value='8.95' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Salad: Caesar Sm' | fill=FF00B050 | rows=[43] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C44 | value='6.95' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Salad: Caesar Lg' | fill=FF00B050 | rows=[44] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C45 | value='8.95' | fill=00000000 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A46 | value='Main Courses' | fill=FF00B050 | rows=[45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B46 | value='Kebab: Shish' | fill=FF00B050 | rows=[45] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C46 | value='17.95' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Kebab: Chicken' | fill=FF00B050 | rows=[46] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C47 | value='14.95' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Kebab: House Combo' | fill=FF00B050 | rows=[47] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C48 | value='29.95' | fill=00000000 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B49 | value='Kebab: Adana' | fill=FF00B050 | rows=[48] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C49 | value='14.95' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Burger: Lamb' | fill=FF00B050 | rows=[49] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C50 | value='14.95' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B51 | value='Burger: Chicken' | fill=FF00B050 | rows=[50] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C51 | value='14.95' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B52 | value='Lamb Chops' | fill=FF00B050 | rows=[51] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C52 | value='22.95' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B53 | value='Gyro: Chicken' | fill=FF00B050 | rows=[52] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C53 | value='14.95' | fill=00000000 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B54 | value='Gyro: Lamb' | fill=FF00B050 | rows=[53] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C54 | value='14.95' | fill=00000000 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Chicken Breast' | fill=FF00B050 | rows=[54] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C55 | value='14.95' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Chicken Adana' | fill=FF00B050 | rows=[55] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C56 | value='14.95' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A57 | value='Kebabs & Yogurt' | fill=FF00B050 | rows=[56, 57, 58, 59, 60, 61] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B57 | value='Gyro: Lamb & Yog' | fill=FF00B050 | rows=[56] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C57 | value='16.95' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B58 | value='Gyro: Chicken & Yog' | fill=FF00B050 | rows=[57] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C58 | value='16.95' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Kebab: Adana & Yog' | fill=FF00B050 | rows=[58] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C59 | value='16.95' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B60 | value='Kebab: Shish & Yog' | fill=FF00B050 | rows=[59] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C60 | value='16.95' | fill=00000000 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Kebab: Chicken & Yog' | fill=FF00B050 | rows=[60] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C61 | value='16.95' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Kebab: Chkn Adana & Yog' | fill=FF00B050 | rows=[61] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C62 | value='16.95' | fill=00000000 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A63 | value='Seafood' | fill=FF00B050 | rows=[62, 63, 64, 65] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B63 | value='Stripe Bass' | fill=FF00B050 | rows=[62] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C63 | value='21.95' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B64 | value='Salmon' | fill=FF00B050 | rows=[63] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C64 | value='21.95' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B65 | value='Orata' | fill=FF00B050 | rows=[64] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C65 | value='21.95' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B66 | value='Tilapia' | fill=FF00B050 | rows=[65] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C66 | value='21.95' | fill=00000000 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A67 | value='Traditional Dishes' | fill=FF00B050 | rows=[66, 67, 68, 69, 70, 71, 72, 73] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B67 | value='Stuffed Cabbage' | fill=FF00B050 | rows=[66] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C67 | value='16.95' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Baby Okra w/ Lamb' | fill=FF00B050 | rows=[67] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C68 | value='14.95' | fill=00000000 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B69 | value='Baby Okra w/ Chicken' | fill=FF00B050 | rows=[68] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C69 | value='14.95' | fill=00000000 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B70 | value='String Beans w/ Chicken' | fill=FF00B050 | rows=[69] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C70 | value='14.95' | fill=00000000 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Spinach Stew' | fill=FF00B050 | rows=[70] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C71 | value='13.95' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B72 | value='Baby Okra' | fill=FF00B050 | rows=[71] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C72 | value='13.95' | fill=00000000 | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B73 | value='Veggie Grill' | fill=FF00B050 | rows=[72] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C73 | value='15.95' | fill=00000000 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B74 | value='String Beans' | fill=FF00B050 | rows=[73] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C74 | value='13.95' | fill=00000000 | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A75 | value='Kids Menu' | fill=FF00B050 | rows=[74, 75, 76, 77, 78, 79, 80, 81, 82, 83] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B75 | value='Kids: Lamb Burger' | fill=FF00B050 | rows=[74] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C75 | value='9.95' | fill=00000000 | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B76 | value='Kids: Chicken Kebab' | fill=FF00B050 | rows=[75] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C76 | value='9.95' | fill=00000000 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Kids: Chicken Breast' | fill=FF00B050 | rows=[76] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C77 | value='9.95' | fill=00000000 | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Kids: French Fries Lg' | fill=FF00B050 | rows=[77] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C78 | value='4.95' | fill=00000000 | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B79 | value='Kids: Mozz Sticks' | fill=FF00B050 | rows=[78] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C79 | value='9.95' | fill=00000000 | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B80 | value='Kids: Lamb Gyro' | fill=FF00B050 | rows=[79] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C80 | value='9.95' | fill=00000000 | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B81 | value='Kids: Chicken Gyro' | fill=FF00B050 | rows=[80] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C81 | value='9.95' | fill=00000000 | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B82 | value='Kids: French Fries Sm' | fill=FF00B050 | rows=[81] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C82 | value='2.95' | fill=00000000 | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B83 | value='Kids: Chicken Fingers' | fill=FF00B050 | rows=[82] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C83 | value='9.95' | fill=00000000 | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B84 | value='Kids: Tilapia' | fill=FF00B050 | rows=[83] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C84 | value='9.95' | fill=00000000 | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A85 | value='Wraps' | fill=FF00B050 | rows=[84, 85, 86, 87, 88, 89, 90] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B85 | value='Lamb Gyro Wrap' | fill=FF00B050 | rows=[84] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C85 | value='6' | fill=00000000 | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B86 | value='Chicken Kebab Wrap' | fill=FF00B050 | rows=[85] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C86 | value='6' | fill=00000000 | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Adana Kebab Wrap' | fill=FF00B050 | rows=[86] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C87 | value='6.5' | fill=00000000 | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Falafel Wrap' | fill=FF00B050 | rows=[87] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C88 | value='6' | fill=00000000 | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Chicken Gyro Wrap' | fill=FF00B050 | rows=[88] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C89 | value='6' | fill=00000000 | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Chicken Adana Wrap' | fill=FF00B050 | rows=[89] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C90 | value='6' | fill=00000000 | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Lamb Burger Wrap' | fill=FF00B050 | rows=[90] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C91 | value='6.5' | fill=00000000 | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A92 | value='Desserts' | fill=FF00B050 | rows=[91, 92, 93, 94, 95] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B92 | value='Kazandibi' | fill=FF00B050 | rows=[91] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C92 | value='4.5' | fill=00000000 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B93 | value='Vanilla Ice Cream' | fill=FF00B050 | rows=[92] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C93 | value='4.5' | fill=00000000 | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B94 | value='Chocolate Ice Cream' | fill=FF00B050 | rows=[93] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C94 | value='4.5' | fill=00000000 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B95 | value='Baklava' | fill=FF00B050 | rows=[94] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C95 | value='4.5' | fill=00000000 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B96 | value='4 Season Yogurt' | fill=FF00B050 | rows=[95] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C96 | value='4.5' | fill=00000000 | rows=[95] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A97 | value='Beverages' | fill=FF00B050 | rows=[96, 97, 98, 99, 100, 101] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B97 | value='Tea: Green' | fill=FF00B050 | rows=[96] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C97 | value='1.95' | fill=00000000 | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B98 | value='Water Lg' | fill=FF00B050 | rows=[97] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C98 | value='3' | fill=00000000 | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B99 | value='Tea: Iced' | fill=FF00B050 | rows=[98] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C99 | value='1.95' | fill=00000000 | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B100 | value='Sparkling Waters' | fill=FF00B050 | rows=[99] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C100 | value='3' | fill=00000000 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Ayran' | fill=FF00B050 | rows=[100] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C101 | value='2' | fill=00000000 | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Tea: Turkish Black' | fill=FF00B050 | rows=[101] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C102 | value='1.5' | fill=00000000 | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A103 | value='Dinner Specials' | fill=FF00B050 | rows=[102, 103] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B103 | value='Create Dinner' | fill=FF00B050 | rows=[102] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C103 | value='19.95' | fill=00000000 | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B104 | value='Salad Dinner Special' | fill=FF00B050 | rows=[103] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C104 | value='16.95' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False

=== economy-table79.xlsx ===
Cell A1 | value='Category Name' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Menu Item Name' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Price' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Lunch Specials' | fill=FF00B050 | rows=[1, 2, 3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='Lunch Special 1' | fill=FF00B050 | rows=[1] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C2 | value='10.95' | fill=00000000 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Lunch Special 2' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='10.95' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Lunch Special 3' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='10.95' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Lunch Special 4' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='10.95' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
