=== economy-table56.xlsx ===
Cell B1 | value='January' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Product 2' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='49887.1' | fill=FFFFFFFF | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='44737.875' | fill=FFFFFFFF | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-5149.225' | fill=FFFFFFFF | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='49887.1' | fill=FFFFFFFF | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='44737.875' | fill=FFFFFFFF | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='-5149.225' | fill=FFFFFFFF | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J5 | value='49887.1' | fill=FFFFFFFF | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='44737.875' | fill=FFFFFFFF | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='-5149.225' | fill=FFFFFFFF | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Product 3' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='5322' | fill=FFFFFFFF | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='4789' | fill=FFFFFFFF | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Product 4' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='2074.9' | fill=FFFFFFFF | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='0' | fill=FFFFFFFF | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='-2074.9' | fill=FFFFFFFF | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='498.79' | fill=FFFFFFFF | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0' | fill=FFFFFFFF | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='-498.79' | fill=FFFFFFFF | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J7 | value='755.3' | fill=FFFFFFFF | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0' | fill=FFFFFFFF | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='-755.3' | fill=FFFFFFFF | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Product 5' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='5347.35' | fill=FFFFFFFF | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='-5347.35' | fill=FFFFFFFF | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F8 | value='-5347.35' | fill=FFFFFFFF | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='5347.35' | fill=FFFFFFFF | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Product 6' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='56.49' | fill=FFFFFFFF | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='-56.49' | fill=FFFFFFFF | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Product 7' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='2500' | fill=FFFFFFFF | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='4700' | fill=FFFFFFFF | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='-2500' | fill=FFFFFFFF | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F10 | value='-2500' | fill=FFFFFFFF | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2500' | fill=FFFFFFFF | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Product 8' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='9442.47' | fill=FFFFFFFF | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='10723.7' | fill=FFFFFFFF | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='1281.23' | fill=FFFFFFFF | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F11 | value='13214.28' | fill=FFFFFFFF | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='10723.7' | fill=FFFFFFFF | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='-2490.58' | fill=FFFFFFFF | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J11 | value='9441.59' | fill=FFFFFFFF | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='10723.7' | fill=FFFFFFFF | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='1282.11' | fill=FFFFFFFF | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Product 9' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='147.35' | fill=FFFFFFFF | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='-147.35' | fill=FFFFFFFF | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F12 | value='147.35' | fill=FFFFFFFF | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='-147.35' | fill=FFFFFFFF | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J12 | value='147.35' | fill=FFFFFFFF | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='-147.35' | fill=FFFFFFFF | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Product 10' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='983.27' | fill=FFFFFFFF | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='1208.33333333333' | fill=FFFFFFFF | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='225.063333333333' | fill=FFFFFFFF | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F13 | value='983.27' | fill=FFFFFFFF | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='1208.33333333333' | fill=FFFFFFFF | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='225.063333333333' | fill=FFFFFFFF | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J13 | value='983.27' | fill=FFFFFFFF | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='1208.33333333333' | fill=FFFFFFFF | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='225.063333333333' | fill=FFFFFFFF | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False

=== economy-table56.xlsx ===
Cell B1 | value='January' | fill=FFFFFF00 | rows=[0] | cols=[1, 2, 3] | col_header=True | row_header=False | metadata=False
Cell F1 | value='February' | fill=FFFFFF00 | rows=[0] | cols=[5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell J1 | value='March' | fill=FFFFFF00 | rows=[0] | cols=[9, 10, 11] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Actual' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Budget' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Actual' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Budget' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Actual' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Budget' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Variance' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Product 1' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='23432' | fill=FFFFFFFF | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='31233' | fill=FFFFFFFF | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='7801' | fill=FFFFFFFF | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Product 2' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='49887.1' | fill=FFFFFFFF | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='44737.875' | fill=FFFFFFFF | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-5149.225' | fill=FFFFFFFF | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='49887.1' | fill=FFFFFFFF | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='44737.875' | fill=FFFFFFFF | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='-5149.225' | fill=FFFFFFFF | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J5 | value='49887.1' | fill=FFFFFFFF | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='44737.875' | fill=FFFFFFFF | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='-5149.225' | fill=FFFFFFFF | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Product 3' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='5322' | fill=FFFFFFFF | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='4789' | fill=FFFFFFFF | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Product 4' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='2074.9' | fill=FFFFFFFF | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='0' | fill=FFFFFFFF | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='-2074.9' | fill=FFFFFFFF | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='498.79' | fill=FFFFFFFF | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0' | fill=FFFFFFFF | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='-498.79' | fill=FFFFFFFF | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J7 | value='755.3' | fill=FFFFFFFF | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0' | fill=FFFFFFFF | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='-755.3' | fill=FFFFFFFF | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Product 5' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='5347.35' | fill=FFFFFFFF | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='-5347.35' | fill=FFFFFFFF | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F8 | value='-5347.35' | fill=FFFFFFFF | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='5347.35' | fill=FFFFFFFF | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0' | fill=FFFFFFFF | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Product 6' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='56.49' | fill=FFFFFFFF | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='-56.49' | fill=FFFFFFFF | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='0' | fill=FFFFFFFF | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Product 7' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='2500' | fill=FFFFFFFF | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='4700' | fill=FFFFFFFF | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='-2500' | fill=FFFFFFFF | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F10 | value='-2500' | fill=FFFFFFFF | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2500' | fill=FFFFFFFF | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='0' | fill=FFFFFFFF | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Product 8' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='9442.47' | fill=FFFFFFFF | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='10723.7' | fill=FFFFFFFF | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='1281.23' | fill=FFFFFFFF | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F11 | value='13214.28' | fill=FFFFFFFF | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='10723.7' | fill=FFFFFFFF | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='-2490.58' | fill=FFFFFFFF | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J11 | value='9441.59' | fill=FFFFFFFF | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='10723.7' | fill=FFFFFFFF | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='1282.11' | fill=FFFFFFFF | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Product 9' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='147.35' | fill=FFFFFFFF | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='-147.35' | fill=FFFFFFFF | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F12 | value='147.35' | fill=FFFFFFFF | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='-147.35' | fill=FFFFFFFF | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J12 | value='147.35' | fill=FFFFFFFF | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0' | fill=FFFFFFFF | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='-147.35' | fill=FFFFFFFF | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Product 10' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='983.27' | fill=FFFFFFFF | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='1208.33333333333' | fill=FFFFFFFF | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='225.063333333333' | fill=FFFFFFFF | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F13 | value='983.27' | fill=FFFFFFFF | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='1208.33333333333' | fill=FFFFFFFF | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='225.063333333333' | fill=FFFFFFFF | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J13 | value='983.27' | fill=FFFFFFFF | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='1208.33333333333' | fill=FFFFFFFF | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='225.063333333333' | fill=FFFFFFFF | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False

