=== society-table26.xlsx ===
Cell D1 | value='Excess COVID Death Associated with Maintaining Essential Services' | fill=00000000 | rows=[0] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.00354448891908797' | fill=None | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='2684.09967886856' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='9.22729562459799' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='0.00611785115001451' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.00469035254834446' | fill=None | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='3551.81637075932' | fill=00000000 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='6.91916944019345' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='0.0059944415415667' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='0.00459573851520113' | fill=None | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='3480.16894802121' | fill=00000000 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='6.77959559793082' | fill=00000000 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='0.00493113419064017' | fill=None | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='0.00378053621282413' | fill=None | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='2862.8488525232' | fill=00000000 | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y9 | value='5.57701587710084' | fill=00000000 | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z9 | value='0.00506149244921072' | fill=None | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA9 | value='0.00388047754439489' | fill=None | rows=[8] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB9 | value='2644.67738274163' | fill=00000000 | rows=[8] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC9 | value='5.1520036555056' | fill=00000000 | rows=[8] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD9 | value='A' | fill=FF00B0F0 | rows=[8] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell B10 | value='300' | fill=7 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='300' | fill=7 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Vaccines' | fill=7 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F10 | value='523933.333333333' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='6' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='6' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='0.87' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0.0200792199791329' | fill=7 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0.011378224654842' | fill=7 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='37557.0163762092' | fill=7 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='129.112080154651' | fill=7 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='0.0196420309115675' | fill=7 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='0.0150588903655351' | fill=7 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='49706.0841407508' | fill=7 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='96.830686746579' | fill=7 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='0.0192484671410232' | fill=7 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='0.0147571581414511' | fill=7 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='48710.1324501391' | fill=7 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='94.8905080373638' | fill=7 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='0.0192484671410232' | fill=7 | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='0.0147571581414511' | fill=7 | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='48710.1324501391' | fill=7 | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='94.8905080373638' | fill=7 | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='0.0162696815500748' | fill=7 | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA10 | value='0.012473422521724' | fill=7 | rows=[9] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB10 | value='37054.8212321306' | fill=7 | rows=[9] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC10 | value='72.1852032644292' | fill=7 | rows=[9] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD10 | value='C' | fill=FF00B0F0 | rows=[9] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell B11 | value='400' | fill=5 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='400' | fill=5 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Child Health' | fill=5 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F11 | value='3764200' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='1.72326125073057' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1.55093512565751' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0.89' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.00580870570024472' | fill=7 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.00329159989680534' | fill=7 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='78058.5140887944' | fill=7 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='268.346586076778' | fill=7 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0.00568133219181499' | fill=7 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.00435568801372483' | fill=7 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='103292.789173957' | fill=7 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='201.221075540005' | fill=7 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.00556670338602394' | fill=7 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='0.00426780592928502' | fill=7 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='101208.712997792' | fill=7 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='197.161159518482' | fill=7 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0.00501143037044893' | fill=7 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='0.00384209661734418' | fill=7 | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='91113.2465481439' | fill=7 | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y11 | value='177.49453386802' | fill=7 | rows=[10] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z11 | value='0.00420819184161125' | fill=7 | rows=[10] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA11 | value='0.00322628041190196' | fill=7 | rows=[10] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB11 | value='68858.5479991493' | fill=7 | rows=[10] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC11 | value='134.140932772927' | fill=7 | rows=[10] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD11 | value='C' | fill=FF00B0F0 | rows=[10] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell D12 | value='Malnutrition' | fill=4 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F12 | value='0' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0' | fill=7 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
