=== society-table45.xlsx ===
Cell A1 | value='Variable' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C27 | value='0.0007430126166964035' | fill=None | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='1 - (1 - pv tv)2vn' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Probability of transmission if clinic uses PPE' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C28 | value='0.0006687237811678903' | fill=None | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='P = 1 - (1 - pv tv x (1 - Eppe))2v' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Probability of transmission if clinic uses PPE and temperature screening' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C29 | value='0.0006018715316044032' | fill=None | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='P = 1 - (1 - pv tv x (1 - Eppe) )2v x (1 - Ets)' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A30 | value='2. Infection Risk for adult visits:' | fill=FFFFFF00 | rows=[29] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A31 | value='Probability for a SARS-CoV-2 infection for the whole household of an adult seeking care' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='PE' | fill=None | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='0.0016888678631273857' | fill=None | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='One minus the probability of the adult not being infected by either the health care provider or anyone else on the visit or visits to the health facility' | fill=None | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Probability for excess SARS-CoV-2 infection for the whole household of an adult seeking care  (Px (1-Θ))' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='PEAdult' | fill=None | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='0.001294798695064329' | fill=None | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A33 | value='Probability of transmission during travel to clinic' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C33 | value='0.001317782176024962' | fill=None | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Probability of transmission during contact with health care provider' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C34 | value='0.0003715753424657908' | fill=None | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='1 - (1 - pv tv)vn' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A35 | value='Probability of transmission if clinic uses PPE' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C35 | value='0.00033441780821918954' | fill=None | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='P = 1 - (1 - pv tv x (1 - Eppe))v' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A36 | value='Probability of transmission if clinic uses PPE and temperature screening' | fill=FF00B050 | rows=[35] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C36 | value='0.0003009810606016128' | fill=None | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='P = 1 - (1 - pv tv x (1 - Eppe) )v x (1 - Ets)' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A37 | value='3. Infection Risk for hospitalization visits:' | fill=FFFFFF00 | rows=[36] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A38 | value='Probability for a SARS-CoV-2 infection for the whole household of an adult seeking care' | fill=FF00B050 | rows=[37] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B38 | value='PEI' | fill=None | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='0.002431039237332122' | fill=None | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='One minus the probability of the adult not being infected by either health care providers or anyone else during the hospital stay' | fill=None | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A39 | value='Probability for excess SARS-CoV-2 infection for the whole household of an adult seeking care  (Px (1-Θ))' | fill=FF00B050 | rows=[38] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B39 | value='PEAdult' | fill=None | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='0.0018637967486212935' | fill=None | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Probability of transmission during travel to clinic' | fill=FF00B050 | rows=[39] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C40 | value='0.001317782176024962' | fill=None | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='1 - (1 - po to)vn' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Probability of transmission during stay at hospital' | fill=FF00B050 | rows=[40] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C41 | value='0.0011147260273972615' | fill=None | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='1 - (1 - pv th)v' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A42 | value='Probability of transmission if clinic uses PPE' | fill=FF00B050 | rows=[41] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C42 | value='0.0010032534246575686' | fill=None | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='P = 1 - (1 - pv th x (1 - Eppe))v' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A43 | value='Probability of transmission if clinic uses PPE and temperature screening' | fill=FF00B050 | rows=[42] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C43 | value='0.0009029733921467331' | fill=None | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='P = 1 - (1 - pv th x (1 - Eppe) )v x (1 - Ets)' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A45 | value='Infection rate within household' | fill=FF00B050 | rows=[44] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C45 | value='0.9' | fill=9 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='Assumption that if either child or caretaker gets infected they will infect all other household members, owing to the high secondary attack rates observed for family gatherings' | fill=None | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A47 | value='Infection fatality rate' | fill=FFFFFF00 | rows=[46] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A48 | value='Children (aged <20)' | fill=FF00B050 | rows=[47] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B48 | value='P' | fill=None | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='1.61e-05' | fill=9 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='Based on Verity R, Okell LC, Dorigatti I, et al. Estimates of the severity of coronavirus disease 2019: a model-based analysis. Lancet Infect Dis 2020; published online March 30. DOI:10.1016/S1473-3099(20)30243-7.' | fill=None | rows=[47, 48, 49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A49 | value='Adults (aged 20-59)' | fill=FF00B050 | rows=[48] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B49 | value='P' | fill=None | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='0.0008464' | fill=9 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A50 | value='Older adults (60+)' | fill=FF00B050 | rows=[49] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B50 | value='P' | fill=None | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='0.0328379' | fill=9 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A52 | value='Household Age Distribution' | fill=FFFFFF00 | rows=[51] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A53 | value='Average Household Size' | fill=FF00B050 | rows=[52] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C53 | value='6.3' | fill=9 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A54 | value='Children (aged <20)' | fill=FF00B050 | rows=[53] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C54 | value='3.2' | fill=9 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A55 | value='Adults (aged 20-59)' | fill=FF00B050 | rows=[54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C55 | value='2.8' | fill=9 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Older adults (60+)' | fill=FF00B050 | rows=[55] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C56 | value='0.3' | fill=9 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False

=== society-table45.xlsx ===
Cell A1 | value='Variable' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C1 | value='Mean' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Comment' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Number of children receiving vaccination/adults receiving health intervention x' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='I' | fill=None | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C2 | value='200000' | fill=9 | rows=[1] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D2 | value='This is just for illustration, the actual number of visits and infections is calculated separately for each intervention' | fill=None | rows=[1] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Number of visits for vaccination/health intervention x' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='v' | fill=None | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='1' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Current percentage of population that has or has had COVID' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='CP' | fill=None | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='0.1' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='Number of COVID cases in 2020 divided by total population' | fill=None | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Duration of period at risk (in months):  Number of months until herd immunity is achieved' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='T' | fill=None | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='8' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='Length of community spread. After this period, between 40% and 70% of the population will have been infected (corresponds to herd immunity required for R0 between 1.6 and 3.6' | fill=None | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Proportion of SARS-CoV2 infected population at end of risk period' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='Θ' | fill=None | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='0.33333333333333337' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='Herd immunity calculated based on R0:' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Reproduction number for SARS-CoV2' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='R0' | fill=None | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1.5' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='Expected number of cases directly generated by one case in a population where all individuals are susceptible to infection' | fill=None | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Duration of infectiousness (day)' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='Ψ' | fill=None | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='7' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='Number of days an infected individual spreads the virus on average' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Risk ratio of health care provider being infected and infectious vs. another community member' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='l1' | fill=None | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='2.5' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='Higher risk of being infected (between 1 and 4 times) because of higher frequency of exposure to other people
Community member:  6 contacts per day
Vaccinator: 21 potentially infectious contacts per day' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Risk ratio potentially infectious contact of a health care provider transmitting vs. another community member' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='l2' | fill=None | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='0.62' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Lower risk of onward transmission (between 0.25 and 1 times) because most of HCW's contacts with vaccinees are brief, and they have enhanced risk awareness and use corresponding protective measures including basic respiratory hygiene and personal protective equipment as available' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Increased risk of inpatient stay vs. ambulatory visit (1 day stay vs. 1 outpatient visit)' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='h' | fill=None | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='3' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='Higher risk of getting infected  due to a) longer stay in a potentially contagious environment, b) contacts with more health care providers,' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Average number of transmission-relevant contacts of a community member per day' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='N' | fill=None | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='6' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Number of non-health care provider contacts of child and carer during their travel to the vaccine clinic and in the waiting room' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='n' | fill=None | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='5.5' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Prevalence among community members on any given day (ΘΨ / T)' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='po' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0.0067123287671232885' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
