=== science-table35.xlsx ===
Cell A2 | value='time point' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E18 | value='2' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='129' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='10' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='59' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='11' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='97' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='8' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='392' | fill=FF00B0F0 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M18 | value='39' | fill=FF00B0F0 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A20 | value='time point' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='225 days' | fill=FFFFFF00 | rows=[19] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B22 | value='mouse 1' | fill=FFFFFF00 | rows=[21] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D22 | value='mouse 2' | fill=FFFFFF00 | rows=[21] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F22 | value='mouse 3' | fill=FFFFFF00 | rows=[21] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell H22 | value='mouse 4' | fill=FFFFFF00 | rows=[21] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J22 | value='mouse 5' | fill=FFFFFF00 | rows=[21] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L22 | value='mouse 6' | fill=FFFFFF00 | rows=[21] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell B23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N23 | value='TOTAL luminal' | fill=FF00B0F0 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O23 | value='TOTAL basal' | fill=FF00B0F0 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell A24 | value='Clone number' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='38' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='8' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='18' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='4' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='5' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='0' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='36' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='4' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='24' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='12' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='14' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='0' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='135' | fill=FF00B0F0 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O24 | value='28' | fill=FF00B0F0 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=True

=== science-table35.xlsx ===
Cell A2 | value='time point' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='14 days' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B4 | value='mouse 1' | fill=FFFFFF00 | rows=[3] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D4 | value='mouse 2' | fill=FFFFFF00 | rows=[3] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F4 | value='mouse 3' | fill=FFFFFF00 | rows=[3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell H4 | value='mouse 4' | fill=FFFFFF00 | rows=[3] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Luminal' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='Basal' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Luminal' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E5 | value='Basal' | fill=FFFFFF00 | rows=[4] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F5 | value='Luminal' | fill=FFFFFF00 | rows=[4] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G5 | value='Basal' | fill=FFFFFF00 | rows=[4] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H5 | value='Luminal' | fill=FFFFFF00 | rows=[4] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I5 | value='Basal' | fill=FFFFFF00 | rows=[4] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J5 | value='TOTAL luminal' | fill=FF00B0F0 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K5 | value='TOTAL basal' | fill=FF00B0F0 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell A6 | value='Clone number' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='115' | fill=FFFFFF00 | rows=[5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C6 | value='46' | fill=FFFFFF00 | rows=[5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D6 | value='227' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E6 | value='43' | fill=FFFFFF00 | rows=[5] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F6 | value='90' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='22' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='146' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I6 | value='18' | fill=FFFFFF00 | rows=[5] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J6 | value='578' | fill=FF00B0F0 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K6 | value='129' | fill=FF00B0F0 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell A8 | value='time point' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='64 days' | fill=FFFFFF00 | rows=[7] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B10 | value='mouse 1' | fill=FFFFFF00 | rows=[9] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D10 | value='mouse 2' | fill=FFFFFF00 | rows=[9] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F10 | value='mouse 3' | fill=FFFFFF00 | rows=[9] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell H10 | value='mouse 4' | fill=FFFFFF00 | rows=[9] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell B11 | value='Luminal' | fill=FFFFFF00 | rows=[10] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C11 | value='Basal' | fill=FFFFFF00 | rows=[10] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D11 | value='Luminal' | fill=FFFFFF00 | rows=[10] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E11 | value='Basal' | fill=FFFFFF00 | rows=[10] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F11 | value='Luminal' | fill=FFFFFF00 | rows=[10] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G11 | value='Basal' | fill=FFFFFF00 | rows=[10] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H11 | value='Luminal' | fill=FFFFFF00 | rows=[10] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I11 | value='Basal' | fill=FFFFFF00 | rows=[10] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J11 | value='TOTAL luminal' | fill=FF00B0F0 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K11 | value='TOTAL basal' | fill=FF00B0F0 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell A12 | value='Clone number' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='76' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='12' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='124' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='23' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='92' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='16' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='95' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='6' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='387' | fill=FF00B0F0 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K12 | value='57' | fill=FF00B0F0 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell A14 | value='time point' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='120 days' | fill=FFFFFF00 | rows=[13] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B16 | value='mouse 1' | fill=FFFFFF00 | rows=[15] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D16 | value='mouse 2' | fill=FFFFFF00 | rows=[15] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F16 | value='mouse 3' | fill=FFFFFF00 | rows=[15] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell H16 | value='mouse 4' | fill=FFFFFF00 | rows=[15] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J16 | value='mouse 5' | fill=FFFFFF00 | rows=[15] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell B17 | value='Luminal' | fill=FFFFFF00 | rows=[16] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C17 | value='Basal' | fill=FFFFFF00 | rows=[16] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D17 | value='Luminal' | fill=FFFFFF00 | rows=[16] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E17 | value='Basal' | fill=FFFFFF00 | rows=[16] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F17 | value='Luminal' | fill=FFFFFF00 | rows=[16] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G17 | value='Basal' | fill=FFFFFF00 | rows=[16] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H17 | value='Luminal' | fill=FFFFFF00 | rows=[16] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I17 | value='Basal' | fill=FFFFFF00 | rows=[16] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J17 | value='Luminal' | fill=FFFFFF00 | rows=[16] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K17 | value='Basal' | fill=FFFFFF00 | rows=[16] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L17 | value='TOTAL luminal' | fill=FF00B0F0 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M17 | value='TOTAL basal' | fill=FF00B0F0 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A18 | value='Clone number' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='87' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='8' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='20' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='2' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='129' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='10' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='59' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='11' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='97' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='8' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='392' | fill=FF00B0F0 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M18 | value='39' | fill=FF00B0F0 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A20 | value='time point' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='225 days' | fill=FFFFFF00 | rows=[19] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell B22 | value='mouse 1' | fill=FFFFFF00 | rows=[21] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D22 | value='mouse 2' | fill=FFFFFF00 | rows=[21] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F22 | value='mouse 3' | fill=FFFFFF00 | rows=[21] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell H22 | value='mouse 4' | fill=FFFFFF00 | rows=[21] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J22 | value='mouse 5' | fill=FFFFFF00 | rows=[21] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L22 | value='mouse 6' | fill=FFFFFF00 | rows=[21] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell B23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L23 | value='Luminal' | fill=FFFFFF00 | rows=[22] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M23 | value='Basal' | fill=FFFFFF00 | rows=[22] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N23 | value='TOTAL luminal' | fill=FF00B0F0 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O23 | value='TOTAL basal' | fill=FF00B0F0 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell A24 | value='Clone number' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='38' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='8' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='18' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='4' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='5' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='0' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='36' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='4' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='24' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='12' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='14' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='0' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
