=== economy-table15.xlsx ===
Cell B1 | value='East Midlands' | fill=FFFFFF00 | rows=[0] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell U3 | value='48.4486224245818' | fill=9 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Sports Manufacturing' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='110.238165680473' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='*' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='163.57018813314' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='*' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='88.4153846153846' | fill=9 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='*' | fill=9 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='79.6527777777778' | fill=9 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='*' | fill=9 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='79.598820058997' | fill=9 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='*' | fill=9 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='157.325814536341' | fill=9 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='*' | fill=9 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='62.9641255605381' | fill=9 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='*' | fill=9 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='57.3244552058111' | fill=9 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='*' | fill=9 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='80.1992110453649' | fill=9 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='*' | fill=9 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='107.341908531223' | fill=9 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='*' | fill=9 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Total' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='48.7290663352493' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C6 | value='43.9425220509838' | fill=FF00B0F0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D6 | value='34.853917762786' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='36.6025532380197' | fill=FF00B0F0 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F6 | value='77.9794692038057' | fill=FF00B0F0 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G6 | value='91.8282331027142' | fill=FF00B0F0 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H6 | value='36.303189420459' | fill=FF00B0F0 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I6 | value='39.9700899393432' | fill=FF00B0F0 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J6 | value='55.1653037174588' | fill=FF00B0F0 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K6 | value='45.0457671495898' | fill=FF00B0F0 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L6 | value='47.8382328181298' | fill=FF00B0F0 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M6 | value='47.6965939729645' | fill=FF00B0F0 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N6 | value='34.3215966610425' | fill=FF00B0F0 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O6 | value='36.7199191919192' | fill=FF00B0F0 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P6 | value='37.4237245852563' | fill=FF00B0F0 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q6 | value='55.5583742645868' | fill=FF00B0F0 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R6 | value='32.4935432601569' | fill=FF00B0F0 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S6 | value='29.7563712882862' | fill=FF00B0F0 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T6 | value='47.8473391372097' | fill=FF00B0F0 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U6 | value='48.4486224245818' | fill=FF00B0F0 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=True

=== economy-table15.xlsx ===
Cell B1 | value='East Midlands' | fill=FFFFFF00 | rows=[0] | cols=[1, 2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='East of England' | fill=FFFFFF00 | rows=[0] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='London' | fill=FFFFFF00 | rows=[0] | cols=[5, 6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='North East' | fill=FFFFFF00 | rows=[0] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='North West' | fill=FFFFFF00 | rows=[0] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='South East' | fill=FFFFFF00 | rows=[0] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='South West' | fill=FFFFFF00 | rows=[0] | cols=[13, 14] | col_header=True | row_header=False | metadata=False
Cell P1 | value='West Midlands' | fill=FFFFFF00 | rows=[0] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R1 | value='Yorkshire and The Humber' | fill=FFFFFF00 | rows=[0] | cols=[17, 18] | col_header=True | row_header=False | metadata=False
Cell T1 | value='England' | fill=FFFFFF00 | rows=[0] | cols=[19, 20] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Sub-sector' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='2005' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='2009' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Sports Activities' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='46.4977730077811' | fill=9 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='43.9425220509838' | fill=9 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='31.4121198049687' | fill=9 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='36.6025532380197' | fill=9 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='77.9191799490431' | fill=9 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='91.8282331027142' | fill=9 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='35.687573964497' | fill=9 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='39.9700899393432' | fill=9 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='54.5590484903934' | fill=9 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='45.0457671495898' | fill=9 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='46.3471568025121' | fill=9 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='47.6965939729645' | fill=9 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='33.7429335024461' | fill=9 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='36.7199191919192' | fill=9 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='36.8975737788874' | fill=9 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='55.5583742645868' | fill=9 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='31.2612217863148' | fill=9 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='29.7563712882862' | fill=9 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='46.6791067974579' | fill=9 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='48.4486224245818' | fill=9 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Sports Manufacturing' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='110.238165680473' | fill=9 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='*' | fill=9 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='163.57018813314' | fill=9 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='*' | fill=9 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='88.4153846153846' | fill=9 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='*' | fill=9 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='79.6527777777778' | fill=9 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='*' | fill=9 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='79.598820058997' | fill=9 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='*' | fill=9 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='157.325814536341' | fill=9 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='*' | fill=9 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='62.9641255605381' | fill=9 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='*' | fill=9 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='57.3244552058111' | fill=9 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='*' | fill=9 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='80.1992110453649' | fill=9 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='*' | fill=9 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='107.341908531223' | fill=9 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='*' | fill=9 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Total' | fill=FF00B0F0 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B6 | value='48.7290663352493' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C6 | value='43.9425220509838' | fill=FF00B0F0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D6 | value='34.853917762786' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='36.6025532380197' | fill=FF00B0F0 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F6 | value='77.9794692038057' | fill=FF00B0F0 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G6 | value='91.8282331027142' | fill=FF00B0F0 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H6 | value='36.303189420459' | fill=FF00B0F0 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I6 | value='39.9700899393432' | fill=FF00B0F0 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J6 | value='55.1653037174588' | fill=FF00B0F0 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K6 | value='45.0457671495898' | fill=FF00B0F0 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L6 | value='47.8382328181298' | fill=FF00B0F0 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M6 | value='47.6965939729645' | fill=FF00B0F0 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N6 | value='34.3215966610425' | fill=FF00B0F0 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O6 | value='36.7199191919192' | fill=FF00B0F0 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P6 | value='37.4237245852563' | fill=FF00B0F0 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q6 | value='55.5583742645868' | fill=FF00B0F0 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R6 | value='32.4935432601569' | fill=FF00B0F0 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S6 | value='29.7563712882862' | fill=FF00B0F0 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T6 | value='47.8473391372097' | fill=FF00B0F0 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U6 | value='48.4486224245818' | fill=FF00B0F0 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=True

