=== economy-table28.xlsx ===
Cell A1 | value='Time period' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5] | col_header=True | row_header=True | metadata=False
Cell B13 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[12] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D13 | value='Natural Gas' | fill=FF00B050 | rows=[12] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E13 | value='·  ·  Central government' | fill=FF00B050 | rows=[12] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G13 | value='21603377' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='22969720' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='28024479' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='33217693' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='23718416' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='18751305' | fill=00000000 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='27639560' | fill=00000000 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='22792322' | fill=00000000 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='23595856' | fill=00000000 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='26539603' | fill=00000000 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='28490086' | fill=00000000 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='23593771' | fill=00000000 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='18692402' | fill=00000000 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='24923202' | fill=00000000 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='Total' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A15 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='·  Beneficiary' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A16 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[15] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='Petroleum' | fill=FF00B050 | rows=[15] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell A17 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[16] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='·  Gas/diesel oil excl. biofuels' | fill=FF00B050 | rows=[16] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E17 | value='Total economy' | fill=FF00B050 | rows=[16] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A18 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[17] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D18 | value='·  Gas/diesel oil excl. biofuels' | fill=FF00B050 | rows=[17] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E18 | value='·  General government' | fill=FF00B050 | rows=[17] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A19 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[18] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D19 | value='·  Gas/diesel oil excl. biofuels' | fill=FF00B050 | rows=[18] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E19 | value='·  ·  Central government' | fill=FF00B050 | rows=[18] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G19 | value='222000000' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='210000000' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='228000000' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='..' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='..' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='..' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='..' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='..' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='..' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='..' | fill=00000000 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='..' | fill=00000000 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='..' | fill=00000000 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='..' | fill=00000000 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='..' | fill=00000000 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='Total' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A21 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='·  Beneficiary' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A22 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='Extraction or mining stage' | fill=FF00B050 | rows=[21] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D22 | value='Petroleum' | fill=FF00B050 | rows=[21] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell A23 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='Extraction or mining stage' | fill=FF00B050 | rows=[22] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D23 | value='·  Natural Gas Liquids' | fill=FF00B050 | rows=[22] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E23 | value='Total economy' | fill=FF00B050 | rows=[22] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A24 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='Extraction or mining stage' | fill=FF00B050 | rows=[23] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D24 | value='·  Natural Gas Liquids' | fill=FF00B050 | rows=[23] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E24 | value='·  General government' | fill=FF00B050 | rows=[23] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A25 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='Extraction or mining stage' | fill=FF00B050 | rows=[24] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D25 | value='·  Natural Gas Liquids' | fill=FF00B050 | rows=[24] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E25 | value='·  ·  Central government' | fill=FF00B050 | rows=[24] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G25 | value='..' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='..' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='..' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='..' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='..' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='..' | fill=00000000 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='..' | fill=00000000 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='..' | fill=00000000 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='..' | fill=00000000 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='..' | fill=00000000 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='..' | fill=00000000 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='..' | fill=00000000 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='..' | fill=00000000 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='..' | fill=00000000 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='Extraction or mining stage' | fill=FF00B050 | rows=[25] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D26 | value='Natural Gas' | fill=FF00B050 | rows=[25] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E26 | value='Total economy' | fill=FF00B050 | rows=[25] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A27 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='Extraction or mining stage' | fill=FF00B050 | rows=[26] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D27 | value='Natural Gas' | fill=FF00B050 | rows=[26] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E27 | value='·  General government' | fill=FF00B050 | rows=[26] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A28 | value='Marginal Fields and Prospects Incentive' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='Extraction or mining stage' | fill=FF00B050 | rows=[27] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D28 | value='Natural Gas' | fill=FF00B050 | rows=[27] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E28 | value='·  ·  Central government' | fill=FF00B050 | rows=[27] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G28 | value='..' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='..' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='..' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='..' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='..' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='..' | fill=00000000 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='..' | fill=00000000 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='..' | fill=00000000 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='..' | fill=00000000 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='..' | fill=00000000 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='..' | fill=00000000 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='..' | fill=00000000 | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='..' | fill=00000000 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='..' | fill=00000000 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Refund scheme for energy-intensive industry under conditions' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='Total' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A30 | value='Refund scheme for energy-intensive industry under conditions' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='·  Beneficiary' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A31 | value='Refund scheme for energy-intensive industry under conditions' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='Use of fossil fuels in the industrial sector' | fill=FF00B050 | rows=[30] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D31 | value='Natural Gas' | fill=FF00B050 | rows=[30] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E31 | value='Total economy' | fill=FF00B050 | rows=[30] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A32 | value='Refund scheme for energy-intensive industry under conditions' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='Use of fossil fuels in the industrial sector' | fill=FF00B050 | rows=[31] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D32 | value='Natural Gas' | fill=FF00B050 | rows=[31] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E32 | value='·  General government' | fill=FF00B050 | rows=[31] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A33 | value='Refund scheme for energy-intensive industry under conditions' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='Use of fossil fuels in the industrial sector' | fill=FF00B050 | rows=[32] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D33 | value='Natural Gas' | fill=FF00B050 | rows=[32] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E33 | value='·  ·  Central government' | fill=FF00B050 | rows=[32] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G33 | value='..' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='..' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='..' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='..' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='..' | fill=00000000 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='..' | fill=00000000 | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='5000000' | fill=00000000 | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='6000000' | fill=00000000 | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='7000000' | fill=00000000 | rows=[32] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='8000000' | fill=00000000 | rows=[32] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q33 | value='8000000' | fill=00000000 | rows=[32] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R33 | value='..' | fill=00000000 | rows=[32] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S33 | value='..' | fill=00000000 | rows=[32] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T33 | value='..' | fill=00000000 | rows=[32] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Exemptions for dual consumption of coal (coal tax)' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='Total' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A35 | value='Exemptions for dual consumption of coal (coal tax)' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='·  Beneficiary' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
