=== education-table13.xlsx ===
Cell A1 | value='Dimension' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell AC3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ3 | value='% of Total' | fill=FFFFFF00 | rows=[2] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell A5 | value='Age Band' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell C5 | value='Under 16' | fill=FF00B050 | rows=[4] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='410' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='*' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='40' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='*' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='30' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='*' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='30' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='*' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='-' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='*' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='-' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='*' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='-' | fill=9 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='*' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='-' | fill=9 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='*' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='-' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='*' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='-' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='*' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='-' | fill=9 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='*' | fill=00000000 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='-' | fill=9 | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='*' | fill=00000000 | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='110' | fill=9 | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='*' | fill=00000000 | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='-' | fill=00000000 | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='*' | fill=00000000 | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='10' | fill=9 | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='*' | fill=00000000 | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH5 | value='10' | fill=9 | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='*' | fill=00000000 | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='330' | fill=9 | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK5 | value='0.006' | fill=00000000 | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='40' | fill=9 | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM5 | value='*' | fill=00000000 | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN5 | value='20' | fill=9 | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='*' | fill=00000000 | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP5 | value='20' | fill=9 | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ5 | value='*' | fill=00000000 | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C6 | value='16' | fill=FF00B050 | rows=[5] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='100' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='*' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='60' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='*' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='40' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='*' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='30' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='*' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='-' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='*' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='-' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='*' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='-' | fill=9 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='*' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='-' | fill=9 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='*' | fill=00000000 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='-' | fill=00000000 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='*' | fill=00000000 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='-' | fill=00000000 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='*' | fill=00000000 | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='-' | fill=9 | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='*' | fill=00000000 | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='-' | fill=9 | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='*' | fill=00000000 | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='70' | fill=9 | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='*' | fill=00000000 | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='20' | fill=9 | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE6 | value='*' | fill=00000000 | rows=[5] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF6 | value='10' | fill=9 | rows=[5] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG6 | value='*' | fill=00000000 | rows=[5] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH6 | value='10' | fill=9 | rows=[5] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI6 | value='*' | fill=00000000 | rows=[5] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ6 | value='40' | fill=9 | rows=[5] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK6 | value='*' | fill=00000000 | rows=[5] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL6 | value='50' | fill=9 | rows=[5] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM6 | value='*' | fill=00000000 | rows=[5] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN6 | value='30' | fill=9 | rows=[5] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO6 | value='*' | fill=00000000 | rows=[5] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP6 | value='20' | fill=9 | rows=[5] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ6 | value='*' | fill=00000000 | rows=[5] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C7 | value='17' | fill=FF00B050 | rows=[6] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='140' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='*' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='120' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='*' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='120' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='*' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='70' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='*' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='-' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='*' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='-' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='*' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='-' | fill=9 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='*' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='-' | fill=9 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='*' | fill=00000000 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='-' | fill=00000000 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='*' | fill=00000000 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='-' | fill=00000000 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='*' | fill=00000000 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='-' | fill=9 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='*' | fill=00000000 | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='-' | fill=9 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='*' | fill=00000000 | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='60' | fill=9 | rows=[6] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC7 | value='*' | fill=00000000 | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='50' | fill=9 | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='*' | fill=00000000 | rows=[6] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF7 | value='30' | fill=9 | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='*' | fill=00000000 | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH7 | value='20' | fill=9 | rows=[6] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI7 | value='*' | fill=00000000 | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='90' | fill=9 | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK7 | value='*' | fill=00000000 | rows=[6] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL7 | value='80' | fill=9 | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='*' | fill=00000000 | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='90' | fill=9 | rows=[6] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO7 | value='*' | fill=00000000 | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP7 | value='50' | fill=9 | rows=[6] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ7 | value='*' | fill=00000000 | rows=[6] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C8 | value='18' | fill=FF00B050 | rows=[7] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='1200' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='*' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='910' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='*' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='950' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='*' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='750' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='*' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='730' | fill=9 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='*' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='570' | fill=9 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='*' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='600' | fill=9 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='*' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='480' | fill=9 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='*' | fill=00000000 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='210' | fill=9 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='*' | fill=00000000 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='160' | fill=9 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='*' | fill=00000000 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='150' | fill=9 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='*' | fill=00000000 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='140' | fill=9 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='*' | fill=00000000 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='120' | fill=9 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='*' | fill=00000000 | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='80' | fill=9 | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE8 | value='*' | fill=00000000 | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF8 | value='70' | fill=9 | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG8 | value='*' | fill=00000000 | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH8 | value='60' | fill=9 | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI8 | value='*' | fill=00000000 | rows=[7] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ8 | value='170' | fill=9 | rows=[7] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK8 | value='*' | fill=00000000 | rows=[7] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL8 | value='130' | fill=9 | rows=[7] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM8 | value='*' | fill=00000000 | rows=[7] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN8 | value='140' | fill=9 | rows=[7] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO8 | value='*' | fill=00000000 | rows=[7] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP8 | value='90' | fill=9 | rows=[7] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ8 | value='*' | fill=00000000 | rows=[7] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C9 | value='19-24' | fill=FF00B050 | rows=[8] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D9 | value='41770' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='0.074' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='35830' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.067' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='31900' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0.064' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='30720' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.063' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='30380' | fill=9 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='0.07' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='26670' | fill=9 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.064' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='23790' | fill=9 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='0.061' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='23650' | fill=9 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='0.061' | fill=00000000 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='6040' | fill=9 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='0.106' | fill=00000000 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='5070' | fill=9 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='0.101' | fill=00000000 | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='4820' | fill=9 | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
