=== society-table66.xlsx ===
Cell B1 | value='Advertising' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D6 | value='350' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='n/a' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='6500' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='360' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2100' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='3200' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='8400' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='14800' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='5900' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='51300' | fill=FF00B0F0 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A7 | value='2001' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='5500' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='3600' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='390' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='n/a' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='6700' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='320' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='1800' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='3100' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='8800' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='16300' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='6700' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='53300' | fill=FF00B0F0 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A8 | value='2002' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='5400' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='3400' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='430' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='n/a' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='5900' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='320' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='2100' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='3300' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='8300' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='16900' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='6800' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='52700' | fill=FF00B0F0 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A9 | value='2003' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='5200' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='4000' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='470' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='n/a' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='5300' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='330' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='2400' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='3600' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='8600' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='19800' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='6200' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='55700' | fill=FF00B0F0 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A10 | value='2004' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='5100' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='4000' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='490' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='n/a' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='3900' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='380' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2300' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='3600' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='9200' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='20700' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='7100' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='56900' | fill=FF00B0F0 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A12 | value='% of UK GVA' | fill=FFFFFF00 | rows=[11] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A13 | value='1997' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='0.00598971618010367' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='0.00533271210681328' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='0.000447616700861108' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='n/a' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='n/a' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='0.000494173368813238' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0.00330201185110603' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='0.00474193125576436' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.0113930083000954' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='0.0171470220905106' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='0.00613261892283527' | fill=00000000 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='n/a' | fill=FF00B0F0 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A14 | value='1998' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='0.00598069465106397' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0.00546524875318169' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0.000448636667475882' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0.0007' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='n/a' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0.000457761624388351' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0.0030136037032051' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0.00493796324484764' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.0123757756679398' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0.0223379621766408' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='0.00630882099787008' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='n/a' | fill=FF00B0F0 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A15 | value='1999' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='0.00876911125459915' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='0.00503311609988214' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0.000507375072408572' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='n/a' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='n/a' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='0.000472947187862758' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0.00327347752039984' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='0.00496419659020353' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='0.0127441336105137' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='0.0222004480685556' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='0.00732698047404087' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='n/a' | fill=FF00B0F0 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A16 | value='2000' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='0.00933030493349456' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0.00527426495728935' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0.000532429237814265' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='n/a' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0.00992910642889893' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0.00054361093920804' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0.00328004211991588' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0.00496226188219664' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0.0128001457416859' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0.022662803535253' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0.00904159706963889' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='0.0783565668453955' | fill=FF00B0F0 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A17 | value='2001' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='0.00813919295838568' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='0.00533666409464705' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='0.000573062629441013' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='n/a' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0.00983987600526598' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='0.000463414100701735' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0.00260499702452844' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='0.00451863261182121' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0.0129842304123219' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='0.0239876350392553' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='0.00979875413539322' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='0.0782464590117615' | fill=FF00B0F0 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A18 | value='2002' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='0.00765650558998544' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='0.00487553755718459' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='0.000608790098199421' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='n/a' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='0.00843258969216242' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='0.000455202625602849' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0.00293139685739409' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='0.00473618543939038' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='0.0118134864577235' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='0.0241132760752365' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='0.00975607749808487' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='0.075379047890964' | fill=FF00B0F0 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A19 | value='2003' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='0.00715722511273665' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='0.00545068712880246' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='0.000643463386335095' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='n/a' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.00725201369868268' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='0.000454181570181848' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='0.00323654939838916' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='0.00490153151674556' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0.0117476027930072' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='0.0271593339318775' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='0.00857768015430473' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='0.0765802686910629' | fill=FF00B0F0 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A20 | value='2004' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='0.0065729030445975' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='0.00517945527477893' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='0.00062965801450971' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='n/a' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='0.00499172200856743' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='0.000491106386591233' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='0.00297047116962931' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='0.00463992202077757' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='0.0117085432299881' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='0.0265209218067948' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='0.00905469204936962' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0.0727593950056042' | fill=FF00B0F0 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=True

=== society-table66.xlsx ===
Cell B1 | value='Advertising' | fill=FFFFFF00 | rows=[0] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Architecture' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Art & Antiques' | fill=FFFFFF00 | rows=[0] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Crafts' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Design' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Designer Fashion' | fill=FFFFFF00 | rows=[0] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Video, Film & Photography' | fill=FFFFFF00 | rows=[0] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Music and the Visual & Performing Arts' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='Publishing' | fill=FFFFFF00 | rows=[0] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K1 | value='Software, Computer Games & Electronic Publishing' | fill=FFFFFF00 | rows=[0] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Radio & TV' | fill=FFFFFF00 | rows=[0] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M1 | value='TOTAL 1' | fill=FF00B0F0 | rows=[0] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell A2 | value='GVA at current prices (£ million)' | fill=FFFFFF00 | rows=[1] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A3 | value='1997' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='3400' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='3100' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='260' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='n/a' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='n/a' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='280' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='1900' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='2700' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='6500' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='9800' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
