=== economy-table64.xlsx ===
Cell E1 | value='FEB2014' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell A12 | value='3month' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='MAY' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='3' | fill=6 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='114003-40' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E12 | value='0' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='12 month' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='MAY' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='12' | fill=6 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='114003-40' | fill=FF00B0F0 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E13 | value='-1.27897692436818e-13' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H13 | value='-1.27897692436818e-13' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A14 | value='3month' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='JUN' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='3' | fill=6 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='114003-40' | fill=FF00B0F0 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E14 | value='0' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='12 month' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='JUN' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='12' | fill=6 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='114003-40' | fill=FF00B0F0 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E15 | value='0' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A16 | value='3month' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='JUL' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='3' | fill=6 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='114003-40' | fill=FF00B0F0 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E16 | value='0' | fill=9 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A17 | value='12 month' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='JUL' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='12' | fill=6 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='114003-40' | fill=FF00B0F0 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E17 | value='-1.13686837721616e-13' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G17 | value='0' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='-1.13686837721616e-13' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A18 | value='3month' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='AUG' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='3' | fill=6 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='114003-40' | fill=FF00B0F0 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E18 | value='0' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G18 | value='0' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A19 | value='12 month' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='AUG' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='12' | fill=6 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='114003-40' | fill=FF00B0F0 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E19 | value='-2.70006239588838e-13' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G19 | value='0' | fill=9 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='-2.70006239588838e-13' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A20 | value='3month' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='SEP' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C20 | value='3' | fill=6 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='114003-40' | fill=FF00B0F0 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E20 | value='0' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H20 | value='0' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A21 | value='12 month' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='SEP' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C21 | value='12' | fill=6 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='114003-40' | fill=FF00B0F0 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E21 | value='0' | fill=9 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H21 | value='0' | fill=9 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A22 | value='3month' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='OCT' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='3' | fill=6 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='114003-40' | fill=FF00B0F0 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E22 | value='0' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A23 | value='12 month' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='OCT' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='12' | fill=6 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='114003-40' | fill=FF00B0F0 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E23 | value='-1.27897692436818e-13' | fill=9 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H23 | value='-1.27897692436818e-13' | fill=9 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A24 | value='3month' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='NOV' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='3' | fill=6 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='114003-40' | fill=FF00B0F0 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E24 | value='0' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A25 | value='12 month' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='NOV' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='12' | fill=6 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='114003-40' | fill=FF00B0F0 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E25 | value='0' | fill=9 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0' | fill=9 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A26 | value='3month' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='DEC' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='3' | fill=6 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='114003-40' | fill=FF00B0F0 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E26 | value='0' | fill=9 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0' | fill=9 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A27 | value='12 month' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='DEC' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='12' | fill=6 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='114003-40' | fill=FF00B0F0 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E27 | value='208.35' | fill=9 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='208.35' | fill=9 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0' | fill=9 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A28 | value='2014' | fill=FFFFFF00 | rows=[27] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A29 | value='3month' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='JAN' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='3' | fill=46 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='114003-40' | fill=FF00B0F0 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E29 | value='0' | fill=9 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0' | fill=9 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A30 | value='12 month' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='JAN' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='12' | fill=46 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='114003-40' | fill=FF00B0F0 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E30 | value='416.696666666668' | fill=9 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='208.35' | fill=9 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='208.34666666666803' | fill=9 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A31 | value='3month' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='FEB' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='3' | fill=46 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='114003-40' | fill=FF00B0F0 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E31 | value='0' | fill=9 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H31 | value='0' | fill=9 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A32 | value='12 month' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='FEB' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='12' | fill=46 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='114003-40' | fill=FF00B0F0 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E32 | value='749.996666666666' | fill=9 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G32 | value='250' | fill=9 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='499.996666666666' | fill=9 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A33 | value='3month' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='MAR' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='3' | fill=46 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='114003-40' | fill=FF00B0F0 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E33 | value='0' | fill=9 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H33 | value='0' | fill=9 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A34 | value='12 month' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='MAR' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C34 | value='12' | fill=46 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='114003-40' | fill=FF00B0F0 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E34 | value='1120' | fill=9 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G34 | value='280' | fill=9 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='840' | fill=9 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A35 | value='3month' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='APR' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C35 | value='3' | fill=46 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='114003-40' | fill=FF00B0F0 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E35 | value='0' | fill=9 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G35 | value='0' | fill=9 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='0' | fill=9 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A36 | value='12 month' | fill=FF00B050 | rows=[35] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B36 | value='APR' | fill=FF00B050 | rows=[35] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C36 | value='12' | fill=46 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='114003-40' | fill=FF00B0F0 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E36 | value='1000' | fill=9 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G36 | value='200' | fill=9 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='800' | fill=9 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A37 | value='3month' | fill=FF00B050 | rows=[36] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B37 | value='MAY' | fill=FF00B050 | rows=[36] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C37 | value='3' | fill=46 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='114003-40' | fill=FF00B0F0 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E37 | value='0' | fill=9 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G37 | value='0' | fill=9 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='0' | fill=9 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A38 | value='12 month' | fill=FF00B050 | rows=[37] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B38 | value='MAY' | fill=FF00B050 | rows=[37] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C38 | value='12' | fill=46 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='114003-40' | fill=FF00B0F0 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E38 | value='-1.4210854715202e-13' | fill=9 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H38 | value='-1.4210854715202e-13' | fill=9 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A39 | value='3month' | fill=FF00B050 | rows=[38] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B39 | value='JUN' | fill=FF00B050 | rows=[38] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C39 | value='3' | fill=46 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='114003-40' | fill=FF00B0F0 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E39 | value='0' | fill=9 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H39 | value='0' | fill=9 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A40 | value='12 month' | fill=FF00B050 | rows=[39] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B40 | value='JUN' | fill=FF00B050 | rows=[39] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C40 | value='12' | fill=46 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='114003-40' | fill=FF00B0F0 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E40 | value='1166.65' | fill=9 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G40 | value='166.67' | fill=9 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='999.9800000000001' | fill=9 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A41 | value='3month' | fill=FF00B050 | rows=[40] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B41 | value='JUL' | fill=FF00B050 | rows=[40] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C41 | value='3' | fill=46 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='114003-40' | fill=FF00B0F0 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E41 | value='0' | fill=9 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H41 | value='0' | fill=9 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A42 | value='12 month' | fill=FF00B050 | rows=[41] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B42 | value='JUL' | fill=FF00B050 | rows=[41] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C42 | value='12' | fill=46 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='114003-40' | fill=FF00B0F0 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E42 | value='2266.66' | fill=9 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G42 | value='283.33' | fill=9 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='1983.33' | fill=9 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A43 | value='3month' | fill=FF00B050 | rows=[42] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B43 | value='AUG' | fill=FF00B050 | rows=[42] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C43 | value='3' | fill=46 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
