=== economy-table94.xlsx ===
Cell A1 | value='Producer Price Index item' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell G2 | value='14.5' | fill=00000000 | rows=[1] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H2 | value='4.6' | fill=00000000 | rows=[1] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I2 | value='-0.7' | fill=00000000 | rows=[1] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J2 | value='-3.8' | fill=00000000 | rows=[1] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K2 | value='1.8' | fill=00000000 | rows=[1] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L2 | value='2.8' | fill=00000000 | rows=[1] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M2 | value='-9.5' | fill=00000000 | rows=[1] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N2 | value='-1.7' | fill=00000000 | rows=[1] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O2 | value='3.2' | fill=00000000 | rows=[1] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P2 | value='10.3' | fill=00000000 | rows=[1] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q2 | value='4.8' | fill=00000000 | rows=[1] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R2 | value='1.7' | fill=00000000 | rows=[1] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S2 | value='-6.7' | fill=00000000 | rows=[1] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T2 | value='-0.4' | fill=00000000 | rows=[1] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U2 | value='3.1' | fill=00000000 | rows=[1] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V2 | value='-1.8' | fill=00000000 | rows=[1] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W2 | value='-0.7' | fill=00000000 | rows=[1] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X2 | value='14.8' | fill=00000000 | rows=[1] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y2 | value='-7.7' | fill=00000000 | rows=[1] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z2 | value='-7.4' | fill=00000000 | rows=[1] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA2 | value='-5' | fill=00000000 | rows=[1] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB2 | value='1.5' | fill=00000000 | rows=[1] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC2 | value='5.9' | fill=00000000 | rows=[1] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD2 | value='-6.2' | fill=00000000 | rows=[1] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE2 | value='14.1' | fill=00000000 | rows=[1] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF2 | value='11.9' | fill=00000000 | rows=[1] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG2 | value='-3.4' | fill=00000000 | rows=[1] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH2 | value='-2.8' | fill=00000000 | rows=[1] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI2 | value='23' | fill=00000000 | rows=[1] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ2 | value='11.4' | fill=00000000 | rows=[1] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK2 | value='-17.7' | fill=00000000 | rows=[1] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL2 | value='13.3' | fill=00000000 | rows=[1] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM2 | value='23.6' | fill=00000000 | rows=[1] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN2 | value='4.2' | fill=00000000 | rows=[1] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO2 | value='1.9' | fill=00000000 | rows=[1] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP2 | value='4.9' | fill=00000000 | rows=[1] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ2 | value='-13.7' | fill=00000000 | rows=[1] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR2 | value='-10.5' | fill=00000000 | rows=[1] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS2 | value='2.9' | fill=00000000 | rows=[1] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT2 | value='-1.9' | fill=00000000 | rows=[1] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU2 | value='0.9' | fill=00000000 | rows=[1] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV2 | value='-3.6' | fill=00000000 | rows=[1] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW2 | value='25.3' | fill=00000000 | rows=[1] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX2 | value='26.7' | fill=00000000 | rows=[1] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY2 | value='-10.3' | fill=00000000 | rows=[1] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Processed foods and feeds' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='18.9' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='-2.4' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='-5.1' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='2.8' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='6.5' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='11.4' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='11.6' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='-0.9' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='-4.4' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='3.6' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='2' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='-7.9' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='-1.1' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='3.1' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='10.4' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='3.9' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='-0.4' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='-1.9' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='-0.4' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='1.8' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='1.9' | fill=00000000 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='0' | fill=00000000 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='11.6' | fill=00000000 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='-2.1' | fill=00000000 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='-7.3' | fill=00000000 | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='-4.4' | fill=00000000 | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='0.5' | fill=00000000 | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC3 | value='3.8' | fill=00000000 | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD3 | value='-0.3' | fill=00000000 | rows=[2] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE3 | value='9' | fill=00000000 | rows=[2] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF3 | value='8.9' | fill=00000000 | rows=[2] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='-2.4' | fill=00000000 | rows=[2] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH3 | value='1' | fill=00000000 | rows=[2] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI3 | value='14.2' | fill=00000000 | rows=[2] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ3 | value='17.6' | fill=00000000 | rows=[2] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK3 | value='-8.6' | fill=00000000 | rows=[2] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL3 | value='3.4' | fill=00000000 | rows=[2] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM3 | value='11.9' | fill=00000000 | rows=[2] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN3 | value='4.8' | fill=00000000 | rows=[2] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO3 | value='1.4' | fill=00000000 | rows=[2] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP3 | value='3.2' | fill=00000000 | rows=[2] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ3 | value='-6.2' | fill=00000000 | rows=[2] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR3 | value='-4.7' | fill=00000000 | rows=[2] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS3 | value='1' | fill=00000000 | rows=[2] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT3 | value='0.7' | fill=00000000 | rows=[2] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU3 | value='0.5' | fill=00000000 | rows=[2] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV3 | value='1.8' | fill=00000000 | rows=[2] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW3 | value='12.2' | fill=00000000 | rows=[2] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX3 | value='14' | fill=00000000 | rows=[2] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY3 | value='-2' | fill=00000000 | rows=[2] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell A4 | value='Finished consumer foods' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='14' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='8.4' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='-0.3' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='5.3' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='9' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='9.3' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='5.8' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='5.8' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='2.2' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='1' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='4.4' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='-0.8' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='2.6' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='2.1' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='2.8' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='5.4' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='4.8' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='-0.2' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='-0.6' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='1.9' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='0.9' | fill=00000000 | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='1.7' | fill=00000000 | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='3.6' | fill=00000000 | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='0.7' | fill=00000000 | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='-0.1' | fill=00000000 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='0.6' | fill=00000000 | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB4 | value='1.6' | fill=00000000 | rows=[3] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC4 | value='3' | fill=00000000 | rows=[3] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD4 | value='-0.8' | fill=00000000 | rows=[3] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE4 | value='4.1' | fill=00000000 | rows=[3] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF4 | value='4.7' | fill=00000000 | rows=[3] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG4 | value='2' | fill=00000000 | rows=[3] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH4 | value='0.6' | fill=00000000 | rows=[3] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI4 | value='6.6' | fill=00000000 | rows=[3] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ4 | value='6.8' | fill=00000000 | rows=[3] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK4 | value='-1.6' | fill=00000000 | rows=[3] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL4 | value='3.9' | fill=00000000 | rows=[3] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM4 | value='6.3' | fill=00000000 | rows=[3] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN4 | value='2.7' | fill=00000000 | rows=[3] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO4 | value='2.2' | fill=00000000 | rows=[3] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP4 | value='4.4' | fill=00000000 | rows=[3] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ4 | value='-1.3' | fill=00000000 | rows=[3] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR4 | value='-2.4' | fill=00000000 | rows=[3] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS4 | value='1.3' | fill=00000000 | rows=[3] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT4 | value='0.1' | fill=00000000 | rows=[3] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU4 | value='2' | fill=00000000 | rows=[3] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV4 | value='1.3' | fill=00000000 | rows=[3] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW4 | value='6.3' | fill=00000000 | rows=[3] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX4 | value='14.2' | fill=00000000 | rows=[3] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY4 | value='2' | fill=00000000 | rows=[3] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Farm-level cattle' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='-10.2' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='-1.7' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='-7.1' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='2.3' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='32.4' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='30.5' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='-2.1' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='-4.7' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='-3.1' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='3.7' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='-9.3' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='-2.1' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='15.1' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='6.5' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='3.9' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='7.6' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='-5.5' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='-0.3' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='1.1' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='-9.3' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='-6' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='-3.7' | fill=00000000 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='2.2' | fill=00000000 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='-5.5' | fill=00000000 | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='5.5' | fill=00000000 | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='6.7' | fill=00000000 | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='4.1' | fill=00000000 | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='-7' | fill=00000000 | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='23.3' | fill=00000000 | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='1.5' | fill=00000000 | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='4.2' | fill=00000000 | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH5 | value='-4' | fill=00000000 | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='7.8' | fill=00000000 | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='0' | fill=00000000 | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK5 | value='-10.4' | fill=00000000 | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='14.6' | fill=00000000 | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM5 | value='22.1' | fill=00000000 | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN5 | value='8.6' | fill=00000000 | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='1.4' | fill=00000000 | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP5 | value='22.8' | fill=00000000 | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ5 | value='-2.2' | fill=00000000 | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='-19.4' | fill=00000000 | rows=[4] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS5 | value='-1.7' | fill=00000000 | rows=[4] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT5 | value='-3.6' | fill=00000000 | rows=[4] | cols=[45] | col_header=False | row_header=False | metadata=False
