=== society-table54.xlsx ===
Cell C1 | value='Country/region' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='Years' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W3 | value='APC' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell C4 | value='All countries (n=58)' | fill=FF00B0F0 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D4 | value='1986-1997' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='-0.5*' | fill=FF00B0F0 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F4 | value='1997-2001' | fill=FF00B0F0 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G4 | value='3.8*' | fill=FF00B0F0 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H4 | value='2001-2011' | fill=FF00B0F0 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I4 | value='-0.4*' | fill=FF00B0F0 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell N4 | value='1986-1997' | fill=FF00B0F0 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O4 | value='-0.6*' | fill=FF00B0F0 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P4 | value='1997-2001' | fill=FF00B0F0 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q4 | value='2.7*' | fill=FF00B0F0 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R4 | value='2001-2011' | fill=FF00B0F0 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S4 | value='-1.2*' | fill=FF00B0F0 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell C5 | value='Asia (n=7)' | fill=FF00B050 | rows=[4] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D5 | value='1986-1990' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='-2.1' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='1990-1995' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='7.1*' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1995-1999' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='-0.6' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='1999-2004' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='-4.2*' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='2004-2011' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='1.6*' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='1986-1990' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='-2.1' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='1990-1994' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='4' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='1994-1999' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='-0.7' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='1999-2005' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='-4.2*' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='2005-2011' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='-1.8*' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Hong Kong SAR' | fill=FF00B050 | rows=[5] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D6 | value='1986-2002' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='13.3*' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='2002-2011' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='-1.3' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N6 | value='1986-1992' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='-8.6' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='1992-2011' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='1.4' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Israel' | fill=FF00B050 | rows=[6] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D7 | value='1986-1999' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='9.2*' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='1999-2011' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='1.3' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N7 | value='1986-2011' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='2.0*' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Japan' | fill=FF00B050 | rows=[7] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D8 | value='1986-1992' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='-2.1*' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='1992-1996' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='7.0*' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1996-2004' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='-1.2' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='2004-2011' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='1.7*' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N8 | value='1986-1993' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='-3.1*' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='1993-1997' | fill=00000000 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0.7' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='1997-2004' | fill=00000000 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='-3.5*' | fill=00000000 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='2004-2011' | fill=00000000 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='-1.2*' | fill=00000000 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Kazakhstan' | fill=FF00B050 | rows=[8] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D9 | value='1986-1990' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='-11.7*' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='1990-1995' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='10.6*' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1995-2011' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='-4.1*' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N9 | value='1986-1990' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='-4.5' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='1990-1994' | fill=00000000 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='8.9' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='1994-2000' | fill=00000000 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='-8.1*' | fill=00000000 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='2000-2004' | fill=00000000 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='11.7' | fill=00000000 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='2004-2011' | fill=00000000 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='-0.1' | fill=00000000 | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C10 | value='Kyrgyzstan' | fill=FF00B050 | rows=[9] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D10 | value='1986-1998' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='-2.4' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='1998-2007' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='22.1*' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2007-2011' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='-15.9*' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N10 | value='1986-1998' | fill=00000000 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='-2.2' | fill=00000000 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='1998-2006' | fill=00000000 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='25.1*' | fill=00000000 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='2006-2011' | fill=00000000 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='-10.3*' | fill=00000000 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C11 | value='Republic of Korea' | fill=FF00B050 | rows=[10] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D11 | value='1986-1990' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='1.1' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='1990-1994' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='24.6' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1994-2000' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='-6.3*' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='2000-2004' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='-16.3*' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='2004-2011' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='1.4' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='1986-1990' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='6.9' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='1990-1994' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='28.3*' | fill=00000000 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='1994-2002' | fill=00000000 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='-2.6' | fill=00000000 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='2002-2006' | fill=00000000 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='-14.2' | fill=00000000 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='2006-2011' | fill=00000000 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='-10.6' | fill=00000000 | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Singapore' | fill=FF00B050 | rows=[11] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D12 | value='1986-2011' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='-0.7' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N12 | value='1986-2011' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='-5.1*' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C13 | value='Eastern Europe  (n=8)' | fill=FF00B050 | rows=[12] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D13 | value='1986-1993' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='1.2' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='1993-2011' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='-1.8*' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N13 | value='1986-1993' | fill=00000000 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='2.5*' | fill=00000000 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='1993-1997' | fill=00000000 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='-5.2*' | fill=00000000 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='1997-2001' | fill=00000000 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='0.1' | fill=00000000 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='2001-2011' | fill=00000000 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='-2.9*' | fill=00000000 | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell C14 | value='Bulgaria' | fill=FF00B050 | rows=[13] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='1986-2011' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='1.3' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N14 | value='1986-2011' | fill=00000000 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='1' | fill=00000000 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Czech Republic' | fill=FF00B050 | rows=[14] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D15 | value='1986-2004' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='-6.1*' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='2004-2011' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='22.3*' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N15 | value='1986-2004' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='-7.4*' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='2004-2011' | fill=00000000 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='16.1*' | fill=00000000 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Hungary' | fill=FF00B050 | rows=[15] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='1986-2011' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='1.9*' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N16 | value='1986-2003' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='-0.9' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='2003-2007' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='5.3' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='2007-2011' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='-2' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Poland' | fill=FF00B050 | rows=[16] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='1986-1994' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='-0.2' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='1994-1998' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='-12.9' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='1998-2011' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='-3.1*' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N17 | value='1986-1995' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='-0.4' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='1995-1999' | fill=00000000 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='-12.7*' | fill=00000000 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='1999-2011' | fill=00000000 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='-2.6*' | fill=00000000 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C18 | value='Republic of Moldova' | fill=FF00B050 | rows=[17] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D18 | value='1986-2011' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='-1.9*' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell N18 | value='1986-2003' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='0.02' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='2003-2011' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='-10.9*' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Romania' | fill=FF00B050 | rows=[18] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D19 | value='1986-1992' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='0.6' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='1992-1996' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='-26.4' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='1996-2011' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='-3.5' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell N19 | value='1986-1992' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='0.4' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='1992-1996' | fill=00000000 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='-25.7*' | fill=00000000 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='1996-2011' | fill=00000000 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='-2.4' | fill=00000000 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Russian Federation' | fill=FF00B050 | rows=[19] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D20 | value='1986-2000' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='0.4' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='2000-2011' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='-3.0*' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell N20 | value='1986-1993' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='3.2*' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='1993-1997' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='-3.2*' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='1997-2001' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='2.3' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='2001-2005' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='-5.6*' | fill=00000000 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='2005-2011' | fill=00000000 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='-2.4*' | fill=00000000 | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Ukraine' | fill=FF00B050 | rows=[20] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D21 | value='1986-1994' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='5.0*' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1994-1998' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='-6.2' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
