=== education-table33.xlsx ===
Cell A1 | value='SUBJECT' | fill=FFFFFF00 | rows=[0, 1, 2, 3] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell G3 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell Q4 | value='REMARKS' | fill=FFFFFF00 | rows=[3] | cols=[16, 17, 18, 19] | col_header=True | row_header=False | metadata=False
Cell U4 | value='REMARKS' | fill=FFFFFF00 | rows=[3] | cols=[20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell X4 | value='REMARKS' | fill=FFFFFF00 | rows=[3] | cols=[23, 24, 25] | col_header=True | row_header=False | metadata=False
Cell A5 | value='HINDI / URDU/ TAMIL / BANGALI / PUNJABI' | fill=FF00B050 | rows=[4] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='10' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='5' | fill=00000000 | rows=[4] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='15' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='9' | fill=00000000 | rows=[4] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='75' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0' | fill=00000000 | rows=[4] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='100' | fill=FF00B0F0 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M5 | value='14' | fill=00000000 | rows=[4] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='DISCIPLINE' | fill=00000000 | rows=[4] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A6 | value='ENGLISH' | fill=FF00B050 | rows=[5] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='10' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='6' | fill=00000000 | rows=[5] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='15' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='7' | fill=00000000 | rows=[5] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='75' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0' | fill=00000000 | rows=[5] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='100' | fill=FF00B0F0 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M6 | value='13' | fill=00000000 | rows=[5] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='REGULARITY' | fill=00000000 | rows=[5] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A7 | value='MATH' | fill=FF00B050 | rows=[6] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='10' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='7' | fill=00000000 | rows=[6] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='15' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='8' | fill=00000000 | rows=[6] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='75' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0' | fill=00000000 | rows=[6] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='100' | fill=FF00B0F0 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M7 | value='15' | fill=00000000 | rows=[6] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='PUNCTUALITY' | fill=00000000 | rows=[6] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A8 | value='SCIENCE' | fill=FF00B050 | rows=[7] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='10' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='9' | fill=00000000 | rows=[7] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='15' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='8' | fill=00000000 | rows=[7] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='75' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=00000000 | rows=[7] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='100' | fill=FF00B0F0 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M8 | value='17' | fill=00000000 | rows=[7] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='CLEANLINESS' | fill=00000000 | rows=[7] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A9 | value='SOCIAL STUDY' | fill=FF00B050 | rows=[8] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='10' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='9' | fill=00000000 | rows=[8] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='15' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='8' | fill=00000000 | rows=[8] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='75' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0' | fill=00000000 | rows=[8] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='100' | fill=FF00B0F0 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M9 | value='17' | fill=00000000 | rows=[8] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='SPORTS' | fill=00000000 | rows=[8] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A10 | value='DRAWING' | fill=FF00B050 | rows=[9] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='10' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='6' | fill=00000000 | rows=[9] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='15' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='7' | fill=00000000 | rows=[9] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='75' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0' | fill=00000000 | rows=[9] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='100' | fill=FF00B0F0 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M10 | value='13' | fill=00000000 | rows=[9] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='OTHER ACTIVITIES' | fill=00000000 | rows=[9] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A11 | value='ANY OTHER' | fill=FF00B050 | rows=[10] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell L11 | value='0' | fill=FF00B0F0 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M11 | value='0' | fill=00000000 | rows=[10] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell A12 | value='TOTAL' | fill=FF00B0F0 | rows=[11] | cols=[0, 1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='60' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='42' | fill=FF00B0F0 | rows=[11] | cols=[3, 4] | col_header=False | row_header=False | metadata=True
Cell F12 | value='90' | fill=FF00B0F0 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G12 | value='47' | fill=FF00B0F0 | rows=[11] | cols=[6, 7] | col_header=False | row_header=False | metadata=True
Cell I12 | value='450' | fill=FF00B0F0 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J12 | value='0' | fill=FF00B0F0 | rows=[11] | cols=[9, 10] | col_header=False | row_header=False | metadata=True
Cell L12 | value='600' | fill=FF00B0F0 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M12 | value='89' | fill=FF00B0F0 | rows=[11] | cols=[12, 13] | col_header=False | row_header=False | metadata=True
Cell O12 | value='PERCENTAGE MARKS' | fill=FF00B0F0 | rows=[11] | cols=[14, 15] | col_header=False | row_header=False | metadata=True
Cell Q12 | value='15 %' | fill=FF00B0F0 | rows=[11] | cols=[16, 17, 18, 19] | col_header=False | row_header=False | metadata=True
Cell A13 | value='ATTENDANCE' | fill=FF00B050 | rows=[12] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell A14 | value='RESULT' | fill=FF00B050 | rows=[13] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell L14 | value='PASS' | fill=00000000 | rows=[13] | cols=[11, 12, 13] | col_header=False | row_header=False | metadata=False
Cell A15 | value='SIGNATURE CLASS TEACHER' | fill=FF00B050 | rows=[14] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell A16 | value='SIGNATURE PRINCIPAL' | fill=FF00B050 | rows=[15] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell A17 | value='SIGNATURE PARENTS' | fill=FF00B050 | rows=[16] | cols=[0, 1] | col_header=False | row_header=True | metadata=False

=== education-table33.xlsx ===
Cell A1 | value='SUBJECT' | fill=FFFFFF00 | rows=[0, 1, 2, 3] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell C1 | value='1st MONTHLY TEST' | fill=FFFFFF00 | rows=[0, 1] | cols=[2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='2nd MONTHLY TEST' | fill=FFFFFF00 | rows=[0, 1] | cols=[5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='ANNUAL EXAM' | fill=FFFFFF00 | rows=[0, 1] | cols=[8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='TOTAL MARKS' | fill=FF00B0F0 | rows=[0, 1, 2, 3] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M1 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[0, 1, 2, 3] | cols=[12, 13] | col_header=True | row_header=False | metadata=False
Cell O1 | value='OTHER DESCRIPTION' | fill=FFFFFF00 | rows=[0, 1, 2, 3] | cols=[14, 15] | col_header=True | row_header=False | metadata=False
Cell Q1 | value='1st MONTHLY TEST' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[16, 17, 18, 19] | col_header=True | row_header=False | metadata=False
Cell U1 | value='2nd MONTHLY TEST' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell X1 | value='ANNUAL EXAM' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[23, 24, 25] | col_header=True | row_header=False | metadata=False
Cell C3 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[3, 4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[6, 7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='MAXIMUM MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='OBTAINED MARKS' | fill=FFFFFF00 | rows=[2, 3] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell Q4 | value='REMARKS' | fill=FFFFFF00 | rows=[3] | cols=[16, 17, 18, 19] | col_header=True | row_header=False | metadata=False
Cell U4 | value='REMARKS' | fill=FFFFFF00 | rows=[3] | cols=[20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell X4 | value='REMARKS' | fill=FFFFFF00 | rows=[3] | cols=[23, 24, 25] | col_header=True | row_header=False | metadata=False
Cell A5 | value='HINDI / URDU/ TAMIL / BANGALI / PUNJABI' | fill=FF00B050 | rows=[4] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='10' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='5' | fill=00000000 | rows=[4] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='15' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='9' | fill=00000000 | rows=[4] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='75' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0' | fill=00000000 | rows=[4] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='100' | fill=FF00B0F0 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M5 | value='14' | fill=00000000 | rows=[4] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='DISCIPLINE' | fill=00000000 | rows=[4] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A6 | value='ENGLISH' | fill=FF00B050 | rows=[5] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='10' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='6' | fill=00000000 | rows=[5] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='15' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='7' | fill=00000000 | rows=[5] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='75' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0' | fill=00000000 | rows=[5] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='100' | fill=FF00B0F0 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M6 | value='13' | fill=00000000 | rows=[5] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='REGULARITY' | fill=00000000 | rows=[5] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A7 | value='MATH' | fill=FF00B050 | rows=[6] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='10' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='7' | fill=00000000 | rows=[6] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='15' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='8' | fill=00000000 | rows=[6] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='75' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0' | fill=00000000 | rows=[6] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='100' | fill=FF00B0F0 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M7 | value='15' | fill=00000000 | rows=[6] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='PUNCTUALITY' | fill=00000000 | rows=[6] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A8 | value='SCIENCE' | fill=FF00B050 | rows=[7] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='10' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='9' | fill=00000000 | rows=[7] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='15' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='8' | fill=00000000 | rows=[7] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='75' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=00000000 | rows=[7] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='100' | fill=FF00B0F0 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M8 | value='17' | fill=00000000 | rows=[7] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='CLEANLINESS' | fill=00000000 | rows=[7] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A9 | value='SOCIAL STUDY' | fill=FF00B050 | rows=[8] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='10' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='9' | fill=00000000 | rows=[8] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='15' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='8' | fill=00000000 | rows=[8] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='75' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0' | fill=00000000 | rows=[8] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='100' | fill=FF00B0F0 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M9 | value='17' | fill=00000000 | rows=[8] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='SPORTS' | fill=00000000 | rows=[8] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A10 | value='DRAWING' | fill=FF00B050 | rows=[9] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='10' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='6' | fill=00000000 | rows=[9] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='15' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='7' | fill=00000000 | rows=[9] | cols=[6, 7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='75' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0' | fill=00000000 | rows=[9] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='100' | fill=FF00B0F0 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M10 | value='13' | fill=00000000 | rows=[9] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='OTHER ACTIVITIES' | fill=00000000 | rows=[9] | cols=[14, 15] | col_header=False | row_header=False | metadata=False
Cell A11 | value='ANY OTHER' | fill=FF00B050 | rows=[10] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell L11 | value='0' | fill=FF00B0F0 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M11 | value='0' | fill=00000000 | rows=[10] | cols=[12, 13] | col_header=False | row_header=False | metadata=False
Cell A12 | value='TOTAL' | fill=FF00B0F0 | rows=[11] | cols=[0, 1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='60' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='42' | fill=FF00B0F0 | rows=[11] | cols=[3, 4] | col_header=False | row_header=False | metadata=True
Cell F12 | value='90' | fill=FF00B0F0 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G12 | value='47' | fill=FF00B0F0 | rows=[11] | cols=[6, 7] | col_header=False | row_header=False | metadata=True
Cell I12 | value='450' | fill=FF00B0F0 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J12 | value='0' | fill=FF00B0F0 | rows=[11] | cols=[9, 10] | col_header=False | row_header=False | metadata=True
Cell L12 | value='600' | fill=FF00B0F0 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M12 | value='89' | fill=FF00B0F0 | rows=[11] | cols=[12, 13] | col_header=False | row_header=False | metadata=True
Cell O12 | value='PERCENTAGE MARKS' | fill=FF00B0F0 | rows=[11] | cols=[14, 15] | col_header=False | row_header=False | metadata=True
Cell Q12 | value='15 %' | fill=FF00B0F0 | rows=[11] | cols=[16, 17, 18, 19] | col_header=False | row_header=False | metadata=True
Cell A13 | value='ATTENDANCE' | fill=FF00B050 | rows=[12] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell A14 | value='RESULT' | fill=FF00B050 | rows=[13] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell L14 | value='PASS' | fill=00000000 | rows=[13] | cols=[11, 12, 13] | col_header=False | row_header=False | metadata=False
Cell A15 | value='SIGNATURE CLASS TEACHER' | fill=FF00B050 | rows=[14] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell A16 | value='SIGNATURE PRINCIPAL' | fill=FF00B050 | rows=[15] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell A17 | value='SIGNATURE PARENTS' | fill=FF00B050 | rows=[16] | cols=[0, 1] | col_header=False | row_header=True | metadata=False

