=== economy-table29.xlsx ===
Cell A1 | value='Time period' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5] | col_header=True | row_header=True | metadata=False
Cell D12 | value='·  Liquefied Petroleum Gases' | fill=FF00B050 | rows=[11] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E12 | value='·  ·  Central government' | fill=FF00B050 | rows=[11] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G12 | value='..' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='..' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='..' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='..' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='..' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='..' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='..' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='..' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='..' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='..' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='..' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='..' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='..' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='..' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A13 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='Refining or processing stage' | fill=FF00B050 | rows=[12] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D13 | value='·  Motor gasoline excl. biofuels' | fill=FF00B050 | rows=[12] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E13 | value='Total economy' | fill=FF00B050 | rows=[12] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A14 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='Refining or processing stage' | fill=FF00B050 | rows=[13] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D14 | value='·  Motor gasoline excl. biofuels' | fill=FF00B050 | rows=[13] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E14 | value='·  General government' | fill=FF00B050 | rows=[13] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A15 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='Refining or processing stage' | fill=FF00B050 | rows=[14] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D15 | value='·  Motor gasoline excl. biofuels' | fill=FF00B050 | rows=[14] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E15 | value='·  ·  Central government' | fill=FF00B050 | rows=[14] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G15 | value='..' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='..' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='..' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='..' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='..' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='..' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='..' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='..' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='..' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='..' | fill=00000000 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='..' | fill=00000000 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='..' | fill=00000000 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='..' | fill=00000000 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='..' | fill=00000000 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A16 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='Refining or processing stage' | fill=FF00B050 | rows=[15] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D16 | value='·  Gas/diesel oil excl. biofuels' | fill=FF00B050 | rows=[15] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E16 | value='Total economy' | fill=FF00B050 | rows=[15] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A17 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='Refining or processing stage' | fill=FF00B050 | rows=[16] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D17 | value='·  Gas/diesel oil excl. biofuels' | fill=FF00B050 | rows=[16] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E17 | value='·  General government' | fill=FF00B050 | rows=[16] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A18 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='Refining or processing stage' | fill=FF00B050 | rows=[17] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D18 | value='·  Gas/diesel oil excl. biofuels' | fill=FF00B050 | rows=[17] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E18 | value='·  ·  Central government' | fill=FF00B050 | rows=[17] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G18 | value='..' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='..' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='..' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='..' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='..' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='..' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='..' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='..' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='..' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='..' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='..' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='..' | fill=00000000 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='..' | fill=00000000 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='..' | fill=00000000 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A19 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='Total' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A20 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='·  Beneficiary' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A21 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C21 | value='Refining or processing stage' | fill=FF00B050 | rows=[20] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D21 | value='Natural Gas' | fill=FF00B050 | rows=[20] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E21 | value='Total economy' | fill=FF00B050 | rows=[20] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A22 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='Refining or processing stage' | fill=FF00B050 | rows=[21] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D22 | value='Natural Gas' | fill=FF00B050 | rows=[21] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E22 | value='·  General government' | fill=FF00B050 | rows=[21] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A23 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='Refining or processing stage' | fill=FF00B050 | rows=[22] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D23 | value='Natural Gas' | fill=FF00B050 | rows=[22] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E23 | value='·  ·  Central government' | fill=FF00B050 | rows=[22] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G23 | value='..' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='..' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='..' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='..' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='..' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='..' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='3215000000' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='3059000000' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='2528000000' | fill=00000000 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='2093000000' | fill=00000000 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='1976000000' | fill=00000000 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='153000000' | fill=00000000 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='106000000' | fill=00000000 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='206000000' | fill=00000000 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A24 | value='VAT Rebate on Imported LNG 2005-10' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='Total' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A25 | value='VAT Rebate on Imported LNG 2005-10' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='·  Beneficiary' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A26 | value='VAT Rebate on Imported LNG 2005-10' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='Refining or processing stage' | fill=FF00B050 | rows=[25] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D26 | value='Natural Gas' | fill=FF00B050 | rows=[25] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E26 | value='Total economy' | fill=FF00B050 | rows=[25] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A27 | value='VAT Rebate on Imported LNG 2005-10' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='Refining or processing stage' | fill=FF00B050 | rows=[26] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D27 | value='Natural Gas' | fill=FF00B050 | rows=[26] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E27 | value='·  General government' | fill=FF00B050 | rows=[26] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A28 | value='VAT Rebate on Imported LNG 2005-10' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='·  ·  Producer Support Estimate' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='Refining or processing stage' | fill=FF00B050 | rows=[27] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D28 | value='Natural Gas' | fill=FF00B050 | rows=[27] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E28 | value='·  ·  Central government' | fill=FF00B050 | rows=[27] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell G28 | value='2659286464' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='..' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='..' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='..' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='..' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='..' | fill=00000000 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='..' | fill=00000000 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='..' | fill=00000000 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='..' | fill=00000000 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='..' | fill=00000000 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='..' | fill=00000000 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='..' | fill=00000000 | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='..' | fill=00000000 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='..' | fill=00000000 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='Total' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A30 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='·  Beneficiary' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell A31 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[30] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D31 | value='Petroleum' | fill=FF00B050 | rows=[30] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell A32 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[31] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D32 | value='·  Kerosene type jet fuel excl. biofuels' | fill=FF00B050 | rows=[31] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E32 | value='Total economy' | fill=FF00B050 | rows=[31] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell A33 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='·  ·  Consumer Support Estimate' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FF00B050 | rows=[32] | cols=[2] | col_header=False | row_header=True | metadata=False
Cell D33 | value='·  Kerosene type jet fuel excl. biofuels' | fill=FF00B050 | rows=[32] | cols=[3] | col_header=False | row_header=True | metadata=False
