=== science-table66.xlsx ===
Cell C1 | value='Uninf' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell C7 | value='1.89' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='2.09' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2.38' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='7.24' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='4.69' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='1.38' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='1.2' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='6.89' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Replicate2' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='0.61' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='0.75' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='0.97' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='4.58' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='3.57' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1.4' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='1.58' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='8.04' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Replicate3' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='1.74' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2.3' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='1.39' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='6.25' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='4.55' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1.34' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1.99' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='5.22' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Mean' | fill=FF00B0F0 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C11 | value='1.04166666666667' | fill=FF00B0F0 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D11 | value='1.245' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E11 | value='1.21' | fill=FF00B0F0 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F11 | value='5.68666666666667' | fill=FF00B0F0 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G11 | value='4.06833333333333' | fill=FF00B0F0 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H11 | value='1.37166666666667' | fill=FF00B0F0 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I11 | value='1.24166666666667' | fill=FF00B0F0 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J11 | value='5.82833333333333' | fill=FF00B0F0 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell B12 | value='SD' | fill=FF00B0F0 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='0.733114361247048' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='0.778710472512088' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E12 | value='0.635578476665156' | fill=FF00B0F0 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F12 | value='1.39636193970857' | fill=FF00B0F0 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G12 | value='1.22202154918261' | fill=FF00B0F0 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H12 | value='0.392551482823166' | fill=FF00B0F0 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I12 | value='0.468632763116992' | fill=FF00B0F0 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J12 | value='1.38796853950897' | fill=FF00B0F0 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=True

=== science-table66.xlsx ===
Cell C1 | value='Uninf' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='Infected' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=False | metadata=False
Cell C2 | value='no DC Trnf' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='no DC Trnf' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='DC + PBS' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='DC + SAG' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='DC (Ctrl siRNA) + SAG' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='DC (Runx1+3 siRNA) + SAG' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='DC (Runx1+3 siRNA + Vec) + SAG' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='DC (Runx1+3 siRNA + CD40) + SAG' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell C3 | value='Set1' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='Set2' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='Set3' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='Set4' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='Set5' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='Set6' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='Set7' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='Set8' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Expt-1' | fill=FF00B050 | rows=[3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='Replicate1' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='0.21' | fill=3 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='0.35' | fill=3 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='0.74' | fill=3 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='6.44' | fill=3 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='5.8' | fill=3 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='0.8' | fill=3 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='0.96' | fill=3 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='5.39' | fill=3 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Replicate2' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='0.37' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='1.11' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='0.63' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='6.16' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='3.56' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1.28' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='0.7' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='5.25' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Replicate3' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='1.43' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='0.87' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1.15' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='3.45' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2.24' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='2.03' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='1.02' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='4.18' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Expt-2' | fill=FF00B050 | rows=[6, 7, 8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Replicate1' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='1.89' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='2.09' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2.38' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='7.24' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='4.69' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='1.38' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='1.2' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='6.89' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Replicate2' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='0.61' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='0.75' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='0.97' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='4.58' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='3.57' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1.4' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='1.58' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='8.04' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Replicate3' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='1.74' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='2.3' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='1.39' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='6.25' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='4.55' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1.34' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='1.99' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='5.22' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Mean' | fill=FF00B0F0 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C11 | value='1.04166666666667' | fill=FF00B0F0 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D11 | value='1.245' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E11 | value='1.21' | fill=FF00B0F0 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F11 | value='5.68666666666667' | fill=FF00B0F0 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G11 | value='4.06833333333333' | fill=FF00B0F0 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H11 | value='1.37166666666667' | fill=FF00B0F0 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I11 | value='1.24166666666667' | fill=FF00B0F0 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J11 | value='5.82833333333333' | fill=FF00B0F0 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell B12 | value='SD' | fill=FF00B0F0 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='0.733114361247048' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='0.778710472512088' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E12 | value='0.635578476665156' | fill=FF00B0F0 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F12 | value='1.39636193970857' | fill=FF00B0F0 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G12 | value='1.22202154918261' | fill=FF00B0F0 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H12 | value='0.392551482823166' | fill=FF00B0F0 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I12 | value='0.468632763116992' | fill=FF00B0F0 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J12 | value='1.38796853950897' | fill=FF00B0F0 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=True

