=== education-table19.xlsx ===
Cell A1 | value='Grade' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell P3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W3 | value='Number' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X3 | value='Percent' | fill=FFFFFF00 | rows=[2] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Kindergarten' | fill=FF00B050 | rows=[3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='Male' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='7984' | fill=FF00B0F0 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D4 | value='62.4823916105807' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='93' | fill=None | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='0.727813429331664' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='468' | fill=None | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='3.6625449992174' | fill=None | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='4240' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='33.1820316168414' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='436' | fill=None | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='3.41211457192049' | fill=None | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='2410' | fill=None | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='18.860541555799' | fill=None | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='42' | fill=None | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='0.328689935827203' | fill=None | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='295' | fill=None | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='2.30865550164345' | fill=None | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='1017' | fill=None | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='7.95899201753013' | fill=None | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='62' | fill=None | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='0.485208952887776' | fill=None | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='2717' | fill=None | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='21.2631084676788' | fill=None | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='5931' | fill=None | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='99.9662788737144' | fill=None | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Female' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='4794' | fill=FF00B0F0 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D5 | value='37.5176083894193' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E5 | value='60' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='0.469557051181719' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='221' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1.72953513851933' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='2726' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='21.3335420253561' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='298' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='2.33213335420254' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='1314' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='10.2832994208796' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='26' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='0.203474722178745' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='149' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='1.16606667710127' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='387' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='3.02864298012208' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='47' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='0.367819690092346' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='1751' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='13.7032399436532' | fill=00000000 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='5931' | fill=00000000 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='99.9662788737144' | fill=00000000 | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Total' | fill=FF00B0F0 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C6 | value='12778' | fill=FF00B0F0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D6 | value='100' | fill=FF00B0F0 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E6 | value='153' | fill=FF00B0F0 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F6 | value='1.19737048051338' | fill=FF00B0F0 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G6 | value='689' | fill=FF00B0F0 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H6 | value='5.39208013773673' | fill=FF00B0F0 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I6 | value='6966' | fill=FF00B0F0 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J6 | value='54.5155736421975' | fill=FF00B0F0 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K6 | value='734' | fill=FF00B0F0 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L6 | value='5.74424792612302' | fill=FF00B0F0 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M6 | value='3724' | fill=FF00B0F0 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N6 | value='29.1438409766787' | fill=FF00B0F0 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O6 | value='68' | fill=FF00B0F0 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P6 | value='0.532164658005948' | fill=FF00B0F0 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q6 | value='444' | fill=FF00B0F0 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R6 | value='3.47472217874472' | fill=FF00B0F0 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S6 | value='1404' | fill=FF00B0F0 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T6 | value='10.9876349976522' | fill=FF00B0F0 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U6 | value='109' | fill=FF00B0F0 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V6 | value='0.853028642980122' | fill=FF00B0F0 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W6 | value='4468' | fill=FF00B0F0 | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X6 | value='34.966348411332' | fill=FF00B0F0 | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y6 | value='5931' | fill=FF00B0F0 | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z6 | value='99.9662788737144' | fill=FF00B0F0 | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell A7 | value='1' | fill=FF00B050 | rows=[6, 7, 8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Male' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='5749' | fill=FF00B0F0 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D7 | value='57.9361080318452' | fill=FF00B0F0 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E7 | value='52' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.524035070039303' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='236' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='2.37831301017837' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='3903' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='39.33286304545' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='458' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='4.61553965534617' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='937' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='9.4427088582082' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='27' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.272095132520407' | fill=00000000 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='136' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='1.37055326010279' | fill=00000000 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='714' | fill=00000000 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='7.19540461553966' | fill=00000000 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='76' | fill=00000000 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0.765897410057442' | fill=00000000 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='2588' | fill=00000000 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='26.0808223319561' | fill=00000000 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='5977' | fill=00000000 | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='99.9665383971892' | fill=00000000 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Female' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='4174' | fill=FF00B0F0 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D8 | value='42.0638919681548' | fill=FF00B0F0 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E8 | value='43' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.4333366925325' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='124' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1.24962209009372' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2902' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='29.2451879471934' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='313' | fill=None | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='3.15428801773657' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='665' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='6.70160233800262' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='20' | fill=None | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.201551950015116' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='107' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='1.07830293258087' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='306' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='3.08374483523128' | fill=None | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='41' | fill=None | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='0.413181497530989' | fill=None | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='1951' | fill=None | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='19.6613927239746' | fill=None | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='5977' | fill=None | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='99.9665383971892' | fill=None | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Total' | fill=FF00B0F0 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C9 | value='9923' | fill=FF00B0F0 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D9 | value='100' | fill=FF00B0F0 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E9 | value='95' | fill=FF00B0F0 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F9 | value='0.957371762571803' | fill=FF00B0F0 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G9 | value='360' | fill=FF00B0F0 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H9 | value='3.6279351002721' | fill=FF00B0F0 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I9 | value='6805' | fill=FF00B0F0 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J9 | value='68.5780509926434' | fill=FF00B0F0 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K9 | value='771' | fill=FF00B0F0 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L9 | value='7.76982767308274' | fill=FF00B0F0 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M9 | value='1602' | fill=FF00B0F0 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N9 | value='16.1443111962108' | fill=FF00B0F0 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O9 | value='47' | fill=FF00B0F0 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P9 | value='0.473647082535524' | fill=FF00B0F0 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q9 | value='243' | fill=FF00B0F0 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R9 | value='2.44885619268366' | fill=FF00B0F0 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S9 | value='1020' | fill=FF00B0F0 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T9 | value='10.2791494507709' | fill=FF00B0F0 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U9 | value='117' | fill=FF00B0F0 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V9 | value='1.17907890758843' | fill=FF00B0F0 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W9 | value='4539' | fill=FF00B0F0 | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X9 | value='45.7422150559307' | fill=FF00B0F0 | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y9 | value='5977' | fill=FF00B0F0 | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z9 | value='99.9665383971892' | fill=FF00B0F0 | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell A10 | value='2' | fill=FF00B050 | rows=[9, 10, 11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='Male' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='2763' | fill=FF00B0F0 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D10 | value='57.755016722408' | fill=FF00B0F0 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E10 | value='23' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='0.480769230769231' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='120' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2.50836120401338' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='1888' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='39.4648829431438' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='263' | fill=None | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='5.49749163879599' | fill=None | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='396' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='8.27759197324415' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='17' | fill=None | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='0.355351170568562' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='56' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='1.17056856187291' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='341' | fill=None | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='7.12792642140468' | fill=None | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='27' | fill=None | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='0.56438127090301' | fill=None | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='1181' | fill=None | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='24.6864548494983' | fill=None | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='5976' | fill=None | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='99.9665327978581' | fill=None | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Female' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='2021' | fill=FF00B0F0 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D11 | value='42.244983277592' | fill=FF00B0F0 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E11 | value='20' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0.418060200668896' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='59' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1.23327759197324' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='1416' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='29.5986622073579' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='180' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='3.76254180602007' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='296' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='6.18729096989967' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='12' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0.250836120401338' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='38' | fill=00000000 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.794314381270903' | fill=00000000 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='167' | fill=00000000 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='3.49080267558528' | fill=00000000 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='23' | fill=00000000 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0.480769230769231' | fill=00000000 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='936' | fill=00000000 | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='19.5652173913043' | fill=00000000 | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y11 | value='5976' | fill=00000000 | rows=[10] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z11 | value='99.9665327978581' | fill=00000000 | rows=[10] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Total' | fill=FF00B0F0 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C12 | value='4784' | fill=FF00B0F0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D12 | value='100' | fill=FF00B0F0 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E12 | value='43' | fill=FF00B0F0 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=True
