=== economy-table98.xlsx ===
Cell A1 | value='DA1 Channel through which the consumer purchased products that they experienced detriment with 

Base: All detriment incidents in the UK in the 12 months to April 2021' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell T2 | value='Personal care products' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='Spectacles and lenses' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='Furniture and appliances' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W2 | value='Electronic devices and software' | fill=FFFFFF00 | rows=[1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='Entertainment items' | fill=FFFFFF00 | rows=[1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y2 | value='New vehicles' | fill=FFFFFF00 | rows=[1] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='Second-hand vehicles' | fill=FFFFFF00 | rows=[1] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA2 | value='Fuel and accessories for vehicles' | fill=FFFFFF00 | rows=[1] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB2 | value='Mobile telephone services' | fill=FFFFFF00 | rows=[1] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC2 | value='Fixed telephone services' | fill=FFFFFF00 | rows=[1] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD2 | value='Internet provision' | fill=FFFFFF00 | rows=[1] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE2 | value='TV and other digital subscriptions' | fill=FFFFFF00 | rows=[1] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF2 | value='Water services' | fill=FFFFFF00 | rows=[1] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG2 | value='Electricity and gas services' | fill=FFFFFF00 | rows=[1] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH2 | value='Real estate services' | fill=FFFFFF00 | rows=[1] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI2 | value='Renting services' | fill=FFFFFF00 | rows=[1] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ2 | value='Home and garden maintenance and repair' | fill=FFFFFF00 | rows=[1] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK2 | value='Removal and storage **' | fill=FFFFFF00 | rows=[1] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL2 | value='Current accounts, loans and bank services' | fill=FFFFFF00 | rows=[1] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM2 | value='Pension funds and investment services' | fill=FFFFFF00 | rows=[1] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN2 | value='Insurance services' | fill=FFFFFF00 | rows=[1] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO2 | value='Legal and accountancy services' | fill=FFFFFF00 | rows=[1] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP2 | value='Funeral services **' | fill=FFFFFF00 | rows=[1] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ2 | value='Vehicle rental **' | fill=FFFFFF00 | rows=[1] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR2 | value='Public transport and train' | fill=FFFFFF00 | rows=[1] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS2 | value='Airline' | fill=FFFFFF00 | rows=[1] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT2 | value='Vehicle maintenance and repair' | fill=FFFFFF00 | rows=[1] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU2 | value='Private medical and dental services' | fill=FFFFFF00 | rows=[1] | cols=[46] | col_header=True | row_header=False | metadata=False
Cell AV2 | value='Prescription and non-prescription medicines' | fill=FFFFFF00 | rows=[1] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW2 | value='Adult care **' | fill=FFFFFF00 | rows=[1] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX2 | value='Education fees *' | fill=FFFFFF00 | rows=[1] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell AY2 | value='Childcare *' | fill=FFFFFF00 | rows=[1] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell AZ2 | value='Veterinary' | fill=FFFFFF00 | rows=[1] | cols=[51] | col_header=True | row_header=False | metadata=False
Cell BA2 | value='Personal care services' | fill=FFFFFF00 | rows=[1] | cols=[52] | col_header=True | row_header=False | metadata=False
Cell BB2 | value='Hotels and holiday accommodation' | fill=FFFFFF00 | rows=[1] | cols=[53] | col_header=True | row_header=False | metadata=False
Cell BC2 | value='Package holidays and tours' | fill=FFFFFF00 | rows=[1] | cols=[54] | col_header=True | row_header=False | metadata=False
Cell BD2 | value='Restaurants, cafés and take-away' | fill=FFFFFF00 | rows=[1] | cols=[55] | col_header=True | row_header=False | metadata=False
Cell BE2 | value='Sport, cultural and entertainment activities' | fill=FFFFFF00 | rows=[1] | cols=[56] | col_header=True | row_header=False | metadata=False
Cell BF2 | value='Gambling and lottery services *' | fill=FFFFFF00 | rows=[1] | cols=[57] | col_header=True | row_header=False | metadata=False
Cell BG2 | value='Pet breeder **' | fill=FFFFFF00 | rows=[1] | cols=[58] | col_header=True | row_header=False | metadata=False
Cell C3 | value='A1' | fill=FFFFFF00 | rows=[2] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D3 | value='B1' | fill=FFFFFF00 | rows=[2] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E3 | value='C1' | fill=FFFFFF00 | rows=[2] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F3 | value='D1' | fill=FFFFFF00 | rows=[2] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='E1' | fill=FFFFFF00 | rows=[2] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H3 | value='F1' | fill=FFFFFF00 | rows=[2] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I3 | value='G1' | fill=FFFFFF00 | rows=[2] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J3 | value='H1' | fill=FFFFFF00 | rows=[2] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K3 | value='I1' | fill=FFFFFF00 | rows=[2] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L3 | value='J1' | fill=FFFFFF00 | rows=[2] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M3 | value='K1' | fill=FFFFFF00 | rows=[2] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N3 | value='L1' | fill=FFFFFF00 | rows=[2] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O3 | value='M1' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P3 | value='N1' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='O1' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='P1' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S3 | value='Q1' | fill=FFFFFF00 | rows=[2] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T3 | value='R1' | fill=FFFFFF00 | rows=[2] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U3 | value='S1' | fill=FFFFFF00 | rows=[2] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V3 | value='T1' | fill=FFFFFF00 | rows=[2] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W3 | value='U1' | fill=FFFFFF00 | rows=[2] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X3 | value='V1' | fill=FFFFFF00 | rows=[2] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y3 | value='W1' | fill=FFFFFF00 | rows=[2] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z3 | value='X1' | fill=FFFFFF00 | rows=[2] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA3 | value='Y1' | fill=FFFFFF00 | rows=[2] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB3 | value='Z1' | fill=FFFFFF00 | rows=[2] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC3 | value='A2' | fill=FFFFFF00 | rows=[2] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD3 | value='B2' | fill=FFFFFF00 | rows=[2] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE3 | value='C2' | fill=FFFFFF00 | rows=[2] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF3 | value='D2' | fill=FFFFFF00 | rows=[2] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG3 | value='E2' | fill=FFFFFF00 | rows=[2] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH3 | value='F2' | fill=FFFFFF00 | rows=[2] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI3 | value='G2' | fill=FFFFFF00 | rows=[2] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ3 | value='H2' | fill=FFFFFF00 | rows=[2] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK3 | value='I2' | fill=FFFFFF00 | rows=[2] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL3 | value='J2' | fill=FFFFFF00 | rows=[2] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM3 | value='K2' | fill=FFFFFF00 | rows=[2] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN3 | value='L2' | fill=FFFFFF00 | rows=[2] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO3 | value='M2' | fill=FFFFFF00 | rows=[2] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP3 | value='N2' | fill=FFFFFF00 | rows=[2] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ3 | value='O2' | fill=FFFFFF00 | rows=[2] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR3 | value='P2' | fill=FFFFFF00 | rows=[2] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS3 | value='Q2' | fill=FFFFFF00 | rows=[2] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT3 | value='R2' | fill=FFFFFF00 | rows=[2] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU3 | value='S2' | fill=FFFFFF00 | rows=[2] | cols=[46] | col_header=True | row_header=False | metadata=False
Cell AV3 | value='T2' | fill=FFFFFF00 | rows=[2] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW3 | value='U2' | fill=FFFFFF00 | rows=[2] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX3 | value='V2' | fill=FFFFFF00 | rows=[2] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell AY3 | value='W2' | fill=FFFFFF00 | rows=[2] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell AZ3 | value='X2' | fill=FFFFFF00 | rows=[2] | cols=[51] | col_header=True | row_header=False | metadata=False
Cell BA3 | value='Y2' | fill=FFFFFF00 | rows=[2] | cols=[52] | col_header=True | row_header=False | metadata=False
Cell BB3 | value='Z2' | fill=FFFFFF00 | rows=[2] | cols=[53] | col_header=True | row_header=False | metadata=False
Cell BC3 | value='A3' | fill=FFFFFF00 | rows=[2] | cols=[54] | col_header=True | row_header=False | metadata=False
Cell BD3 | value='B3' | fill=FFFFFF00 | rows=[2] | cols=[55] | col_header=True | row_header=False | metadata=False
Cell BE3 | value='C3' | fill=FFFFFF00 | rows=[2] | cols=[56] | col_header=True | row_header=False | metadata=False
Cell BF3 | value='D3' | fill=FFFFFF00 | rows=[2] | cols=[57] | col_header=True | row_header=False | metadata=False
Cell BG3 | value='E3' | fill=FFFFFF00 | rows=[2] | cols=[58] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Unweighted total' | fill=FF00B0F0 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B4 | value='9388' | fill=FF00B0F0 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C4 | value='3698' | fill=FF00B0F0 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D4 | value='5690' | fill=FF00B0F0 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E4 | value='1889' | fill=FF00B0F0 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F4 | value='1563' | fill=FF00B0F0 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G4 | value='844' | fill=FF00B0F0 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H4 | value='2228' | fill=FF00B0F0 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I4 | value='655' | fill=FF00B0F0 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J4 | value='325' | fill=FF00B0F0 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K4 | value='522' | fill=FF00B0F0 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L4 | value='266' | fill=FF00B0F0 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M4 | value='204' | fill=FF00B0F0 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N4 | value='640' | fill=FF00B0F0 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O4 | value='252' | fill=FF00B0F0 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P4 | value='426' | fill=FF00B0F0 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q4 | value='821' | fill=FF00B0F0 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R4 | value='222' | fill=FF00B0F0 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S4 | value='83' | fill=FF00B0F0 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T4 | value='148' | fill=FF00B0F0 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U4 | value='224' | fill=FF00B0F0 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V4 | value='568' | fill=FF00B0F0 | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W4 | value='590' | fill=FF00B0F0 | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X4 | value='181' | fill=FF00B0F0 | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y4 | value='51' | fill=FF00B0F0 | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z4 | value='183' | fill=FF00B0F0 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell AA4 | value='201' | fill=FF00B0F0 | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=True
Cell AB4 | value='415' | fill=FF00B0F0 | rows=[3] | cols=[27] | col_header=False | row_header=False | metadata=True
Cell AC4 | value='275' | fill=FF00B0F0 | rows=[3] | cols=[28] | col_header=False | row_header=False | metadata=True
Cell AD4 | value='1023' | fill=FF00B0F0 | rows=[3] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell AE4 | value='515' | fill=FF00B0F0 | rows=[3] | cols=[30] | col_header=False | row_header=False | metadata=True
Cell AF4 | value='134' | fill=FF00B0F0 | rows=[3] | cols=[31] | col_header=False | row_header=False | metadata=True
Cell AG4 | value='521' | fill=FF00B0F0 | rows=[3] | cols=[32] | col_header=False | row_header=False | metadata=True
Cell AH4 | value='68' | fill=FF00B0F0 | rows=[3] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell AI4 | value='87' | fill=FF00B0F0 | rows=[3] | cols=[34] | col_header=False | row_header=False | metadata=True
Cell AJ4 | value='148' | fill=FF00B0F0 | rows=[3] | cols=[35] | col_header=False | row_header=False | metadata=True
Cell AK4 | value='22' | fill=FF00B0F0 | rows=[3] | cols=[36] | col_header=False | row_header=False | metadata=True
Cell AL4 | value='222' | fill=FF00B0F0 | rows=[3] | cols=[37] | col_header=False | row_header=False | metadata=True
Cell AM4 | value='71' | fill=FF00B0F0 | rows=[3] | cols=[38] | col_header=False | row_header=False | metadata=True
Cell AN4 | value='229' | fill=FF00B0F0 | rows=[3] | cols=[39] | col_header=False | row_header=False | metadata=True
Cell AO4 | value='79' | fill=FF00B0F0 | rows=[3] | cols=[40] | col_header=False | row_header=False | metadata=True
Cell AP4 | value='23' | fill=FF00B0F0 | rows=[3] | cols=[41] | col_header=False | row_header=False | metadata=True
Cell AQ4 | value='15' | fill=FF00B0F0 | rows=[3] | cols=[42] | col_header=False | row_header=False | metadata=True
Cell AR4 | value='126' | fill=FF00B0F0 | rows=[3] | cols=[43] | col_header=False | row_header=False | metadata=True
Cell AS4 | value='125' | fill=FF00B0F0 | rows=[3] | cols=[44] | col_header=False | row_header=False | metadata=True
Cell AT4 | value='409' | fill=FF00B0F0 | rows=[3] | cols=[45] | col_header=False | row_header=False | metadata=True
Cell AU4 | value='105' | fill=FF00B0F0 | rows=[3] | cols=[46] | col_header=False | row_header=False | metadata=True
Cell AV4 | value='134' | fill=FF00B0F0 | rows=[3] | cols=[47] | col_header=False | row_header=False | metadata=True
Cell AW4 | value='21' | fill=FF00B0F0 | rows=[3] | cols=[48] | col_header=False | row_header=False | metadata=True
Cell AX4 | value='43' | fill=FF00B0F0 | rows=[3] | cols=[49] | col_header=False | row_header=False | metadata=True
Cell AY4 | value='35' | fill=FF00B0F0 | rows=[3] | cols=[50] | col_header=False | row_header=False | metadata=True
Cell AZ4 | value='137' | fill=FF00B0F0 | rows=[3] | cols=[51] | col_header=False | row_header=False | metadata=True
Cell BA4 | value='55' | fill=FF00B0F0 | rows=[3] | cols=[52] | col_header=False | row_header=False | metadata=True
Cell BB4 | value='180' | fill=FF00B0F0 | rows=[3] | cols=[53] | col_header=False | row_header=False | metadata=True
Cell BC4 | value='116' | fill=FF00B0F0 | rows=[3] | cols=[54] | col_header=False | row_header=False | metadata=True
Cell BD4 | value='190' | fill=FF00B0F0 | rows=[3] | cols=[55] | col_header=False | row_header=False | metadata=True
Cell BE4 | value='110' | fill=FF00B0F0 | rows=[3] | cols=[56] | col_header=False | row_header=False | metadata=True
Cell BF4 | value='44' | fill=FF00B0F0 | rows=[3] | cols=[57] | col_header=False | row_header=False | metadata=True
Cell BG4 | value='13' | fill=FF00B0F0 | rows=[3] | cols=[58] | col_header=False | row_header=False | metadata=True
Cell A5 | value='Weighted total' | fill=FF00B0F0 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B5 | value='27838' | fill=FF00B0F0 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C5 | value='13275' | fill=FF00B0F0 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D5 | value='14563' | fill=FF00B0F0 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E5 | value='9047' | fill=FF00B0F0 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F5 | value='3678' | fill=FF00B0F0 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G5 | value='2217' | fill=FF00B0F0 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H5 | value='5222' | fill=FF00B0F0 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I5 | value='1719' | fill=FF00B0F0 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J5 | value='932' | fill=FF00B0F0 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K5 | value='1089' | fill=FF00B0F0 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L5 | value='915' | fill=FF00B0F0 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M5 | value='515' | fill=FF00B0F0 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N5 | value='1835' | fill=FF00B0F0 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O5 | value='669' | fill=FF00B0F0 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=True
Cell P5 | value='2541' | fill=FF00B0F0 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=True
Cell Q5 | value='3896' | fill=FF00B0F0 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=True
Cell R5 | value='515' | fill=FF00B0F0 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=True
Cell S5 | value='309' | fill=FF00B0F0 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=True
Cell T5 | value='1167' | fill=FF00B0F0 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=True
Cell U5 | value='413' | fill=FF00B0F0 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=True
Cell V5 | value='1206' | fill=FF00B0F0 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=True
Cell W5 | value='1504' | fill=FF00B0F0 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=True
Cell X5 | value='555' | fill=FF00B0F0 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=True
Cell Y5 | value='83' | fill=FF00B0F0 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=True
Cell Z5 | value='428' | fill=FF00B0F0 | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=True
Cell AA5 | value='659' | fill=FF00B0F0 | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=True
Cell AB5 | value='1205' | fill=FF00B0F0 | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=True
Cell AC5 | value='540' | fill=FF00B0F0 | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=True
Cell AD5 | value='2357' | fill=FF00B0F0 | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=True
Cell AE5 | value='1121' | fill=FF00B0F0 | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=True
Cell AF5 | value='339' | fill=FF00B0F0 | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=True
Cell AG5 | value='1380' | fill=FF00B0F0 | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=True
Cell AH5 | value='175' | fill=FF00B0F0 | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=True
Cell AI5 | value='403' | fill=FF00B0F0 | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=True
Cell AJ5 | value='295' | fill=FF00B0F0 | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=True
Cell AK5 | value='60' | fill=FF00B0F0 | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=True
Cell AL5 | value='463' | fill=FF00B0F0 | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=True
Cell AM5 | value='198' | fill=FF00B0F0 | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=True
Cell AN5 | value='428' | fill=FF00B0F0 | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=True
Cell AO5 | value='164' | fill=FF00B0F0 | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=True
Cell AP5 | value='29' | fill=FF00B0F0 | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=True
Cell AQ5 | value='26' | fill=FF00B0F0 | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=True
Cell AR5 | value='622' | fill=FF00B0F0 | rows=[4] | cols=[43] | col_header=False | row_header=False | metadata=True
Cell AS5 | value='268' | fill=FF00B0F0 | rows=[4] | cols=[44] | col_header=False | row_header=False | metadata=True
Cell AT5 | value='1048' | fill=FF00B0F0 | rows=[4] | cols=[45] | col_header=False | row_header=False | metadata=True
Cell AU5 | value='217' | fill=FF00B0F0 | rows=[4] | cols=[46] | col_header=False | row_header=False | metadata=True
Cell AV5 | value='430' | fill=FF00B0F0 | rows=[4] | cols=[47] | col_header=False | row_header=False | metadata=True
Cell AW5 | value='59' | fill=FF00B0F0 | rows=[4] | cols=[48] | col_header=False | row_header=False | metadata=True
Cell AX5 | value='105' | fill=FF00B0F0 | rows=[4] | cols=[49] | col_header=False | row_header=False | metadata=True
Cell AY5 | value='134' | fill=FF00B0F0 | rows=[4] | cols=[50] | col_header=False | row_header=False | metadata=True
Cell AZ5 | value='450' | fill=FF00B0F0 | rows=[4] | cols=[51] | col_header=False | row_header=False | metadata=True
Cell BA5 | value='189' | fill=FF00B0F0 | rows=[4] | cols=[52] | col_header=False | row_header=False | metadata=True
Cell BB5 | value='367' | fill=FF00B0F0 | rows=[4] | cols=[53] | col_header=False | row_header=False | metadata=True
