=== economy-table87.xlsx ===
Cell A1 | value='Consumer Price Index item' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell D3 | value='8.7' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='-3.1' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='2.4' | fill=00000000 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='8.2' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='-2.6' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='2.2' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='7.3' | fill=00000000 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='-2.1' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='2.1' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='6.7' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='-0.9' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='2.9' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='6.8' | fill=00000000 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='-2' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='1.2' | fill=00000000 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='4.7' | fill=00000000 | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='-1.4' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='1.3' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='4.2' | fill=00000000 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='0.5' | fill=00000000 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='2.9' | fill=00000000 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='5.3' | fill=00000000 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='0.6' | fill=00000000 | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='2.5' | fill=00000000 | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='4.5' | fill=00000000 | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC3 | value='0.7' | fill=00000000 | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD3 | value='2.2' | fill=00000000 | rows=[2] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE3 | value='3.8' | fill=00000000 | rows=[2] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF3 | value='1' | fill=00000000 | rows=[2] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='2.2' | fill=00000000 | rows=[2] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH3 | value='3.5' | fill=00000000 | rows=[2] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI3 | value='1.2' | fill=00000000 | rows=[2] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ3 | value='2.2' | fill=00000000 | rows=[2] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK3 | value='3.2' | fill=00000000 | rows=[2] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL3 | value='1.5' | fill=00000000 | rows=[2] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM3 | value='2.2' | fill=00000000 | rows=[2] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN3 | value='2.9' | fill=00000000 | rows=[2] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO3 | value='1.7' | fill=00000000 | rows=[2] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP3 | value='2.3' | fill=00000000 | rows=[2] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ3 | value='2.8' | fill=00000000 | rows=[2] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR3 | value='1.8' | fill=00000000 | rows=[2] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS3 | value='2.2' | fill=00000000 | rows=[2] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT3 | value='2.6' | fill=00000000 | rows=[2] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU3 | value='2.1' | fill=00000000 | rows=[2] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV3 | value='2.3' | fill=00000000 | rows=[2] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW3 | value='2.6' | fill=00000000 | rows=[2] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Food away from home' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='1.7' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='4.5' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='7.3' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1.5' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='4.2' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='7' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='1.9' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='4.3' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='6.8' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='2.2' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='4.4' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='6.7' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='2.3' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='4.3' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='6.3' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='3.2' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='4.9' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='6.6' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='3.1' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='4.7' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='6.2' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='3.7' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='5' | fill=00000000 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='6.3' | fill=00000000 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='2.9' | fill=00000000 | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='4.1' | fill=00000000 | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='5.2' | fill=00000000 | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='3.3' | fill=00000000 | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='4.2' | fill=00000000 | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='5.1' | fill=00000000 | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='3.4' | fill=00000000 | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='4.2' | fill=00000000 | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH5 | value='4.9' | fill=00000000 | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='3.6' | fill=00000000 | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='4.2' | fill=00000000 | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK5 | value='4.8' | fill=00000000 | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='3.8' | fill=00000000 | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM5 | value='4.3' | fill=00000000 | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN5 | value='4.7' | fill=00000000 | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='3.8' | fill=00000000 | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP5 | value='4.1' | fill=00000000 | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ5 | value='4.5' | fill=00000000 | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='3.9' | fill=00000000 | rows=[4] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS5 | value='4.1' | fill=00000000 | rows=[4] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT5 | value='4.4' | fill=00000000 | rows=[4] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU5 | value='3.9' | fill=00000000 | rows=[4] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV5 | value='4.1' | fill=00000000 | rows=[4] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW5 | value='4.3' | fill=00000000 | rows=[4] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Food at home' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='-7.9' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='10.8' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='-6.6' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='1.6' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='10.4' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='-5.5' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='1.6' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='9.5' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='-5.5' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='1' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='7.8' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='-4' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='1.6' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='7.8' | fill=00000000 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='-5.3' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='-0.6' | fill=00000000 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='4.6' | fill=00000000 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='-4.5' | fill=00000000 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='-0.4' | fill=00000000 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='4' | fill=00000000 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='-1.8' | fill=00000000 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='1.6' | fill=00000000 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='5.3' | fill=00000000 | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='-1.3' | fill=00000000 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='1.6' | fill=00000000 | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='4.5' | fill=00000000 | rows=[6] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC7 | value='-1.1' | fill=00000000 | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='1.2' | fill=00000000 | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='3.7' | fill=00000000 | rows=[6] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF7 | value='-0.7' | fill=00000000 | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='1.2' | fill=00000000 | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH7 | value='3.1' | fill=00000000 | rows=[6] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI7 | value='-0.4' | fill=00000000 | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='1' | fill=00000000 | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK7 | value='2.5' | fill=00000000 | rows=[6] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL7 | value='-0.1' | fill=00000000 | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='1' | fill=00000000 | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='2.1' | fill=00000000 | rows=[6] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO7 | value='0.4' | fill=00000000 | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP7 | value='1.2' | fill=00000000 | rows=[6] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ7 | value='2' | fill=00000000 | rows=[6] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR7 | value='0.5' | fill=00000000 | rows=[6] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS7 | value='1.1' | fill=00000000 | rows=[6] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT7 | value='1.6' | fill=00000000 | rows=[6] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU7 | value='0.9' | fill=00000000 | rows=[6] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV7 | value='1.2' | fill=00000000 | rows=[6] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW7 | value='1.6' | fill=00000000 | rows=[6] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Meats, poultry, and fish' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='-5.5' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='2.9' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='12.2' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='-5.9' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='2' | fill=00000000 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='10.7' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='-3.7' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='3.6' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='11.9' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='-3' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='3.9' | fill=00000000 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='11.7' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='-1.8' | fill=00000000 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='4.6' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='11.6' | fill=00000000 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='-4.2' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='1.5' | fill=00000000 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='7.8' | fill=00000000 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='-3.1' | fill=00000000 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='2' | fill=00000000 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='7.6' | fill=00000000 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='-2.8' | fill=00000000 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='1.8' | fill=00000000 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='6.8' | fill=00000000 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='-3.5' | fill=00000000 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='0.5' | fill=00000000 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='4.7' | fill=00000000 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
