=== society-table46.xlsx ===
Cell A1 | value='Selected' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell J6 | value='NA' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A7 | value='x' | fill=FF00B0F0 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B7 | value='13' | fill=5 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='18' | fill=5 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Syphilis detection and treatment' | fill=FF00B050 | rows=[6] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H7 | value='0' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='-1.07190815946173' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B8 | value='14' | fill=5 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='19' | fill=5 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E8 | value='Calcium supplementation' | fill=FF00B050 | rows=[7] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H8 | value='0' | fill=00000000 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='NA' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A9 | value='x' | fill=FF00B0F0 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B9 | value='15' | fill=5 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='20' | fill=5 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Iron supplementation in pregnancy' | fill=FF00B050 | rows=[8] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H9 | value='0' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='NA' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A10 | value='x' | fill=FF00B0F0 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B10 | value='16' | fill=5 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='21' | fill=5 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Multiple micronutrient supplementation in pregnancy' | fill=FF00B050 | rows=[9] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H10 | value='0' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='0' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='NA' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A11 | value='x' | fill=FF00B0F0 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B11 | value='17' | fill=5 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='22' | fill=5 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Balanced energy supplementation' | fill=FF00B050 | rows=[10] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H11 | value='0' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='NA' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A12 | value='x' | fill=FF00B0F0 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B12 | value='18' | fill=5 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='23' | fill=5 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Hypertensive disorder case management' | fill=FF00B050 | rows=[11] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H12 | value='3' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='-0.0789726375461866' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='37.98784101956163' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A13 | value='x' | fill=FF00B0F0 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B13 | value='19' | fill=5 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='24' | fill=5 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Diabetes case management' | fill=FF00B050 | rows=[12] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H13 | value='0' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='-0.0923530440387162' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A14 | value='x' | fill=FF00B0F0 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B14 | value='20' | fill=5 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='25' | fill=5 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Malaria case management' | fill=FF00B050 | rows=[13] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H14 | value='1' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='-0.0971032509471497' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='10.298316382262723' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A15 | value='x' | fill=FF00B0F0 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B15 | value='21' | fill=5 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='26' | fill=5 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E15 | value='MgSO4 management of pre-eclampsia' | fill=FF00B050 | rows=[14] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H15 | value='7' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='-0.00672425527247072' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='1041.0074746356204' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A16 | value='x' | fill=FF00B0F0 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B16 | value='22' | fill=2 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='27' | fill=2 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='Delivery Care' | fill=FF00B050 | rows=[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E16 | value='Health Facility Delivery' | fill=FF00B050 | rows=[15] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H16 | value='0' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='-2.62036064919542' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A17 | value='x' | fill=FF00B0F0 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B17 | value='23' | fill=2 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='28' | fill=2 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E17 | value='Clean birth environment' | fill=FF00B050 | rows=[16] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H17 | value='39' | fill=7 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='-0.0998727275391478' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='390.4969951352625' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A18 | value='x' | fill=FF00B0F0 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B18 | value='24' | fill=2 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='32' | fill=2 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E18 | value='Manual removal of placenta' | fill=FF00B050 | rows=[17] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H18 | value='2' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='-0.0186834983899851' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='107.04633352135264' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A19 | value='x' | fill=FF00B0F0 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B19 | value='25' | fill=2 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='33' | fill=2 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E19 | value='MgSO4 management of eclampsia' | fill=FF00B050 | rows=[18] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H19 | value='0' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='-0.0113076218915283' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='0' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A20 | value='x' | fill=FF00B0F0 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B20 | value='26' | fill=2 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='34' | fill=2 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E20 | value='Antibiotics for preterm or prolonged PROM' | fill=FF00B050 | rows=[19] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H20 | value='22' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='-0.186001936825282' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='118.27833825550621' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A21 | value='x' | fill=FF00B0F0 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B21 | value='27' | fill=2 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='35' | fill=2 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E21 | value='Parenteral administration of antibiotics' | fill=FF00B050 | rows=[20] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H21 | value='24' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='-0.474920119444189' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='50.53481420851954' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A22 | value='x' | fill=FF00B0F0 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B22 | value='28' | fill=2 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='36' | fill=2 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E22 | value='Assisted vaginal delivery' | fill=FF00B050 | rows=[21] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H22 | value='26' | fill=7 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='-0.0700631189624443' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='371.0939562073549' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A23 | value='x' | fill=FF00B0F0 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B23 | value='29' | fill=2 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='38' | fill=2 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E23 | value='Active management of third stage of labor (AMTSL)' | fill=FF00B050 | rows=[22] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H23 | value='27' | fill=7 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='-1.22835940596864' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='21.980537511094948' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A24 | value='x' | fill=FF00B0F0 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B24 | value='30' | fill=2 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='39' | fill=2 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E24 | value='Removal of retained products of conception' | fill=FF00B050 | rows=[23] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H24 | value='2' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='-0.00934174919499257' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='214.0926670427048' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A25 | value='x' | fill=FF00B0F0 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B25 | value='31' | fill=2 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='40' | fill=2 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=FF00B050 | rows=[24] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H25 | value='0' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='-0.00133275794377618' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='0' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A26 | value='x' | fill=FF00B0F0 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B26 | value='32' | fill=2 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='41' | fill=2 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E26 | value='Antenatal corticosteroids for preterm labor' | fill=FF00B050 | rows=[25] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H26 | value='0' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='0' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='NA' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A27 | value='x' | fill=FF00B0F0 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B27 | value='33' | fill=2 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='65' | fill=2 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Maternal sepsis case management' | fill=FF00B050 | rows=[26] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H27 | value='0' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='0' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='NA' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B28 | value='34' | fill=2 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='10' | fill=2 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Safe abortion services' | fill=FF00B050 | rows=[27] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H28 | value='1' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='0' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='NA' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B29 | value='35' | fill=2 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='11' | fill=2 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Post abortion case management' | fill=FF00B050 | rows=[28] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H29 | value='0' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='0' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='NA' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A30 | value='x' | fill=FF00B0F0 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B30 | value='36' | fill=2 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='42' | fill=2 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Cesarean delivery' | fill=FF00B050 | rows=[29] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H30 | value='49' | fill=7 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='-0.490128430753967' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='99.97379651007606' | fill=00000000 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A31 | value='x' | fill=FF00B0F0 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B31 | value='37' | fill=2 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='43' | fill=2 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Blood transfusion' | fill=FF00B050 | rows=[30] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H31 | value='0' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='0' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='NA' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell B32 | value='38' | fill=2 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='12' | fill=2 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E32 | value='Ectopic pregnancy case management' | fill=FF00B050 | rows=[31] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H32 | value='0' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='0' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='NA' | fill=00000000 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A33 | value='x' | fill=FF00B0F0 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B33 | value='39' | fill=9 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='29' | fill=9 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='Newborn Care' | fill=FF00B050 | rows=[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E33 | value='Immediate drying and additional stimulation' | fill=FF00B050 | rows=[32] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H33 | value='209' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='-4.41257430615443' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='47.36464147663137' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A34 | value='x' | fill=FF00B0F0 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B34 | value='40' | fill=9 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='30' | fill=9 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E34 | value='Thermal protection' | fill=FF00B050 | rows=[33] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H34 | value='350' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='-0.311809319278579' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='1122.4808828991424' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A35 | value='x' | fill=FF00B0F0 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B35 | value='41' | fill=9 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='31' | fill=9 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E35 | value='Clean cord care' | fill=FF00B050 | rows=[34] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H35 | value='290' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='-2.30001771282997' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='126.0859855045118' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A36 | value='x' | fill=FF00B0F0 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B36 | value='42' | fill=9 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='37' | fill=9 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E36 | value='Neonatal resuscitation' | fill=FF00B050 | rows=[35] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell H36 | value='237' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
