=== transport-table06.xlsx ===
Cell C1 | value='Key services' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17] | col_header=True | row_header=False | metadata=False
Cell P3 | value='Rural3' | fill=FFFFFF00 | rows=[2] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q3 | value='Urban3' | fill=FFFFFF00 | rows=[2] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R3 | value='Rural3' | fill=FFFFFF00 | rows=[2] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell A4 | value='Number of people with access within lower threshold' | fill=FFFFFF00 | rows=[3] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A5 | value='2007' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='Public Transport / Walking' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='29299300' | fill=9 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='5675000' | fill=9 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='2721000' | fill=9 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='557100' | fill=9 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='2236700' | fill=9 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='349300' | fill=9 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='2068700' | fill=9 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='341400' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='16096300' | fill=9 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='2752500' | fill=9 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='14283200' | fill=9 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='1963600' | fill=9 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='16764100' | fill=9 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='3297500' | fill=9 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='..' | fill=9 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='..' | fill=9 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Cycle' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='29690300' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='5679200' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='2751100' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='583100' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2399200' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='365800' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='2143200' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='346700' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='16991000' | fill=9 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='2751800' | fill=9 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='16305600' | fill=9 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='2128500' | fill=9 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='17033600' | fill=9 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='3156000' | fill=9 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='..' | fill=9 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='..' | fill=9 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Car' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='29720100' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='7166200' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2751100' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='608500' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='2402700' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='545800' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='2161500' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='480000' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='17039700' | fill=9 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='4026700' | fill=9 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='17039700' | fill=9 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='4027100' | fill=9 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='17039700' | fill=9 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='4026700' | fill=9 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='..' | fill=9 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='..' | fill=9 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A8 | value='2008' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='Public Transport / Walking' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='29929800' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='6383100' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='2687900' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='550300' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='2188400' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='337000' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='2089900' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='355500' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='16071200' | fill=9 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2739800' | fill=9 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='14211200' | fill=9 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='1958200' | fill=9 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='16764600' | fill=9 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='3287100' | fill=9 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='..' | fill=9 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='..' | fill=9 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Cycle' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='30171200' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='6198900' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='2718400' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='575600' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='2361100' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='359200' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='2175300' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='360100' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='16984900' | fill=9 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='2751900' | fill=9 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='16297500' | fill=9 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='2128300' | fill=9 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='17029200' | fill=9 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='3161100' | fill=9 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='..' | fill=9 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='..' | fill=9 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Car' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='30181300' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='7285400' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='2718400' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='600800' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='2366700' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='538900' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='2196600' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='501300' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='17033600' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='4027100' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='17033600' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='4027200' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='17033600' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='4026700' | fill=9 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='..' | fill=9 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='..' | fill=9 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A11 | value='2009' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='Public Transport / Walking' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='30206100' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='5545200' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='2675200' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='482000' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='2196300' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='300100' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='2095100' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='304400' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='17352700' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='3027700' | fill=9 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='14145600' | fill=9 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='1624100' | fill=9 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='17710100' | fill=9 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='3124700' | fill=9 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='12292600' | fill=9 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='1004100' | fill=9 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Cycle' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='30417500' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='6144900' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='2697800' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='564500' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2339900' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='350700' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='2159900' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='354000' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='17882400' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='3339900' | fill=9 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='16302800' | fill=9 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='1824200' | fill=9 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='17920000' | fill=9 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='3293200' | fill=9 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='15608900' | fill=9 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='905600' | fill=9 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Car' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='30429000' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='7334500' | fill=9 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='2697800' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='590900' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='2342600' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='533300' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='2188600' | fill=9 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='506600' | fill=9 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='17929400' | fill=9 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='4273000' | fill=9 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='17929400' | fill=9 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='4271100' | fill=9 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='17929400' | fill=9 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='4271700' | fill=9 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='17929400' | fill=9 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='4171600' | fill=9 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A14 | value='2010' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='Public Transport / Walking' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='30355800' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='6145800' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='2669100' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='535300' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='2123500' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='323500' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='2076000' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='342200' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='17255800' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='3363200' | fill=9 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='13059800' | fill=9 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='1618700' | fill=9 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='17644800' | fill=9 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='3503000' | fill=9 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='11672400' | fill=9 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='1182100' | fill=9 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Cycle' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='30720500' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='6148700' | fill=9 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='2704300' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='567500' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='2320800' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='352200' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='2166800' | fill=9 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='359800' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='17904100' | fill=9 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='3467100' | fill=9 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='16319700' | fill=9 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='1873900' | fill=9 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='17908900' | fill=9 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='3385800' | fill=9 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='16146300' | fill=9 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='1007200' | fill=9 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Car' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='30724400' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='7323700' | fill=9 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='2704300' | fill=9 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='589700' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='2322500' | fill=9 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='532500' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='2184900' | fill=9 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='498500' | fill=9 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='17911300' | fill=9 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='4240400' | fill=9 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='17911300' | fill=9 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='4234600' | fill=9 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='17911300' | fill=9 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='4237700' | fill=9 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='17911300' | fill=9 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='4131400' | fill=9 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Car (new method)4' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='30696100' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='7312200' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='2702200' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='589500' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='2320900' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='531500' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='2183300' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='497500' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='17895800' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='4231400' | fill=9 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='17872300' | fill=9 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='4190700' | fill=9 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='17895800' | fill=9 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='4227800' | fill=9 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='17798900' | fill=9 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='3762800' | fill=9 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A18 | value='2011' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='Public Transport / Walking' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='29628200' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='5938800' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='2661100' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='525200' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='2097700' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
