=== society-table08.xlsx ===
Cell A1 | value='Year' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell I14 | value='49.1' | fill=FF00B0F0 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A15 | value='1986' | fill=FF00B050 | rows=[14] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='4269184' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='241198' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='5.6' | fill=FF00B0F0 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F15 | value='2010458' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='47.1' | fill=FF00B0F0 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H15 | value='2017528' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='47.3' | fill=FF00B0F0 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A16 | value='1987' | fill=FF00B050 | rows=[15] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='4384999' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='250902' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='5.7' | fill=FF00B0F0 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F16 | value='2118710' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='48.3' | fill=FF00B0F0 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H16 | value='2015387' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='46' | fill=FF00B0F0 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A17 | value='1988' | fill=FF00B050 | rows=[16] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='4463869' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='255135' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='5.7' | fill=FF00B0F0 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F17 | value='2202714' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='49.3' | fill=FF00B0F0 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H17 | value='2006020' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='44.9' | fill=FF00B0F0 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A18 | value='1989' | fill=FF00B050 | rows=[17] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='4593059' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='264890' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='5.8' | fill=FF00B0F0 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F18 | value='2301926' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='50.1' | fill=FF00B0F0 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H18 | value='2026243' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='44.1' | fill=FF00B0F0 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A19 | value='1990' | fill=FF00B050 | rows=[18] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='4817127' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='308589' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='6.4' | fill=FF00B0F0 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F19 | value='2449897' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='50.9' | fill=FF00B0F0 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H19 | value='2058641' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='42.7' | fill=FF00B0F0 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A20 | value='1991' | fill=FF00B050 | rows=[19] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C20 | value='5118470' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='397162' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='7.8' | fill=FF00B0F0 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F20 | value='2641524' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='51.6' | fill=FF00B0F0 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H20 | value='2079784' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='40.6' | fill=FF00B0F0 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A21 | value='1992' | fill=FF00B050 | rows=[20] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C21 | value='5566189' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='556470' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='10' | fill=FF00B0F0 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F21 | value='2910016' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='52.3' | fill=FF00B0F0 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H21 | value='2099703' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='37.7' | fill=FF00B0F0 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A22 | value='1993' | fill=FF00B050 | rows=[21] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='5984330' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='722678' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='12.1' | fill=FF00B0F0 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F22 | value='3148413' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='52.6' | fill=FF00B0F0 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H22 | value='2113239' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='35.3' | fill=FF00B0F0 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A23 | value='1994' | fill=FF00B050 | rows=[22] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='6295786' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='841474' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='13.4' | fill=FF00B0F0 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F23 | value='3335255' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='53' | fill=FF00B0F0 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H23 | value='2119057' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='33.7' | fill=FF00B0F0 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A24 | value='1995' | fill=FF00B050 | rows=[23] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='6514134' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='917048' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='14.1' | fill=FF00B0F0 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F24 | value='3482256' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='53.5' | fill=FF00B0F0 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H24 | value='2114830' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='32.5' | fill=FF00B0F0 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A25 | value='1996' | fill=FF00B050 | rows=[24] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='6613718' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='955174' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='14.4' | fill=FF00B0F0 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F25 | value='3568393' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='54' | fill=FF00B0F0 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H25 | value='2090151' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='31.6' | fill=FF00B0F0 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A26 | value='1997' | fill=FF00B050 | rows=[25] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='6494985' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='879828' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='13.5' | fill=FF00B0F0 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F26 | value='3561625' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='54.8' | fill=FF00B0F0 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H26 | value='2053532' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='31.6' | fill=FF00B0F0 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A27 | value='1998' | fill=FF00B050 | rows=[26] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='6566069' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='887066' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='13.5' | fill=FF00B0F0 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F27 | value='3646020' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='55.5' | fill=FF00B0F0 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H27 | value='2032983' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='31' | fill=FF00B0F0 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A28 | value='1999' | fill=FF00B050 | rows=[27] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='6556634' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='847063' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='12.9' | fill=FF00B0F0 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F28 | value='3690994' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='56.3' | fill=FF00B0F0 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H28 | value='2018577' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='30.8' | fill=FF00B0F0 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A29 | value='2000' | fill=FF00B050 | rows=[28] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='6601686' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='846784' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='12.8' | fill=FF00B0F0 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F29 | value='3744038' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='56.7' | fill=FF00B0F0 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H29 | value='2010864' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='30.5' | fill=FF00B0F0 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A30 | value='2001' | fill=FF00B050 | rows=[29] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='6688489' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='881836' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='13.2' | fill=FF00B0F0 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F30 | value='3811494' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='57' | fill=FF00B0F0 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H30 | value='1995159' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='29.8' | fill=FF00B0F0 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A31 | value='2002' | fill=FF00B050 | rows=[30] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='6787857' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='914821' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='13.5' | fill=FF00B0F0 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F31 | value='3877752' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='57.1' | fill=FF00B0F0 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H31 | value='1995284' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='29.4' | fill=FF00B0F0 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A32 | value='2003' | fill=FF00B050 | rows=[31] | cols=[0, 1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='6902364' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='959379' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='13.9' | fill=FF00B0F0 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F32 | value='3953248' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
