=== science-table18.xlsx ===
Cell A1 | value='Time = 15 min' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell G9 | value='ROI 4' | fill=FFFFFF00 | rows=[8] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B10 | value='M0' | fill=FFFFFF00 | rows=[9] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C10 | value='IFN-y' | fill=FFFFFF00 | rows=[9] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D10 | value='LPS' | fill=FFFFFF00 | rows=[9] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E10 | value='M2' | fill=FFFFFF00 | rows=[9] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H10 | value='M0' | fill=FFFFFF00 | rows=[9] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I10 | value='IFN-y' | fill=FFFFFF00 | rows=[9] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J10 | value='LPS' | fill=FFFFFF00 | rows=[9] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K10 | value='M2' | fill=FFFFFF00 | rows=[9] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A11 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='1' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='23' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='19' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='11' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G11 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[10] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H11 | value='8' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='120' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='42' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='9' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='0' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='17' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='2' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[11] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H12 | value='5' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='60' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='5' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='4' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='0' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='68' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='4' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='0' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G13 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[12] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H13 | value='43' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='220' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='28' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='8' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A14 | value='% Phagocytosis' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='0' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='73.9130434782609' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='10.5263157894737' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='0' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='% Phagocytosis' | fill=FF00B050 | rows=[13] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H14 | value='62.5' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='50' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='11.9047619047619' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='44.4444444444444' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A16 | value='ROI 5' | fill=FFFFFF00 | rows=[15] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G16 | value='ROI 6' | fill=FFFFFF00 | rows=[15] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B17 | value='M0' | fill=FFFFFF00 | rows=[16] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C17 | value='IFN-y' | fill=FFFFFF00 | rows=[16] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D17 | value='LPS' | fill=FFFFFF00 | rows=[16] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E17 | value='M2' | fill=FFFFFF00 | rows=[16] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H17 | value='M0' | fill=FFFFFF00 | rows=[16] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I17 | value='IFN-y' | fill=FFFFFF00 | rows=[16] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J17 | value='LPS' | fill=FFFFFF00 | rows=[16] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K17 | value='M2' | fill=FFFFFF00 | rows=[16] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A18 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='7' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='37' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='34' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='4' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G18 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[17] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H18 | value='0' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='27' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='45' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='8' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='6' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='19' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='0' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='1' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G19 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[18] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H19 | value='0' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='24' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='5' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='2' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='41' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='70' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='0' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='1' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G20 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[19] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H20 | value='0' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='98' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='25' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='4' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A21 | value='% Phagocytosis' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='85.7142857142857' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='51.3513513513513' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='0' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='25' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G21 | value='% Phagocytosis' | fill=FF00B050 | rows=[20] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H21 | value='#DIV/0!' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='88.8888888888889' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='11.1111111111111' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='25' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Time = 30 min' | fill=FFFFFF00 | rows=[22] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A24 | value='ROI 1' | fill=FFFFFF00 | rows=[23] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G24 | value='ROI 2' | fill=FFFFFF00 | rows=[23] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B25 | value='M0' | fill=FFFFFF00 | rows=[24] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C25 | value='IFN-y' | fill=FFFFFF00 | rows=[24] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D25 | value='LPS' | fill=FFFFFF00 | rows=[24] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E25 | value='M2' | fill=FFFFFF00 | rows=[24] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H25 | value='M0' | fill=FFFFFF00 | rows=[24] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I25 | value='IFN-y' | fill=FFFFFF00 | rows=[24] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J25 | value='LPS' | fill=FFFFFF00 | rows=[24] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K25 | value='M2' | fill=FFFFFF00 | rows=[24] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A26 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='7' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='4' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='0' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='25' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G26 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[25] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H26 | value='1' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='26' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='15' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='11' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='2' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='0' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='0' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='0' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[26] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H27 | value='0' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='0' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='0' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='0' | fill=00000000 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='2' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='0' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='0' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='0' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G28 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[27] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H28 | value='0' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='0' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='0' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='0' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A29 | value='% Phagocytosis' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='28.5714285714286' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='0' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='#DIV/0!' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='0' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='% Phagocytosis' | fill=FF00B050 | rows=[28] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H29 | value='0' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='0' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='0' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='0' | fill=00000000 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A31 | value='ROI 3' | fill=FFFFFF00 | rows=[30] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=False | metadata=False
Cell G31 | value='ROI 4' | fill=FFFFFF00 | rows=[30] | cols=[6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell B32 | value='M0' | fill=FFFFFF00 | rows=[31] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C32 | value='IFN-y' | fill=FFFFFF00 | rows=[31] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D32 | value='LPS' | fill=FFFFFF00 | rows=[31] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E32 | value='M2' | fill=FFFFFF00 | rows=[31] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H32 | value='M0' | fill=FFFFFF00 | rows=[31] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I32 | value='IFN-y' | fill=FFFFFF00 | rows=[31] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J32 | value='LPS' | fill=FFFFFF00 | rows=[31] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K32 | value='M2' | fill=FFFFFF00 | rows=[31] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell A33 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='1' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='17' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='19' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='11' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G33 | value='Number of M1 per FOV' | fill=FF00B050 | rows=[32] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H33 | value='10' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='200' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='44' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='9' | fill=00000000 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='0' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='4' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='1' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='0' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G34 | value='Number of M1 phagocytosising' | fill=FF00B050 | rows=[33] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H34 | value='8' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='110' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='0' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='5' | fill=00000000 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A35 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='0' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='40' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='2' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='0' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G35 | value='Number of Engulfed Cells' | fill=FF00B050 | rows=[34] | cols=[6] | col_header=False | row_header=True | metadata=False
Cell H35 | value='38' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='450' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='0' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='13' | fill=00000000 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A36 | value='% Phagocytosis' | fill=FF00B050 | rows=[35] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B36 | value='0' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='23.5294117647059' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='5.26315789473684' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G36 | value='% Phagocytosis' | fill=FF00B050 | rows=[35] | cols=[6] | col_header=False | row_header=True | metadata=False
