=== society-table72.xlsx ===
Cell C1 | value='All Individuals receiving an adverse sanction decision' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell C9 | value='37571' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B10 | value='50-54 years of age' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='27939' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B11 | value='55-59 years of age' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='19314' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B12 | value='60 and over' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='5676' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Unknown' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='828' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Ethnicity' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='White' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='391830' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Asian or Asian British' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='33458' | fill=9 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Black or Black British' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='38562' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Mixed' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='12449' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Other/ Chinese' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='12706' | fill=9 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Unknown' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C20 | value='41778' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Gender' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='Male' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='377351' | fill=9 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Female' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='150166' | fill=9 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Unknown' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='58' | fill=9 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Disability' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='Disability - Yes' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='104200' | fill=9 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Disability - No' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='423297' | fill=9 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Unknown' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='83' | fill=9 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Regional Group' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='Central England' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='115768' | fill=9 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B31 | value='London and the Home Counties' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='115941' | fill=9 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B32 | value='North East' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='87862' | fill=9 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B33 | value='North West' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='75169' | fill=9 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Scotland' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C34 | value='48951' | fill=9 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Southern England' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C35 | value='58804' | fill=9 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Wales' | fill=FF00B050 | rows=[35] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C36 | value='25577' | fill=9 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Unknown' | fill=FF00B050 | rows=[36] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C37 | value='1168' | fill=9 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A39 | value='Lone Parent' | fill=FF00B050 | rows=[38] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B39 | value='Lone Parent - Yes' | fill=FF00B050 | rows=[38] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C39 | value='36188' | fill=9 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Lone Parent - No' | fill=FF00B050 | rows=[39] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C40 | value='493143' | fill=9 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A43 | value='Source: Decision Making and Appeals System (DMAS), via Stat-Xplore' | fill=FF00B0F0 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A45 | value='Notes' | fill=FF00B0F0 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A47 | value='Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.' | fill=FF00B0F0 | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A48 | value='Tables based on individuals show a count of how many individuals have received a sanction decision.' | fill=FF00B0F0 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A49 | value='An individual may receive more than one sanction decision in any given period.' | fill=FF00B0F0 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A50 | value='An adverse decision is a decision found against the claimant, i.e. a sanction or disallowance is applied.' | fill=FF00B0F0 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A51 | value='Users should not sum the cells in a table to obtain the overall number of individuals as an individual may appear in a' | fill=FF00B0F0 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A52 | value='table more than once.  Always use the "Total" within the table to obtain this number.' | fill=FF00B0F0 | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=True

