=== science-table43.xlsx ===
Cell A1 | value='Quantification of wild-type confetti clone sizes during estrus and diestrus used for Extended Data Figure 6b' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] | col_header=True | row_header=True | metadata=True
Cell A21 | value='6' | fill=00000000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='1' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D21 | value='56' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A22 | value='7' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='1' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D22 | value='10' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A23 | value='9' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='1' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D23 | value='10' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A24 | value='10' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='1' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D24 | value='15' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A25 | value='15' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='1' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D25 | value='20' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A26 | value='21' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='1' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D26 | value='25' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A27 | value='31' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='1' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D27 | value='26' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A28 | value='1' | fill=00000000 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='1' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D28 | value='29' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A29 | value='2' | fill=00000000 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='1' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D29 | value='31' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A30 | value='2' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='1' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D30 | value='36' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A31 | value='3' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='1' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D31 | value='42' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A32 | value='5' | fill=00000000 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='1' | fill=00000000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D32 | value='55' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A33 | value='12' | fill=00000000 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='2' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D33 | value='60' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A34 | value='12' | fill=00000000 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='2' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D34 | value='65' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A35 | value='15' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='2' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D35 | value='70' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A36 | value='20' | fill=00000000 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='2' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D36 | value='77' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A37 | value='23' | fill=00000000 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='2' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D37 | value='115' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A38 | value='31' | fill=00000000 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='2' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D38 | value='135' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A39 | value='48' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='2' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D39 | value='145' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A40 | value='50' | fill=00000000 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='2' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D40 | value='187' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A41 | value='1' | fill=00000000 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='2' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D41 | value='255' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A42 | value='1' | fill=00000000 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='2' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D42 | value='330' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A43 | value='1' | fill=00000000 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='2' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D43 | value='350' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A44 | value='1' | fill=00000000 | rows=[43] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B44 | value='2' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D44 | value='365' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A45 | value='1' | fill=00000000 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B45 | value='2' | fill=00000000 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D45 | value='423' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A46 | value='1' | fill=00000000 | rows=[45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B46 | value='2' | fill=00000000 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D46 | value='483' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A47 | value='2' | fill=00000000 | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B47 | value='2' | fill=00000000 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D47 | value='98' | fill=00000000 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A48 | value='2' | fill=00000000 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B48 | value='2' | fill=00000000 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A49 | value='2' | fill=00000000 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B49 | value='2' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A50 | value='2' | fill=00000000 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B50 | value='2' | fill=00000000 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A51 | value='2' | fill=00000000 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B51 | value='2' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A52 | value='2' | fill=00000000 | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B52 | value='2' | fill=00000000 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A53 | value='3' | fill=00000000 | rows=[52] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B53 | value='2' | fill=00000000 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A54 | value='4' | fill=00000000 | rows=[53] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B54 | value='2' | fill=00000000 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A55 | value='4' | fill=00000000 | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B55 | value='2' | fill=00000000 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A56 | value='4' | fill=00000000 | rows=[55] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B56 | value='2' | fill=00000000 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A57 | value='4' | fill=00000000 | rows=[56] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B57 | value='2' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A58 | value='5' | fill=00000000 | rows=[57] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B58 | value='2' | fill=00000000 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A59 | value='5' | fill=00000000 | rows=[58] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B59 | value='2' | fill=00000000 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A60 | value='5' | fill=00000000 | rows=[59] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B60 | value='2' | fill=00000000 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A61 | value='6' | fill=00000000 | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B61 | value='2' | fill=00000000 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A62 | value='6' | fill=00000000 | rows=[61] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B62 | value='2' | fill=00000000 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A63 | value='6' | fill=00000000 | rows=[62] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B63 | value='3' | fill=00000000 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A64 | value='7' | fill=00000000 | rows=[63] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B64 | value='3' | fill=00000000 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A65 | value='7' | fill=00000000 | rows=[64] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B65 | value='3' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A66 | value='9' | fill=00000000 | rows=[65] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B66 | value='3' | fill=00000000 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A67 | value='10' | fill=00000000 | rows=[66] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B67 | value='3' | fill=00000000 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A68 | value='11' | fill=00000000 | rows=[67] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B68 | value='3' | fill=00000000 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A69 | value='11' | fill=00000000 | rows=[68] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B69 | value='3' | fill=00000000 | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A70 | value='14' | fill=00000000 | rows=[69] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B70 | value='3' | fill=00000000 | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A71 | value='15' | fill=00000000 | rows=[70] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B71 | value='3' | fill=00000000 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A72 | value='17' | fill=00000000 | rows=[71] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B72 | value='3' | fill=00000000 | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A73 | value='24' | fill=00000000 | rows=[72] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B73 | value='3' | fill=00000000 | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A74 | value='25' | fill=00000000 | rows=[73] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B74 | value='3' | fill=00000000 | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A75 | value='25' | fill=00000000 | rows=[74] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B75 | value='3' | fill=00000000 | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A76 | value='35' | fill=00000000 | rows=[75] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B76 | value='4' | fill=00000000 | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A77 | value='42' | fill=00000000 | rows=[76] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B77 | value='4' | fill=00000000 | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A78 | value='63' | fill=00000000 | rows=[77] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B78 | value='4' | fill=00000000 | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A79 | value='63' | fill=00000000 | rows=[78] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B79 | value='4' | fill=00000000 | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A80 | value='70' | fill=00000000 | rows=[79] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B80 | value='4' | fill=00000000 | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A81 | value='1' | fill=00000000 | rows=[80] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B81 | value='5' | fill=00000000 | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A82 | value='1' | fill=00000000 | rows=[81] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B82 | value='5' | fill=00000000 | rows=[81] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A83 | value='2' | fill=00000000 | rows=[82] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B83 | value='5' | fill=00000000 | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A84 | value='2' | fill=00000000 | rows=[83] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B84 | value='5' | fill=00000000 | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A85 | value='2' | fill=00000000 | rows=[84] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B85 | value='5' | fill=00000000 | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A86 | value='2' | fill=00000000 | rows=[85] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B86 | value='5' | fill=00000000 | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A87 | value='2' | fill=00000000 | rows=[86] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B87 | value='5' | fill=00000000 | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A88 | value='2' | fill=00000000 | rows=[87] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B88 | value='6' | fill=00000000 | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A89 | value='2' | fill=00000000 | rows=[88] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B89 | value='6' | fill=00000000 | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A90 | value='2' | fill=00000000 | rows=[89] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B90 | value='6' | fill=00000000 | rows=[89] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A91 | value='2' | fill=00000000 | rows=[90] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B91 | value='6' | fill=00000000 | rows=[90] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A92 | value='2' | fill=00000000 | rows=[91] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B92 | value='7' | fill=00000000 | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A93 | value='3' | fill=00000000 | rows=[92] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B93 | value='7' | fill=00000000 | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A94 | value='3' | fill=00000000 | rows=[93] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B94 | value='7' | fill=00000000 | rows=[93] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A95 | value='3' | fill=00000000 | rows=[94] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B95 | value='8' | fill=00000000 | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A96 | value='3' | fill=00000000 | rows=[95] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B96 | value='9' | fill=00000000 | rows=[95] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A97 | value='3' | fill=00000000 | rows=[96] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B97 | value='9' | fill=00000000 | rows=[96] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A98 | value='3' | fill=00000000 | rows=[97] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B98 | value='10' | fill=00000000 | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A99 | value='3' | fill=00000000 | rows=[98] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B99 | value='11' | fill=00000000 | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A100 | value='4' | fill=00000000 | rows=[99] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B100 | value='21' | fill=00000000 | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A101 | value='4' | fill=00000000 | rows=[100] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B101 | value='25' | fill=00000000 | rows=[100] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A102 | value='4' | fill=00000000 | rows=[101] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B102 | value='33' | fill=00000000 | rows=[101] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A103 | value='4' | fill=00000000 | rows=[102] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B103 | value='2' | fill=00000000 | rows=[102] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A104 | value='4' | fill=00000000 | rows=[103] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B104 | value='6' | fill=00000000 | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A105 | value='4' | fill=00000000 | rows=[104] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B105 | value='6' | fill=00000000 | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A106 | value='4' | fill=00000000 | rows=[105] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A107 | value='4' | fill=00000000 | rows=[106] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A108 | value='4' | fill=00000000 | rows=[107] | cols=[0] | col_header=False | row_header=False | metadata=False
