=== economy-table68.xlsx ===
Cell A1 | value='Currency' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell A10 | value='CAD' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='$10 Load Card' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='BB' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='10' | fill=5 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A11 | value='CAD' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='1-Month Premium Subscription' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='BC' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='13.99' | fill=5 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A12 | value='CAD' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='3-Month Premium Subscription' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='BD' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='33.99' | fill=5 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A13 | value='CAD' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='10-Day Premium Subscription' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='BE' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='5.99' | fill=5 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Europe 1' | fill=FFFFFF00 | rows=[13] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D14 | value='EUR' | fill=FFFFFF00 | rows=[13] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A15 | value='EUR' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='$5 Load Card' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='CA' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='5' | fill=5 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A16 | value='EUR' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='$10 Load Card' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='CB' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='10' | fill=5 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A17 | value='EUR' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='1-Month Premium Subscription' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='CC' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='9.5' | fill=5 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A18 | value='EUR' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='3-Month Premium Subscription' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='CD' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='23.5' | fill=5 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A19 | value='EUR' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='10-Day Premium Subscription' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='CE' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='3.75' | fill=5 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Europe 2' | fill=FFFFFF00 | rows=[19] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D20 | value='GBP' | fill=FFFFFF00 | rows=[19] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A21 | value='GBP' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='$5 Load Card' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='DA' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='5' | fill=5 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A22 | value='GBP' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='$10 Load Card' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='DB' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='10' | fill=5 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A23 | value='GBP' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='1-Month Premium Subscription' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='DC' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='8.25' | fill=5 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A24 | value='GBP' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='3-Month Premium Subscription' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='DD' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='20.25' | fill=5 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A25 | value='GBP' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='10-Day Premium Subscription' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='DE' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='3.25' | fill=5 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Europe 3' | fill=FFFFFF00 | rows=[25] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D26 | value='CHF' | fill=FFFFFF00 | rows=[25] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A27 | value='CHF' | fill=FF00B050 | rows=[26] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B27 | value='$5 Load Card' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='EA' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='5' | fill=5 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A28 | value='CHF' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='$10 Load Card' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='EB' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='10' | fill=5 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A29 | value='CHF' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='1-Month Premium Subscription' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='EC' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='12.5' | fill=5 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A30 | value='CHF' | fill=FF00B050 | rows=[29] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B30 | value='3-Month Premium Subscription' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='ED' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='30.5' | fill=5 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A31 | value='CHF' | fill=FF00B050 | rows=[30] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B31 | value='10-Day Premium Subscription' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='EE' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='4.75' | fill=5 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Europe 4' | fill=FFFFFF00 | rows=[31] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D32 | value='DKK' | fill=FFFFFF00 | rows=[31] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A33 | value='DKK' | fill=FF00B050 | rows=[32] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B33 | value='$5 Load Card' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='FA' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='30' | fill=5 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A34 | value='DKK' | fill=FF00B050 | rows=[33] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B34 | value='$10 Load Card' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='FB' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='60' | fill=5 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A35 | value='DKK' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B35 | value='1-Month Premium Subscription' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='FC' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='71' | fill=5 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A36 | value='DKK' | fill=FF00B050 | rows=[35] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B36 | value='3-Month Premium Subscription' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='FD' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='175' | fill=5 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A37 | value='DKK' | fill=FF00B050 | rows=[36] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B37 | value='10-Day Premium Subscription' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='FE' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='27.5' | fill=5 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Europe 5' | fill=FFFFFF00 | rows=[37] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D38 | value='SEK' | fill=FFFFFF00 | rows=[37] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A39 | value='SEK' | fill=FF00B050 | rows=[38] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B39 | value='$5 Load Card' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='GA' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='40' | fill=5 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A40 | value='SEK' | fill=FF00B050 | rows=[39] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B40 | value='$10 Load Card' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='GB' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='70' | fill=5 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A41 | value='SEK' | fill=FF00B050 | rows=[40] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B41 | value='1-Month Premium Subscription' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='GC' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='87' | fill=5 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A42 | value='SEK' | fill=FF00B050 | rows=[41] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B42 | value='3-Month Premium Subscription' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='GD' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='214.25' | fill=5 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A43 | value='SEK' | fill=FF00B050 | rows=[42] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B43 | value='10-Day Premium Subscription' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='GE' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='33.5' | fill=5 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Europe 6' | fill=FFFFFF00 | rows=[43] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D44 | value='NOK' | fill=FFFFFF00 | rows=[43] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A45 | value='NOK' | fill=FF00B050 | rows=[44] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B45 | value='$5 Load Card' | fill=00000000 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='HA' | fill=00000000 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='30' | fill=5 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A46 | value='NOK' | fill=FF00B050 | rows=[45] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B46 | value='$10 Load Card' | fill=00000000 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='HB' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='60' | fill=5 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A47 | value='NOK' | fill=FF00B050 | rows=[46] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B47 | value='1-Month Premium Subscription' | fill=00000000 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='HC' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='75.5' | fill=5 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A48 | value='NOK' | fill=FF00B050 | rows=[47] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B48 | value='3-Month Premium Subscription' | fill=00000000 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='HD' | fill=00000000 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='186' | fill=5 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A49 | value='NOK' | fill=FF00B050 | rows=[48] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B49 | value='10-Day Premium Subscription' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='HE' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='29' | fill=5 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Europe 7' | fill=FFFFFF00 | rows=[49] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D50 | value='ILS' | fill=FFFFFF00 | rows=[49] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A51 | value='ILS' | fill=FF00B050 | rows=[50] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B51 | value='$5 Load Card' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='JA' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='20' | fill=5 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A52 | value='ILS' | fill=FF00B050 | rows=[51] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B52 | value='$10 Load Card' | fill=00000000 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='JB' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='40' | fill=5 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A53 | value='ILS' | fill=FF00B050 | rows=[52] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B53 | value='1-Month Premium Subscription' | fill=00000000 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='JC' | fill=00000000 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D53 | value='47' | fill=5 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A54 | value='ILS' | fill=FF00B050 | rows=[53] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B54 | value='3-Month Premium Subscription' | fill=00000000 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C54 | value='JD' | fill=00000000 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D54 | value='115.5' | fill=5 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A55 | value='ILS' | fill=FF00B050 | rows=[54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B55 | value='10-Day Premium Subscription' | fill=00000000 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='JE' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='18' | fill=5 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Middle East 1' | fill=FFFFFF00 | rows=[55] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D56 | value='SAR' | fill=FFFFFF00 | rows=[55] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A57 | value='SAR' | fill=FF00B050 | rows=[56] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B57 | value='$5 Load Card' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='KA' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='20' | fill=5 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A58 | value='SAR' | fill=FF00B050 | rows=[57] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B58 | value='$10 Load Card' | fill=00000000 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='KB' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='40' | fill=5 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A59 | value='SAR' | fill=FF00B050 | rows=[58] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B59 | value='1-Month Premium Subscription' | fill=00000000 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C59 | value='KC' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='50' | fill=5 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A60 | value='SAR' | fill=FF00B050 | rows=[59] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B60 | value='3-Month Premium Subscription' | fill=00000000 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C60 | value='KD' | fill=00000000 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D60 | value='120' | fill=5 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A61 | value='SAR' | fill=FF00B050 | rows=[60] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B61 | value='10-Day Premium Subscription' | fill=00000000 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C61 | value='KE' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D61 | value='20' | fill=5 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Middle East 2' | fill=FFFFFF00 | rows=[61] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D62 | value='AED' | fill=FFFFFF00 | rows=[61] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A63 | value='AED' | fill=FF00B050 | rows=[62] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B63 | value='$5 Load Card' | fill=00000000 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C63 | value='LA' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D63 | value='20' | fill=5 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A64 | value='AED' | fill=FF00B050 | rows=[63] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B64 | value='$10 Load Card' | fill=00000000 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C64 | value='LB' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D64 | value='40' | fill=5 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A65 | value='AED' | fill=FF00B050 | rows=[64] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B65 | value='1-Month Premium Subscription' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='LC' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D65 | value='50' | fill=5 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A66 | value='AED' | fill=FF00B050 | rows=[65] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B66 | value='3-Month Premium Subscription' | fill=00000000 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='LD' | fill=00000000 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D66 | value='120' | fill=5 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A67 | value='AED' | fill=FF00B050 | rows=[66] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B67 | value='10-Day Premium Subscription' | fill=00000000 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='LE' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D67 | value='20' | fill=5 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Japan' | fill=FFFFFF00 | rows=[67] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell D68 | value='JPY' | fill=FFFFFF00 | rows=[67] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A69 | value='JPY' | fill=FF00B050 | rows=[68] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B69 | value='$5 Load Card' | fill=00000000 | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='MA' | fill=00000000 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
