=== society-table74.xlsx ===
Cell E1 | value='Non-adverse decisions3' | fill=FFFFFF00 | rows=[0] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell H24 | value='1344' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Northumberland, Tyne and Wear' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E25 | value='241' | fill=9 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='183' | fill=9 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='981' | fill=9 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='1405' | fill=9 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B26 | value='South Yorkshire' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E26 | value='480' | fill=9 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='367' | fill=9 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='1102' | fill=9 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='1952' | fill=9 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B27 | value='West Yorkshire' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E27 | value='813' | fill=9 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='865' | fill=9 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='1228' | fill=9 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='2904' | fill=9 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A29 | value='NORTH WEST' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E29 | value='3674' | fill=9 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='3762' | fill=9 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='7569' | fill=9 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='15004' | fill=9 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Cumbria and Lancashire' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E30 | value='768' | fill=9 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='1106' | fill=9 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='1422' | fill=9 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='3296' | fill=9 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Greater Manchester Central and Cheshire' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E31 | value='831' | fill=9 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='744' | fill=9 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='2071' | fill=9 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='3638' | fill=9 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Greater Manchester East and West' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E32 | value='1248' | fill=9 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='1204' | fill=9 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='2675' | fill=9 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='5125' | fill=9 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Merseyside' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E33 | value='826' | fill=9 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='712' | fill=9 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='1401' | fill=9 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='2943' | fill=9 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A35 | value='SCOTLAND' | fill=FF00B050 | rows=[34] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E35 | value='1485' | fill=9 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='1554' | fill=9 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='2711' | fill=9 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='5752' | fill=9 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B36 | value='East and South East Scotland' | fill=FF00B050 | rows=[35] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E36 | value='332' | fill=9 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='449' | fill=9 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='732' | fill=9 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='1513' | fill=9 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Glasgow, Lanarkshire and East Dunbartonshire' | fill=FF00B050 | rows=[36] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E37 | value='544' | fill=9 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='572' | fill=9 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='922' | fill=9 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='2044' | fill=9 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B38 | value='North of Scotland' | fill=FF00B050 | rows=[37] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E38 | value='305' | fill=9 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='242' | fill=9 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='559' | fill=9 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='1110' | fill=9 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B39 | value='West of Scotland' | fill=FF00B050 | rows=[38] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E39 | value='301' | fill=9 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='289' | fill=9 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='495' | fill=9 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='1088' | fill=9 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A41 | value='SOUTHERN ENGLAND' | fill=FF00B050 | rows=[40] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E41 | value='1940' | fill=9 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='1926' | fill=9 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='4162' | fill=9 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='8027' | fill=9 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Devon, Cornwall and Somerset' | fill=FF00B050 | rows=[41] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E42 | value='295' | fill=9 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='271' | fill=9 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='516' | fill=9 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='1079' | fill=9 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Gloucester and West of England' | fill=FF00B050 | rows=[42] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E43 | value='298' | fill=9 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='203' | fill=9 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='525' | fill=9 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='1026' | fill=9 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Greater Wessex' | fill=FF00B050 | rows=[43] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E44 | value='837' | fill=9 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='1036' | fill=9 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='1713' | fill=9 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='3587' | fill=9 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Surrey and Sussex' | fill=FF00B050 | rows=[44] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E45 | value='264' | fill=9 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='172' | fill=9 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='956' | fill=9 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='1388' | fill=9 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Thames Valley' | fill=FF00B050 | rows=[45] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E46 | value='244' | fill=9 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='243' | fill=9 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G46 | value='455' | fill=9 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='936' | fill=9 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A48 | value='WALES' | fill=FF00B050 | rows=[47] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell E48 | value='1763' | fill=9 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F48 | value='1504' | fill=9 | rows=[47] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G48 | value='1858' | fill=9 | rows=[47] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H48 | value='5126' | fill=9 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B49 | value='North and Mid Wales' | fill=FF00B050 | rows=[48] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E49 | value='279' | fill=9 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F49 | value='267' | fill=9 | rows=[48] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G49 | value='319' | fill=9 | rows=[48] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H49 | value='864' | fill=9 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B50 | value='South East Wales' | fill=FF00B050 | rows=[49] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E50 | value='718' | fill=9 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F50 | value='720' | fill=9 | rows=[49] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G50 | value='730' | fill=9 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H50 | value='2168' | fill=9 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B51 | value='South West Wales' | fill=FF00B050 | rows=[50] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell E51 | value='766' | fill=9 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F51 | value='517' | fill=9 | rows=[50] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G51 | value='813' | fill=9 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='2095' | fill=9 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A53 | value='UNKNOWN' | fill=FF00B050 | rows=[52] | cols=[0, 1, 2, 3] | col_header=False | row_header=True | metadata=False
Cell E53 | value='85' | fill=9 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='55' | fill=9 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='460' | fill=9 | rows=[52] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H53 | value='600' | fill=9 | rows=[52] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A55 | value='Source: Decision Making and Appeals System (DMAS), via Stat-Xplore' | fill=FF00B0F0 | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A57 | value='Notes:' | fill=FF00B0F0 | rows=[56] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A58 | value='1    Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.' | fill=FF00B0F0 | rows=[57] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A59 | value='2    The current Jobcentre Plus structure, implemented on 5 April 2011, reduced the JobCentre Plus Geography hierarchy from 11 regions and 48 districts to 7 groups and 37 districts.' | fill=FF00B0F0 | rows=[58] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A60 | value='3    A non-adverse decision is a decision found in favour of the claimant, i.e. a sanction or disallowance is not applied.' | fill=FF00B0F0 | rows=[59] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A61 | value='4    An adverse decision is a decision found against the claimant, i.e. a sanction or disallowance is applied.' | fill=FF00B0F0 | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A62 | value='5     A cancelled decision can occur in specific circumstances e.g. the claimant stops claiming before they actually committed the sanctionable failure.' | fill=FF00B0F0 | rows=[61] | cols=[0] | col_header=False | row_header=False | metadata=True

