=== society-table09.xlsx ===
Cell A1 | value='Region and state or area' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2] | col_header=True | row_header=True | metadata=False
Cell E30 | value='533.97' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Indiana' | fill=FF00B050 | rows=[30] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D31 | value='21545' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='524.05' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Michigan' | fill=FF00B050 | rows=[31] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D32 | value='38719' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='536.79' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Minnesota' | fill=FF00B050 | rows=[32] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D33 | value='11212' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='512.17' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Ohio' | fill=FF00B050 | rows=[33] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D34 | value='43565' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='534.81' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Wisconsin' | fill=FF00B050 | rows=[34] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D35 | value='17112' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='520.94' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A36 | value='Dallas' | fill=FF00B050 | rows=[35] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D36 | value='166907' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='526.9' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Arkansas' | fill=FF00B050 | rows=[36] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D37 | value='19501' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='529.14' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Louisiana' | fill=FF00B050 | rows=[37] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D38 | value='29343' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='538.04' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B39 | value='New Mexico' | fill=FF00B050 | rows=[38] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D39 | value='7762' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='533.87' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Oklahoma' | fill=FF00B050 | rows=[39] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D40 | value='14592' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='524.64' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B41 | value='Texas' | fill=FF00B050 | rows=[40] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D41 | value='95709' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='522.81' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A42 | value='Kansas City' | fill=FF00B050 | rows=[41] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D42 | value='38228' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='516.79' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Iowa' | fill=FF00B050 | rows=[42] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D43 | value='7124' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='498.85' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Kansas' | fill=FF00B050 | rows=[43] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D44 | value='7302' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='512.29' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Missouri' | fill=FF00B050 | rows=[44] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D45 | value='20269' | fill=00000000 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='527.26' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Nebraska' | fill=FF00B050 | rows=[45] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D46 | value='3533' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='502.2' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A47 | value='Denver' | fill=FF00B050 | rows=[46] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D47 | value='17341' | fill=00000000 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='493.2' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Colorado' | fill=FF00B050 | rows=[47] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D48 | value='7161' | fill=00000000 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='497.05' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B49 | value='Montana' | fill=FF00B050 | rows=[48] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D49 | value='2091' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='514.85' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B50 | value='North Dakota' | fill=FF00B050 | rows=[49] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D50 | value='989' | fill=00000000 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='478.69' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B51 | value='South Dakota' | fill=FF00B050 | rows=[50] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D51 | value='2020' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='491.01' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B52 | value='Utah' | fill=FF00B050 | rows=[51] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D52 | value='4219' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='482.51' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B53 | value='Wyoming' | fill=FF00B050 | rows=[52] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D53 | value='861' | fill=00000000 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E53 | value='482.76' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A54 | value='San Francisco' | fill=FF00B050 | rows=[53] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D54 | value='125498' | fill=00000000 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E54 | value='615.73' | fill=00000000 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Arizona' | fill=FF00B050 | rows=[54] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D55 | value='17804' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='528.67' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B56 | value='California' | fill=FF00B050 | rows=[55] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D56 | value='99711' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='639.98' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Hawaii' | fill=FF00B050 | rows=[56] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D57 | value='1557' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='496.88' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B58 | value='Nevada' | fill=FF00B050 | rows=[57] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D58 | value='6193' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E58 | value='507' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Northern Mariana Islands' | fill=FF00B050 | rows=[58] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D59 | value='233' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='577.52' | fill=00000000 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A60 | value='Seattle' | fill=FF00B050 | rows=[59] | cols=[0, 1, 2] | col_header=False | row_header=True | metadata=False
Cell D60 | value='28989' | fill=00000000 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E60 | value='508.01' | fill=00000000 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Alaska' | fill=FF00B050 | rows=[60] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D61 | value='1155' | fill=00000000 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='475.75' | fill=00000000 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Idaho' | fill=FF00B050 | rows=[61] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D62 | value='4296' | fill=00000000 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E62 | value='494.23' | fill=00000000 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B63 | value='Oregon' | fill=FF00B050 | rows=[62] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D63 | value='8321' | fill=00000000 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='514.22' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B64 | value='Washington' | fill=FF00B050 | rows=[63] | cols=[1, 2] | col_header=False | row_header=True | metadata=False
Cell D64 | value='15217' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E64 | value='510.95' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False

