=== society-table32.xlsx ===
Cell A1 | value='d' | fill=00000000 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell I10 | value='61.857' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A11 | value='x' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='10' | fill=5 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='15' | fill=5 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F11 | value='Antenatal care (at least 4 visits)' | fill=FF00B050 | rows=[10] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G11 | value='30.1' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='23.779' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='27.58364' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell F12 | value='Routine' | fill=FF00B050 | rows=[11] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A13 | value='x' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='11' | fill=5 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='16' | fill=5 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F13 | value='TT - Tetanus toxoid vaccination' | fill=FF00B050 | rows=[12] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G13 | value='88' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='69.52' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='80.6432' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B14 | value='12' | fill=5 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='17' | fill=5 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F14 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=FF00B050 | rows=[13] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A15 | value='x' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='13' | fill=5 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='18' | fill=5 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F15 | value='Syphilis detection and treatment' | fill=FF00B050 | rows=[14] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G15 | value='16.7' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='13.193' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='15.30388' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell F16 | value='Nutritional' | fill=FF00B050 | rows=[15] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B17 | value='14' | fill=5 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='19' | fill=5 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F17 | value='Calcium supplementation' | fill=FF00B050 | rows=[16] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F18 | value='Micronutrient supplementation (iron and multiple m.)' | fill=FF00B050 | rows=[17] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A19 | value='x' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='15' | fill=5 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='20' | fill=5 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F19 | value='Iron supplementation in pregnancy' | fill=FF00B050 | rows=[18] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G19 | value='5.2' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='4.108' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='4.76528' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B20 | value='16' | fill=5 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='21' | fill=5 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F20 | value='Multiple micronutrient supplementation in pregnancy' | fill=FF00B050 | rows=[19] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B21 | value='17' | fill=5 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='22' | fill=5 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F21 | value='Balanced energy supplementation' | fill=FF00B050 | rows=[20] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F22 | value='Case Management' | fill=FF00B050 | rows=[21] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A23 | value='x' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='18' | fill=5 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='23' | fill=5 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F23 | value='Hypertensive disorder case management' | fill=FF00B050 | rows=[22] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G23 | value='7.2' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='5.688' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='6.59808' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A24 | value='x' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='19' | fill=5 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='24' | fill=5 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F24 | value='Diabetes case management' | fill=FF00B050 | rows=[23] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G24 | value='5.6' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='4.424' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='5.13184' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A25 | value='x' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='20' | fill=5 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='25' | fill=5 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F25 | value='Malaria case management' | fill=FF00B050 | rows=[24] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G25 | value='0' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='0' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A26 | value='x' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='21' | fill=5 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='26' | fill=5 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F26 | value='MgSO4 management of pre-eclampsia' | fill=FF00B050 | rows=[25] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G26 | value='14.3' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='11.297' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='13.10452' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A27 | value='x' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='22' | fill=2 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='27' | fill=2 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='Childbirth/ Delivery Care' | fill=FF00B050 | rows=[26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45] | cols=[3, 4] | col_header=False | row_header=True | metadata=False
Cell F27 | value='Health Facility Delivery' | fill=FF00B050 | rows=[26] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G27 | value='72.7' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='62.522' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='72.52552' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell F28 | value='Routine' | fill=FF00B050 | rows=[27] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A29 | value='x' | fill=00000000 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='23' | fill=2 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='28' | fill=2 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F29 | value='Clean birth environment' | fill=FF00B050 | rows=[28] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G29 | value='59.6' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='51.256' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='59.45696' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A30 | value='x' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='39' | fill=2 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='29' | fill=2 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F30 | value='Immediate drying and additional stimulation' | fill=FF00B050 | rows=[29] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G30 | value='66.6' | fill=00000000 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='55.944' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='64.89504' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A31 | value='x' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='40' | fill=2 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='30' | fill=2 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F31 | value='Thermal protection' | fill=FF00B050 | rows=[30] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G31 | value='71.9' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='60.396' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='70.05936' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A32 | value='x' | fill=00000000 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='41' | fill=2 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='31' | fill=2 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F32 | value='Clean cord care' | fill=FF00B050 | rows=[31] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G32 | value='69.4' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='58.296' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='67.62336' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A33 | value='x' | fill=00000000 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='24' | fill=2 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='32' | fill=2 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F33 | value='Manual removal of placenta' | fill=FF00B050 | rows=[32] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G33 | value='27.2' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='23.392' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='27.13472' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell F34 | value='Basic emergency care' | fill=FF00B050 | rows=[33] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A35 | value='x' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='25' | fill=2 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='33' | fill=2 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F35 | value='Parenteral administration of anti-convulsants' | fill=FF00B050 | rows=[34] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G35 | value='52' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='44.72' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='51.8752' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A36 | value='x' | fill=00000000 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='26' | fill=2 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='34' | fill=2 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F36 | value='Antibiotics for preterm or prolonged PROM' | fill=FF00B050 | rows=[35] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G36 | value='54.4' | fill=00000000 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='46.784' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='54.26944' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A37 | value='x' | fill=00000000 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='27' | fill=2 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='35' | fill=2 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F37 | value='Parenteral administration of antibiotics' | fill=FF00B050 | rows=[36] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G37 | value='54.4' | fill=00000000 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='46.784' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='54.26944' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A38 | value='x' | fill=00000000 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='28' | fill=2 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='36' | fill=2 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F38 | value='Assisted vaginal delivery' | fill=FF00B050 | rows=[37] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G38 | value='18.4' | fill=00000000 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='15.824' | fill=00000000 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='18.35584' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A39 | value='x' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='42' | fill=2 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='37' | fill=2 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F39 | value='Neonatal resuscitation' | fill=FF00B050 | rows=[38] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G39 | value='40' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='33.6' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='38.976' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A40 | value='x' | fill=00000000 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='29' | fill=2 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='38' | fill=2 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F40 | value='Parenteral administration of uterotonics' | fill=FF00B050 | rows=[39] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G40 | value='65' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='55.9' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='64.844' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A41 | value='x' | fill=00000000 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='30' | fill=2 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='39' | fill=2 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F41 | value='Removal of retained products of conception' | fill=FF00B050 | rows=[40] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G41 | value='24.1' | fill=00000000 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='20.726' | fill=00000000 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='24.04216' | fill=00000000 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A42 | value='x' | fill=00000000 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='31' | fill=2 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='40' | fill=2 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F42 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=FF00B050 | rows=[41] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G42 | value='1.3' | fill=00000000 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='1.118' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='1.29688' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B43 | value='32' | fill=2 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='41' | fill=2 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F43 | value='Antenatal corticosteroids for preterm labor' | fill=FF00B050 | rows=[42] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F44 | value='Comprehensive emergency care' | fill=FF00B050 | rows=[43] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A45 | value='x' | fill=00000000 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B45 | value='36' | fill=2 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='42' | fill=2 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F45 | value='Cesarean delivery' | fill=FF00B050 | rows=[44] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G45 | value='6.3' | fill=00000000 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='5.418' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='6.28488' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B46 | value='37' | fill=2 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='43' | fill=2 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F46 | value='Blood transfusion' | fill=FF00B050 | rows=[45] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell D47 | value='Breastfeeding see below' | fill=FFFFFF00 | rows=[46] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell D48 | value='Preventive Interventions' | fill=FF00B050 | rows=[47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59] | cols=[3, 4] | col_header=False | row_header=True | metadata=False
Cell F48 | value='Feeding and Supplements' | fill=FF00B050 | rows=[47] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B49 | value='49' | fill=8 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='45' | fill=8 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F49 | value='Complementary feeding - Education only' | fill=FF00B050 | rows=[48] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B50 | value='50' | fill=8 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='46' | fill=8 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F50 | value='Complementary feeding - Supplementary feeding + Education' | fill=FF00B050 | rows=[49] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell A51 | value='x' | fill=00000000 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B51 | value='61' | fill=8 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='47' | fill=8 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F51 | value='Vitamin A supplementation' | fill=FF00B050 | rows=[50] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell G51 | value='99' | fill=00000000 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='82.17' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='95.3172' | fill=00000000 | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B52 | value='62' | fill=8 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='48' | fill=8 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F52 | value='Zinc supplementation' | fill=FF00B050 | rows=[51] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell F53 | value='WASH' | fill=FF00B050 | rows=[52] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B54 | value='73' | fill=8 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C54 | value='49' | fill=8 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell F54 | value='Basis sanitation' | fill=FF00B050 | rows=[53] | cols=[5] | col_header=False | row_header=True | metadata=False
Cell B55 | value='74' | fill=8 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='50' | fill=8 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
