=== society-table70.xlsx ===
Cell D1 | value='JSA Sanction Decision Level' | fill=FFFFFF00 | rows=[0] | cols=[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] | col_header=True | row_header=False | metadata=False
Cell J5 | value='240' | fill=9 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='-' | fill=9 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='26' | fill=9 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='308' | fill=9 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='58' | fill=9 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='41' | fill=9 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='14' | fill=9 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='10' | fill=9 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='126' | fill=9 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='-' | fill=9 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='-' | fill=9 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='-' | fill=9 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='12' | fill=9 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='12' | fill=9 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B6 | value='18-24 years of age' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D6 | value='126646' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='201529' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='30008' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='157595' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='515772' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='23337' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='111987' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='202' | fill=9 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='9376' | fill=9 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='144900' | fill=9 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='44462' | fill=9 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='30051' | fill=9 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='12276' | fill=9 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='17957' | fill=9 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='104752' | fill=9 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='209' | fill=9 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='173' | fill=9 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='-' | fill=9 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='2798' | fill=9 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='3188' | fill=9 | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B7 | value='25-29  years of age' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D7 | value='56765' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='72076' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='10871' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='61499' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='201213' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='10381' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='42512' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='61' | fill=9 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='3570' | fill=9 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='56522' | fill=9 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='22432' | fill=9 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='12152' | fill=9 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='5205' | fill=9 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='7590' | fill=9 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='47382' | fill=9 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='83' | fill=9 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='92' | fill=9 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='-' | fill=9 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='1119' | fill=9 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='1291' | fill=9 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B8 | value='30-34  years of age' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D8 | value='41182' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='47566' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='7423' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='44439' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='140608' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='8085' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='31340' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='58' | fill=9 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2640' | fill=9 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='42118' | fill=9 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='15623' | fill=9 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='7719' | fill=9 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='3195' | fill=9 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='4935' | fill=9 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='31467' | fill=9 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='37' | fill=9 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='73' | fill=9 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='-' | fill=9 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='813' | fill=9 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='927' | fill=9 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B9 | value='35-39  years of age' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D9 | value='31077' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='33782' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='4880' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='31769' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='101510' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='6960' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='26335' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='56' | fill=9 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='2127' | fill=9 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='35488' | fill=9 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='11820' | fill=9 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='5513' | fill=9 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='2058' | fill=9 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='3491' | fill=9 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='22885' | fill=9 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='34' | fill=9 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='72' | fill=9 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='-' | fill=9 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='679' | fill=9 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='789' | fill=9 | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B10 | value='40-44 years of age' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D10 | value='29682' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='30502' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='4370' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='30530' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='95086' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='7396' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='26516' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='55' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='2121' | fill=9 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='36087' | fill=9 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='11903' | fill=9 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='5336' | fill=9 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='1895' | fill=9 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='3252' | fill=9 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='22387' | fill=9 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='23' | fill=9 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='55' | fill=9 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='-' | fill=9 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='603' | fill=9 | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='684' | fill=9 | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B11 | value='45-49 years of age' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D11 | value='25421' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='24673' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='3554' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='25998' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='79648' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='7123' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='25297' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='47' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='2082' | fill=9 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='34550' | fill=9 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='11274' | fill=9 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='4848' | fill=9 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='1700' | fill=9 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='3033' | fill=9 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='20858' | fill=9 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='30' | fill=9 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='69' | fill=9 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='-' | fill=9 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='596' | fill=9 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='694' | fill=9 | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B12 | value='50-54 years of age' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D12 | value='17353' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='16402' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='2275' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='19045' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='55087' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='5710' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='19977' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='29' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='1622' | fill=9 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='27337' | fill=9 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='9289' | fill=9 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='3865' | fill=9 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='1334' | fill=9 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='2285' | fill=9 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='16772' | fill=9 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='23' | fill=9 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='43' | fill=9 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='-' | fill=9 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='392' | fill=9 | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='458' | fill=9 | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B13 | value='55-59 years of age' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D13 | value='10433' | fill=9 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='9358' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='1332' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='11673' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='32794' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='4223' | fill=9 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='15430' | fill=9 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='17' | fill=9 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='1159' | fill=9 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='20829' | fill=9 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='6464' | fill=9 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='2527' | fill=9 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='960' | fill=9 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='1460' | fill=9 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='11416' | fill=9 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='10' | fill=9 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='45' | fill=9 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='-' | fill=9 | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='278' | fill=9 | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='335' | fill=9 | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B14 | value='60 and over' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D14 | value='2685' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='2454' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='396' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='4557' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='10095' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='1310' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='4413' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='10' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='419' | fill=9 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='6149' | fill=9 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='1984' | fill=9 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='766' | fill=9 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='362' | fill=9 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='419' | fill=9 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='3531' | fill=9 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='0' | fill=9 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='15' | fill=9 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='-' | fill=9 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='73' | fill=9 | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W14 | value='88' | fill=9 | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Unknown Age' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell D15 | value='585' | fill=9 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='625' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='124' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='679' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
