=== sport-table06.xlsx ===
Cell A1 | value='Group Stage' | fill=FFFFFF00 | rows=[0, 1] | cols=[0, 1, 2, 3, 4] | col_header=True | row_header=True | metadata=False
Cell I5 | value='Haiti' | fill=FFFFFFFF | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='0' | fill=FFFFFFCC | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='1' | fill=FFFFFFCC | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='Peru' | fill=FFFFFFFF | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A6 | value='4' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='Brazil' | fill=FFFFFFFF | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='3' | fill=FFFFFFCC | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='1' | fill=FFFFFFCC | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='Ecuador' | fill=FFFFFFFF | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G6 | value='Brazil' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I6 | value='Brazil' | fill=FFFFFFFF | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0' | fill=FFFFFFCC | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0' | fill=FFFFFFCC | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='Ecuador' | fill=FFFFFFFF | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A7 | value='5' | fill=FF00B050 | rows=[6] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Jamaica' | fill=FFFFFFFF | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='1' | fill=FFFFFFCC | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='2' | fill=FFFFFFCC | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Venezuela' | fill=FFFFFFFF | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G7 | value='Venezuela' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I7 | value='Jamaica' | fill=FFFFFFFF | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0' | fill=FFFFFFCC | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='1' | fill=FFFFFFCC | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='Venezuela' | fill=FFFFFFFF | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A8 | value='6' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='Mexico' | fill=FFFFFFFF | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='2' | fill=FFFFFFCC | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='1' | fill=FFFFFFCC | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='Uruguay' | fill=FFFFFFFF | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G8 | value='Mexico' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I8 | value='Mexico' | fill=FFFFFFFF | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='3' | fill=FFFFFFCC | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='1' | fill=FFFFFFCC | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='Uruguay' | fill=FFFFFFFF | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A9 | value='7' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='Panama' | fill=FFFFFFFF | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='1' | fill=FFFFFFCC | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='1' | fill=FFFFFFCC | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Bolivia' | fill=FFFFFFFF | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G9 | value='Tie' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I9 | value='Panama' | fill=FFFFFFFF | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='1' | fill=FFFFFFCC | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='1' | fill=FFFFFFCC | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='Bolivia' | fill=FFFFFFFF | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A10 | value='8' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='Argentina' | fill=FFFFFFFF | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='2' | fill=FFFFFFCC | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='1' | fill=FFFFFFCC | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Chile' | fill=FFFFFFFF | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G10 | value='Argentina' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I10 | value='Argentina' | fill=FFFFFFFF | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='2' | fill=FFFFFFCC | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='1' | fill=FFFFFFCC | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='Chile' | fill=FFFFFFFF | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A11 | value='9' | fill=FF00B050 | rows=[10] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='USA' | fill=FFFFFFFF | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='2' | fill=FFFFFFCC | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='0' | fill=FFFFFFCC | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Costa Rica' | fill=FFFFFFFF | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G11 | value='USA' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I11 | value='USA' | fill=FFFFFFFF | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='3' | fill=FFFFFFCC | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='1' | fill=FFFFFFCC | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='Costa Rica' | fill=FFFFFFFF | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A12 | value='10' | fill=FF00B050 | rows=[11] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B12 | value='Colombia' | fill=FFFFFFFF | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='2' | fill=FFFFFFCC | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='2' | fill=FFFFFFCC | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Paraguay' | fill=FFFFFFFF | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='Tie' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I12 | value='Colombia' | fill=FFFFFFFF | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='2' | fill=FFFFFFCC | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='2' | fill=FFFFFFCC | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='Paraguay' | fill=FFFFFFFF | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A13 | value='11' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='Brazil' | fill=FFFFFFFF | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='2' | fill=FFFFFFCC | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='0' | fill=FFFFFFCC | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Haiti' | fill=FFFFFFFF | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G13 | value='Brazil' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I13 | value='Brazil' | fill=FFFFFFFF | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='2' | fill=FFFFFFCC | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='1' | fill=FFFFFFCC | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='Haiti' | fill=FFFFFFFF | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A14 | value='12' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='Ecuador' | fill=FFFFFFFF | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='2' | fill=FFFFFFCC | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='1' | fill=FFFFFFCC | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Peru' | fill=FFFFFFFF | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='Ecuador' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I14 | value='Ecuador' | fill=FFFFFFFF | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='1' | fill=FFFFFFCC | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='1' | fill=FFFFFFCC | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='Peru' | fill=FFFFFFFF | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A15 | value='13' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='Uruguay' | fill=FFFFFFFF | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='3' | fill=FFFFFFCC | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='1' | fill=FFFFFFCC | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='Venezuela' | fill=FFFFFFFF | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G15 | value='Uruguay' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I15 | value='Uruguay' | fill=FFFFFFFF | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='3' | fill=FFFFFFCC | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='1' | fill=FFFFFFCC | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='Venezuela' | fill=FFFFFFFF | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A16 | value='14' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='Mexico' | fill=FFFFFFFF | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='2' | fill=FFFFFFCC | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='1' | fill=FFFFFFCC | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='Jamaica' | fill=FFFFFFFF | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G16 | value='Mexico' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I16 | value='Mexico' | fill=FFFFFFFF | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='2' | fill=FFFFFFCC | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='1' | fill=FFFFFFCC | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='Jamaica' | fill=FFFFFFFF | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A17 | value='15' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='Chile' | fill=FFFFFFFF | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='2' | fill=FFFFFFCC | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='1' | fill=FFFFFFCC | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='Bolivia' | fill=FFFFFFFF | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G17 | value='Chile' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I17 | value='Chile' | fill=FFFFFFFF | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='2' | fill=FFFFFFCC | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='1' | fill=FFFFFFCC | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='Bolivia' | fill=FFFFFFFF | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A18 | value='16' | fill=FF00B050 | rows=[17] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B18 | value='Argentina' | fill=FFFFFFFF | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='2' | fill=FFFFFFCC | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='0' | fill=FFFFFFCC | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='Panama' | fill=FFFFFFFF | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G18 | value='Argentina' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I18 | value='Argentina' | fill=FFFFFFFF | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='2' | fill=FFFFFFCC | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='1' | fill=FFFFFFCC | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='Panama' | fill=FFFFFFFF | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A19 | value='17' | fill=FF00B050 | rows=[18] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='Paraguay' | fill=FFFFFFFF | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='2' | fill=FFFFFFCC | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='2' | fill=FFFFFFCC | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='USA' | fill=FFFFFFFF | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G19 | value='Tie' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I19 | value='Paraguay' | fill=FFFFFFFF | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='2' | fill=FFFFFFCC | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='3' | fill=FFFFFFCC | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='USA' | fill=FFFFFFFF | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A20 | value='18' | fill=FF00B050 | rows=[19] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B20 | value='Costa Rica' | fill=FFFFFFFF | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='1' | fill=FFFFFFCC | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='2' | fill=FFFFFFCC | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='Colombia' | fill=FFFFFFFF | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G20 | value='Colombia' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I20 | value='Costa Rica' | fill=FFFFFFFF | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='1' | fill=FFFFFFCC | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='2' | fill=FFFFFFCC | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='Colombia' | fill=FFFFFFFF | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A21 | value='19' | fill=FF00B050 | rows=[20] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B21 | value='Haiti' | fill=FFFFFFFF | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='0' | fill=FFFFFFCC | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='2' | fill=FFFFFFCC | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='Ecuador' | fill=FFFFFFFF | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G21 | value='Ecuador' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I21 | value='Haiti' | fill=FFFFFFFF | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='0' | fill=FFFFFFCC | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='2' | fill=FFFFFFCC | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='Ecuador' | fill=FFFFFFFF | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A22 | value='20' | fill=FF00B050 | rows=[21] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B22 | value='Peru' | fill=FFFFFFFF | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='1' | fill=FFFFFFCC | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='2' | fill=FFFFFFCC | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='Brazil' | fill=FFFFFFFF | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G22 | value='Brazil' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I22 | value='Peru' | fill=FFFFFFFF | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='1' | fill=FFFFFFCC | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='3' | fill=FFFFFFCC | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='Brazil' | fill=FFFFFFFF | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A23 | value='21' | fill=FF00B050 | rows=[22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B23 | value='Venezuela' | fill=FFFFFFFF | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='2' | fill=FFFFFFCC | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='2' | fill=FFFFFFCC | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='Mexico' | fill=FFFFFFFF | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G23 | value='Tie' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I23 | value='Venezuela' | fill=FFFFFFFF | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='2' | fill=FFFFFFCC | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='4' | fill=FFFFFFCC | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='Mexico' | fill=FFFFFFFF | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A24 | value='22' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='Jamaica' | fill=FFFFFFFF | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='1' | fill=FFFFFFCC | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='2' | fill=FFFFFFCC | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='Uruguay' | fill=FFFFFFFF | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G24 | value='Uruguay' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I24 | value='Jamaica' | fill=FFFFFFFF | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='1' | fill=FFFFFFCC | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='2' | fill=FFFFFFCC | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='Uruguay' | fill=FFFFFFFF | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A25 | value='23' | fill=FF00B050 | rows=[24] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='Panama' | fill=FFFFFFFF | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='1' | fill=FFFFFFCC | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='1' | fill=FFFFFFCC | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Chile' | fill=FFFFFFFF | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G25 | value='Tie' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I25 | value='Panama' | fill=FFFFFFFF | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='2' | fill=FFFFFFCC | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='1' | fill=FFFFFFCC | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='Chile' | fill=FFFFFFFF | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A26 | value='24' | fill=FF00B050 | rows=[25] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B26 | value='Bolivia' | fill=FFFFFFFF | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='0' | fill=FFFFFFCC | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='2' | fill=FFFFFFCC | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='Argentina' | fill=FFFFFFFF | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G26 | value='Argentina' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I26 | value='Bolivia' | fill=FFFFFFFF | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='0' | fill=FFFFFFCC | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='2' | fill=FFFFFFCC | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
