=== health-table22.xlsx ===
Cell A1 | value='Knowledge of HST' | fill=FFFFFF00 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14] | col_header=True | row_header=True | metadata=False
Cell T3 | value='5' | fill=00000000 | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='5' | fill=00000000 | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='5' | fill=00000000 | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W3 | value='5' | fill=00000000 | rows=[2] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X3 | value='5' | fill=00000000 | rows=[2] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y3 | value='5' | fill=00000000 | rows=[2] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z3 | value='1' | fill=00000000 | rows=[2] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA3 | value='1' | fill=00000000 | rows=[2] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB3 | value='1' | fill=00000000 | rows=[2] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC3 | value='1' | fill=00000000 | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD3 | value='1' | fill=00000000 | rows=[2] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE3 | value='5' | fill=00000000 | rows=[2] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF3 | value='5' | fill=00000000 | rows=[2] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='5' | fill=00000000 | rows=[2] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH3 | value='5' | fill=00000000 | rows=[2] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI3 | value='5' | fill=00000000 | rows=[2] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ3 | value='5' | fill=00000000 | rows=[2] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK3 | value='5' | fill=00000000 | rows=[2] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL3 | value='5' | fill=00000000 | rows=[2] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM3 | value='5' | fill=00000000 | rows=[2] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN3 | value='2' | fill=00000000 | rows=[2] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO3 | value='3' | fill=00000000 | rows=[2] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP3 | value='3' | fill=00000000 | rows=[2] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ3 | value='5' | fill=00000000 | rows=[2] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR3 | value='2' | fill=00000000 | rows=[2] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS3 | value='1' | fill=00000000 | rows=[2] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT3 | value='2.46666666666667' | fill=00000000 | rows=[2] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU3 | value='3.66666666666667' | fill=00000000 | rows=[2] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV3 | value='4.33333333333333' | fill=00000000 | rows=[2] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW3 | value='1.66666666666667' | fill=00000000 | rows=[2] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX3 | value='5' | fill=00000000 | rows=[2] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A4 | value='5' | fill=00000000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='5' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='5' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='5' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='1' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='5' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='5' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='1' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='5' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='5' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='5' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='5' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='5' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='5' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='5' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='5' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='5' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='5' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='5' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='5' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='5' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='5' | fill=00000000 | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='5' | fill=00000000 | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='5' | fill=00000000 | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='1' | fill=00000000 | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='5' | fill=00000000 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='1' | fill=00000000 | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB4 | value='5' | fill=00000000 | rows=[3] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC4 | value='1' | fill=00000000 | rows=[3] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD4 | value='1' | fill=00000000 | rows=[3] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE4 | value='5' | fill=00000000 | rows=[3] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF4 | value='5' | fill=00000000 | rows=[3] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG4 | value='5' | fill=00000000 | rows=[3] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH4 | value='3' | fill=00000000 | rows=[3] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI4 | value='5' | fill=00000000 | rows=[3] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ4 | value='5' | fill=00000000 | rows=[3] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK4 | value='5' | fill=00000000 | rows=[3] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL4 | value='5' | fill=00000000 | rows=[3] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM4 | value='5' | fill=00000000 | rows=[3] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN4 | value='1' | fill=00000000 | rows=[3] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO4 | value='2' | fill=00000000 | rows=[3] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP4 | value='2' | fill=00000000 | rows=[3] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ4 | value='5' | fill=00000000 | rows=[3] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR4 | value='4' | fill=00000000 | rows=[3] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS4 | value='1' | fill=00000000 | rows=[3] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT4 | value='4.46666666666667' | fill=00000000 | rows=[3] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU4 | value='5' | fill=00000000 | rows=[3] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV4 | value='5' | fill=00000000 | rows=[3] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW4 | value='2.33333333333333' | fill=00000000 | rows=[3] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX4 | value='4.75' | fill=00000000 | rows=[3] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A5 | value='1' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='5' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='1' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='1' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='5' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='4' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='3' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='5' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='5' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='5' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='3' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='3' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='5' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='5' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='5' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='5' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='5' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='5' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='5' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='5' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='5' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='5' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='1' | fill=00000000 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='5' | fill=00000000 | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='5' | fill=00000000 | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='1' | fill=00000000 | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='5' | fill=00000000 | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='5' | fill=00000000 | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='5' | fill=00000000 | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='5' | fill=00000000 | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='5' | fill=00000000 | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='5' | fill=00000000 | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH5 | value='5' | fill=00000000 | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='5' | fill=00000000 | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='5' | fill=00000000 | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK5 | value='5' | fill=00000000 | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='5' | fill=00000000 | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM5 | value='5' | fill=00000000 | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN5 | value='2' | fill=00000000 | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='2' | fill=00000000 | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP5 | value='5' | fill=00000000 | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ5 | value='2' | fill=00000000 | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='2' | fill=00000000 | rows=[4] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS5 | value='0' | fill=00000000 | rows=[4] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT5 | value='3.46666666666667' | fill=00000000 | rows=[4] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU5 | value='5' | fill=00000000 | rows=[4] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV5 | value='4.33333333333333' | fill=00000000 | rows=[4] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW5 | value='4.33333333333333' | fill=00000000 | rows=[4] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX5 | value='5' | fill=00000000 | rows=[4] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell A6 | value='5' | fill=00000000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='5' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='5' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='5' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='1' | fill=00000000 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='5' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='1' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='5' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='5' | fill=00000000 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='5' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='3' | fill=00000000 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='3' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='5' | fill=00000000 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='5' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='5' | fill=00000000 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='5' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='5' | fill=00000000 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='5' | fill=00000000 | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='5' | fill=00000000 | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='5' | fill=00000000 | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='5' | fill=00000000 | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='4' | fill=00000000 | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='5' | fill=00000000 | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='5' | fill=00000000 | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='5' | fill=00000000 | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='1' | fill=00000000 | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='5' | fill=00000000 | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='1' | fill=00000000 | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='2' | fill=00000000 | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE6 | value='2' | fill=00000000 | rows=[5] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF6 | value='5' | fill=00000000 | rows=[5] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG6 | value='5' | fill=00000000 | rows=[5] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH6 | value='5' | fill=00000000 | rows=[5] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI6 | value='5' | fill=00000000 | rows=[5] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ6 | value='5' | fill=00000000 | rows=[5] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK6 | value='5' | fill=00000000 | rows=[5] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL6 | value='5' | fill=00000000 | rows=[5] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM6 | value='5' | fill=00000000 | rows=[5] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN6 | value='2' | fill=00000000 | rows=[5] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO6 | value='2' | fill=00000000 | rows=[5] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP6 | value='3' | fill=00000000 | rows=[5] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ6 | value='2' | fill=00000000 | rows=[5] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR6 | value='5' | fill=00000000 | rows=[5] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS6 | value='1' | fill=00000000 | rows=[5] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT6 | value='3.93333333333333' | fill=00000000 | rows=[5] | cols=[45] | col_header=False | row_header=False | metadata=False
