=== society-table44.xlsx ===
Cell A1 | value='HIDDEN' | fill=00000000 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell J7 | value='0' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0' | fill=2 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='0' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0' | fill=None | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B8 | value='4' | fill=9 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='5' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E8 | value='FP - Implants' | fill=FF00B050 | rows=[7] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F8 | value='0' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0' | fill=2 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0' | fill=2 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='0' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0' | fill=None | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A9 | value='x' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='5' | fill=9 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='6' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E9 | value='FP - IUD' | fill=FF00B050 | rows=[8] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F9 | value='0.04368497' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.0279583808' | fill=None | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.0279583808' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0.032431721728' | fill=2 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0.039316473' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.04560710868' | fill=2 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='9500' | fill=None | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='6100' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='6200' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='7200' | fill=None | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='8700' | fill=None | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='10100' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A10 | value='x' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='6' | fill=9 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='2' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E10 | value='FP - Female Sterilization' | fill=FF00B050 | rows=[9] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F10 | value='0' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='0' | fill=2 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='0' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0' | fill=2 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='0' | fill=None | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='0' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='0' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='0' | fill=None | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='0' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='0' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B11 | value='7' | fill=9 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='3' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E11 | value='FP - Male Sterilization' | fill=FF00B050 | rows=[10] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F11 | value='0' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0' | fill=2 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0' | fill=2 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='0' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0' | fill=None | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='0' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A12 | value='x' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='8' | fill=9 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='8' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E12 | value='FP - Traditional Methods + Other' | fill=FF00B050 | rows=[11] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F12 | value='0.11025259' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0.11025259' | fill=FF9999FF | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0.11025259' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0.1124576418' | fill=2 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0.099227331' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0.11510370396' | fill=2 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='60600' | fill=None | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='61100' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='61400' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='62700' | fill=None | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='55300' | fill=None | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='64100' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A13 | value='x' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='9' | fill=5 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='14' | fill=5 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='Pregnancy/ Antenatal' | fill=FF00B050 | rows=[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24] | cols=[3] | col_header=False | row_header=True | metadata=False
Cell E13 | value='Antenatal care (at least 1 visit)' | fill=FF00B050 | rows=[12] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F13 | value='0.675' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='0.53325' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0.53325' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='0.61857' | fill=2 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.6075' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='0.7047' | fill=2 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='720700' | fill=None | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='566200' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='564100' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='654400' | fill=None | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='642700' | fill=None | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='745500' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A14 | value='x' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='10' | fill=5 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='15' | fill=5 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Antenatal care (at least 4 visits)' | fill=FF00B050 | rows=[13] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F14 | value='0.301' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0.23779' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0.23779' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='0.2758364' | fill=2 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='0.2709' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='0.314244' | fill=2 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='321400' | fill=None | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='252500' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='251600' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='291800' | fill=None | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='286600' | fill=None | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='332500' | fill=None | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A15 | value='x' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='11' | fill=5 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='16' | fill=5 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E15 | value='TT - Tetanus toxoid vaccination' | fill=FF00B050 | rows=[14] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F15 | value='0.88' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='0.6952' | fill=None | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0.6952' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='0.806432' | fill=2 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='0.792' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='0.91872' | fill=2 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='939500' | fill=None | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='738200' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='735500' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='853200' | fill=None | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='837900' | fill=None | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='972000' | fill=None | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B16 | value='12' | fill=5 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='17' | fill=5 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E16 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=FF00B050 | rows=[15] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F16 | value='0' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='0' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0' | fill=2 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='0' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='0' | fill=2 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='0' | fill=None | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='0' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='0' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='0' | fill=None | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0' | fill=None | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='0' | fill=None | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A17 | value='x' | fill=00000000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='13' | fill=5 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='18' | fill=5 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E17 | value='Syphilis detection and treatment' | fill=FF00B050 | rows=[16] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F17 | value='0.167' | fill=None | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='0.13193' | fill=None | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0.13193' | fill=None | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='0.1530388' | fill=2 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0.1503' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='0.174348' | fill=2 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='178300' | fill=None | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='140100' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='139600' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='161900' | fill=None | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='159000' | fill=None | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='184500' | fill=None | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B18 | value='14' | fill=5 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='19' | fill=5 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E18 | value='Calcium supplementation' | fill=FF00B050 | rows=[17] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F18 | value='0' | fill=None | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='0' | fill=None | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0' | fill=None | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='0' | fill=2 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='0' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='0' | fill=2 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='0' | fill=None | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='0' | fill=None | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='0' | fill=None | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='0' | fill=None | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='0' | fill=None | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='0' | fill=None | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A19 | value='x' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='15' | fill=5 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='20' | fill=5 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E19 | value='Iron and folate supplementation in pregnancy' | fill=FF00B050 | rows=[18] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F19 | value='0.052' | fill=None | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='0.04108' | fill=None | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='0.04108' | fill=None | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
