=== society-table21.xlsx ===
Cell A1 | value='MNCH Interventions by Target Population - As organized in this Model' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C13 | value='11' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='16' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B14 | value='IPTp - Intermittent preventive treatment of malaria during pregnancy' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='12' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='17' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Syphilis detection and treatment' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='13' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='18' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Calcium supplementation' | fill=FF00B050 | rows=[15] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C16 | value='14' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='19' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Iron and folate supplementation in pregnancy' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='15' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='20' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Multiple micronutrient supplementation in pregnancy' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='16' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='21' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Balanced energy supplementation' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='17' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='22' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Hypertensive disorder case management' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C20 | value='18' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='23' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Diabetes case management' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C21 | value='19' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='24' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Malaria case management' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='20' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='25' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B23 | value='MgSO4 management of pre-eclampsia' | fill=FF00B050 | rows=[22] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C23 | value='21' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='26' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Delivery Care/ 
BEmoC/ 
CEmOC' | fill=FF00B050 | rows=[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='Health Facility Delivery' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='22' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='27' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Clean birth environment' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='23' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='28' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Manual removal of placenta' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='24' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='32' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B27 | value='MgSO4 management of eclampsia' | fill=FF00B050 | rows=[26] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C27 | value='25' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='33' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Antibiotics for preterm or prolonged PROM' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='26' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='34' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Parenteral administration of antibiotics' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='27' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='35' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Assisted vaginal delivery' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='28' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='36' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Active management of third stage of labor (AMTSL)' | fill=FF00B050 | rows=[30] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C31 | value='29' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='38' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Removal of retained products of conception' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='30' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='39' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Induction of labor for pregnancies lasting 41+ weeks' | fill=FF00B050 | rows=[32] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C33 | value='31' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='40' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Antenatal corticosteroids for preterm labor' | fill=FF00B050 | rows=[33] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C34 | value='32' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='41' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Maternal sepsis case management' | fill=FF00B050 | rows=[34] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C35 | value='33' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='65' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Safe abortion services' | fill=FF00B050 | rows=[35] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C36 | value='34' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='10' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Post abortion case management' | fill=FF00B050 | rows=[36] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C37 | value='35' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='11' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Cesarean delivery' | fill=FF00B050 | rows=[37] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C38 | value='36' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='42' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B39 | value='Blood transfusion' | fill=FF00B050 | rows=[38] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C39 | value='37' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='43' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B40 | value='Ectopic pregnancy case management' | fill=FF00B050 | rows=[39] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C40 | value='38' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='12' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Newborn Care' | fill=FF00B050 | rows=[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B41 | value='Immediate drying and additional stimulation' | fill=FF00B050 | rows=[40] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C41 | value='39' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='29' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B42 | value='Thermal protection' | fill=FF00B050 | rows=[41] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C42 | value='40' | fill=00000000 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='30' | fill=00000000 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B43 | value='Clean cord care' | fill=FF00B050 | rows=[42] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C43 | value='41' | fill=00000000 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='31' | fill=00000000 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B44 | value='Neonatal resuscitation' | fill=FF00B050 | rows=[43] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C44 | value='42' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='37' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B45 | value='Case management of premature babies' | fill=FF00B050 | rows=[44] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell B46 | value='Kangaroo-Mother Care (KMC)' | fill=FF00B050 | rows=[45] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C46 | value='43' | fill=00000000 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='66' | fill=00000000 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Full supportive care of prematurity' | fill=FF00B050 | rows=[46] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C47 | value='44' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='67' | fill=00000000 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Case management of neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[47] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell B49 | value='Oral antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[48] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C49 | value='45' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='68' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Injectable antibiotics for neonatal sepsis' | fill=FF00B050 | rows=[49] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C50 | value='46' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='69' | fill=00000000 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B51 | value='Full supportive care for neonatal sepsis/pneumonia' | fill=FF00B050 | rows=[50] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C51 | value='47' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='70' | fill=00000000 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A52 | value='Breastfeeding' | fill=FF00B050 | rows=[51, 52, 53] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B52 | value='Breastfeeding' | fill=FF00B050 | rows=[51] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C52 | value='48' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='44' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B53 | value='Complementary feeding - Education only' | fill=FF00B050 | rows=[52] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C53 | value='49' | fill=00000000 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D53 | value='45' | fill=00000000 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B54 | value='Complementary feeding - Supplementary feeding + Education' | fill=FF00B050 | rows=[53] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C54 | value='50' | fill=00000000 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D54 | value='46' | fill=00000000 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A55 | value='Vaccines' | fill=FF00B050 | rows=[54] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B55 | value='BCG - Single dose' | fill=FF00B050 | rows=[54] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C55 | value='51' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='55' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Polio - Three doses' | fill=FF00B050 | rows=[55] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C56 | value='52' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='56' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Pentavalent' | fill=FF00B050 | rows=[56] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell B58 | value='DPT - Three doses' | fill=FF00B050 | rows=[57] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C58 | value='53' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D58 | value='57' | fill=00000000 | rows=[57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Hib - Three doses' | fill=FF00B050 | rows=[58] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C59 | value='54' | fill=00000000 | rows=[58] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='58' | fill=00000000 | rows=[58] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B60 | value='HepB - Three doses' | fill=FF00B050 | rows=[59] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C60 | value='55' | fill=00000000 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D60 | value='59' | fill=00000000 | rows=[59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Pneumococcal - Three doses' | fill=FF00B050 | rows=[60] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C61 | value='56' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D61 | value='60' | fill=00000000 | rows=[60] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Rotavirus - Two doses' | fill=FF00B050 | rows=[61] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C62 | value='57' | fill=00000000 | rows=[61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D62 | value='61' | fill=00000000 | rows=[61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B63 | value='Meningococcal A - Single dose' | fill=FF00B050 | rows=[62] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C63 | value='58' | fill=00000000 | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D63 | value='62' | fill=00000000 | rows=[62] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B64 | value='Malaria vaccine - Three doses' | fill=FF00B050 | rows=[63] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C64 | value='59' | fill=00000000 | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D64 | value='63' | fill=00000000 | rows=[63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B65 | value='Measles - Single dose' | fill=FF00B050 | rows=[64] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C65 | value='60' | fill=00000000 | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D65 | value='64' | fill=00000000 | rows=[64] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A66 | value='Child Health' | fill=FF00B050 | rows=[65, 66, 67, 68, 69, 70, 71, 72] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B66 | value='Vitamin A supplementation' | fill=FF00B050 | rows=[65] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C66 | value='61' | fill=00000000 | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D66 | value='47' | fill=00000000 | rows=[65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B67 | value='Zinc supplementation' | fill=FF00B050 | rows=[66] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C67 | value='62' | fill=00000000 | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D67 | value='48' | fill=00000000 | rows=[66] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B68 | value='ORS - Oral Rehydration Solution' | fill=FF00B050 | rows=[67] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C68 | value='63' | fill=00000000 | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D68 | value='71' | fill=00000000 | rows=[67] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B69 | value='Antibiotics for treatment of dysentery' | fill=FF00B050 | rows=[68] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C69 | value='64' | fill=00000000 | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D69 | value='72' | fill=00000000 | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B70 | value='Zinc for treatment of diarrhea' | fill=FF00B050 | rows=[69] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C70 | value='65' | fill=00000000 | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D70 | value='73' | fill=00000000 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Oral antibiotics for pneumonia' | fill=FF00B050 | rows=[70] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C71 | value='66' | fill=00000000 | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D71 | value='74' | fill=00000000 | rows=[70] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B72 | value='Vitamin A for treatment of measles' | fill=FF00B050 | rows=[71] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C72 | value='67' | fill=00000000 | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D72 | value='75' | fill=00000000 | rows=[71] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B73 | value='ACTs - Artemisinin compounds for treatment of malaria' | fill=FF00B050 | rows=[72] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C73 | value='68' | fill=00000000 | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D73 | value='76' | fill=00000000 | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A74 | value='Malnutrition' | fill=FF00B050 | rows=[73, 74] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B74 | value='SAM - treatment for severe acute malnutrition' | fill=FF00B050 | rows=[73] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C74 | value='69' | fill=00000000 | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D74 | value='77' | fill=00000000 | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell B75 | value='MAM - treatment for moderate acute malnutrition' | fill=FF00B050 | rows=[74] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C75 | value='70' | fill=00000000 | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D75 | value='78' | fill=00000000 | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A76 | value='Other' | fill=FF00B050 | rows=[75] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B76 | value='ITN/IRS - Households protected from malaria' | fill=FF00B050 | rows=[75] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C76 | value='71' | fill=00000000 | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D76 | value='54' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A78 | value='Not included in this model since outside the health system:' | fill=FF00B0F0 | rows=[77] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A79 | value='Basic sanitation' | fill=FF00B0F0 | rows=[78] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B79 | value='Hand washing with soap' | fill=FF00B0F0 | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A80 | value='Point-of-use filtered water' | fill=FF00B0F0 | rows=[79] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B80 | value='Hygienic disposal of children's stools' | fill=FF00B0F0 | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell A81 | value='Piped water' | fill=FF00B0F0 | rows=[80] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B81 | value='Folic acid supplementation/fortification' | fill=FF00B0F0 | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=True

