=== economy-table107.xlsx ===
Cell A1 | value='Table 10. Digital Economy Real Gross Output by Industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=True | metadata=True
Cell H5 | value='733.005522851645' | fill=None | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='876.689910065654' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='1017.24457957559' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='1029.19326155452' | fill=None | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='991.232909609599' | fill=None | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='1015.82103142455' | fill=None | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='1077.50725278798' | fill=None | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='1166.0465365513' | fill=None | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='1247.65324293319' | fill=None | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='1337.60481413507' | fill=None | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='1405.91065276003' | fill=None | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='1379.15371528878' | fill=None | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='1479.44514861699' | fill=None | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='1569.34137869869' | fill=None | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='1647.54585660448' | fill=None | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='1703.94242968288' | fill=None | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='1796.02722939386' | fill=None | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='1885.65327130439' | fill=None | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='2010.88817422246' | fill=None | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='2140.41649221179' | fill=None | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C6 | value='Agriculture and mining' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0.476415465276943' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0.35218997486261' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0.315855458846402' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='0.312463836308892' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0.290566892178508' | fill=None | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='0.0915880767905235' | fill=None | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='0.0830416114992736' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='0.0950885219576172' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0.114818113208312' | fill=None | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='0.132066848997522' | fill=None | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='0.167256989597533' | fill=None | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='0.12485239958536' | fill=None | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='0.119360139333639' | fill=None | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='0.145237533563784' | fill=None | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='0.153186654459746' | fill=None | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='0.200467097140666' | fill=None | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='0.173857738350408' | fill=None | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='0.260216799493558' | fill=None | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='0.235991821512467' | fill=None | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='0.214466679930339' | fill=None | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='0.150432589385041' | fill=None | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Utilities' | fill=None | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.431043698314767' | fill=None | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.297230522188242' | fill=None | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0.440303066664802' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0.576984566159085' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.58039614606678' | fill=None | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='0.38495606369879' | fill=None | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0.401513342030542' | fill=None | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.413601575077048' | fill=None | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.406772691440613' | fill=None | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.366061389237368' | fill=None | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0.446286130721092' | fill=None | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='0.510102267425673' | fill=None | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='0.511733526598131' | fill=None | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='0.452693133667584' | fill=None | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='0.445360725404175' | fill=None | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0.421484041462311' | fill=None | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='0.415393383111244' | fill=None | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='0.438421225759737' | fill=None | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='0.488139809441026' | fill=None | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='0.5026645348106' | fill=None | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='0.516656278964399' | fill=None | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C8 | value='Construction' | fill=None | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.612663428839904' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0.475680004931786' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0.575535688711825' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='0.468454526567136' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.265397957506866' | fill=None | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='0.207611004953329' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='0.185544250846403' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='0.186844256615503' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0.173380011890088' | fill=None | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='0.167994275117732' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0.181435587061285' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='0.19884271032523' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='0.19972492576931' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='0.164816663132845' | fill=None | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='0.16888456471073' | fill=None | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='0.217598167864854' | fill=None | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='0.233161745748381' | fill=None | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='0.238967627909166' | fill=None | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='0.255080096895298' | fill=None | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='0.336663042307389' | fill=None | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='0.418312196560059' | fill=None | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Manufacturing' | fill=None | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell G9 | value='76.2514365638889' | fill=None | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='94.3595104152142' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='119.205516460765' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='153.815880000225' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='146.277881319882' | fill=None | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='124.416092969545' | fill=None | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='136.548151535146' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='147.183633154305' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='163.934643778129' | fill=None | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='185.608477307098' | fill=None | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='200.636783898014' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='207.832894756323' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='177.144591186877' | fill=None | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='188.341077322238' | fill=None | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='189.984487754619' | fill=None | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='182.068935398037' | fill=None | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='184.223372010581' | fill=None | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='183.4101811318' | fill=None | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y9 | value='195.290877693523' | fill=None | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z9 | value='194.742481981796' | fill=None | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA9 | value='207.505225756536' | fill=None | rows=[8] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell D10 | value='Durable goods' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G10 | value='74.8276488801298' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='94.3595104152142' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='119.205516460765' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='153.815880000225' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='146.277881319882' | fill=None | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='124.416092969545' | fill=None | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='136.548151535146' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='147.183633154305' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='163.934643778129' | fill=None | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='185.608477307098' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='200.636783898014' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='207.832894756323' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='177.144591186877' | fill=None | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='188.341077322238' | fill=None | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='189.984487754619' | fill=None | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='182.068935398037' | fill=None | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='184.223372010581' | fill=None | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='183.4101811318' | fill=None | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='195.290877693523' | fill=None | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='194.742481981796' | fill=None | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA10 | value='207.505225756536' | fill=None | rows=[9] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Wood products' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0.0555734129165835' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.0450128621578939' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0.0501962425893033' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='0.0409695563433427' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.0313300015392673' | fill=None | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='0.0166836935391338' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='0.0133740338615887' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0.0161406259355823' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.0103660627142711' | fill=None | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0.0228769995530269' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='0.0241682662774147' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.0255706163239538' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='0.00784373118608624' | fill=None | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='0.00882976603318843' | fill=None | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='0.0091030492893973' | fill=None | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0.0179150733' | fill=None | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='0.0163032023571853' | fill=None | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='0.0180527563531717' | fill=None | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y11 | value='0.0118633684649108' | fill=None | rows=[10] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z11 | value='0.0106561321984887' | fill=None | rows=[10] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA11 | value='0.0174244371018921' | fill=None | rows=[10] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Nonmetallic mineral products' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G12 | value='0.166708885755116' | fill=None | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0.125694092453667' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0.131767983305785' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='0.105227326518481' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='0.0906463365051117' | fill=None | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='0.0324883035317742' | fill=None | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='0.0216685997073915' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='0.0204384463004982' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='0.0209201453856292' | fill=None | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='0.0202584972149215' | fill=None | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='0.0207987385349494' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='0.046030920839377' | fill=None | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='0.0447073669791768' | fill=None | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='0.0445820978872453' | fill=None | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='0.0325603204477141' | fill=None | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='0.170289915825327' | fill=None | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='0.240285662998037' | fill=None | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X12 | value='0.236527545404315' | fill=None | rows=[11] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y12 | value='0.286750019904115' | fill=None | rows=[11] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z12 | value='0.305587943610259' | fill=None | rows=[11] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA12 | value='0.337368419708392' | fill=None | rows=[11] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Primary metals' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G13 | value='0.292578784598421' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0.304600993976023' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='0.251842674016599' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.153067063183437' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='0.195440319172355' | fill=None | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='0.290481233146568' | fill=None | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='0.225850256326119' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='0.278466480416309' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='0.322492728468452' | fill=None | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='0.305465229735848' | fill=None | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='0.146654546337721' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='0.461800362759652' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='0.561227355044822' | fill=None | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='0.845164709931689' | fill=None | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='0.837940023385748' | fill=None | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='0.324239510466262' | fill=None | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='0.322064154150033' | fill=None | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X13 | value='0.416697413409695' | fill=None | rows=[12] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y13 | value='0.392087383184018' | fill=None | rows=[12] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z13 | value='0.367791189477538' | fill=None | rows=[12] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA13 | value='0.428253171686985' | fill=None | rows=[12] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Fabricated metal products' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0.636147692176956' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
