=== society-table71.xlsx ===
Cell C1 | value='JSA Adverse Decision Level' | fill=FFFFFF00 | rows=[0] | cols=[2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=False | metadata=False
Cell K5 | value='-' | fill=9 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B6 | value='18-24 years of age' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='94726' | fill=9 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='23071' | fill=9 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='15293' | fill=9 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='67361' | fill=9 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='14451' | fill=9 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='4514' | fill=9 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='24593' | fill=9 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='1844' | fill=9 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='515' | fill=9 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B7 | value='25-29  years of age' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='35309' | fill=9 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='8312' | fill=9 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='5357' | fill=9 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='25999' | fill=9 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='5716' | fill=9 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='1568' | fill=9 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='10576' | fill=9 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='532' | fill=9 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='152' | fill=9 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B8 | value='30-34  years of age' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='24098' | fill=9 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='4994' | fill=9 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='3526' | fill=9 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='19177' | fill=9 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='4126' | fill=9 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='1222' | fill=9 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='6679' | fill=9 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='342' | fill=9 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='103' | fill=9 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B9 | value='35-39  years of age' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='17563' | fill=9 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='3483' | fill=9 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='2431' | fill=9 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='15595' | fill=9 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='3529' | fill=9 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='1128' | fill=9 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='4813' | fill=9 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='266' | fill=9 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='55' | fill=9 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B10 | value='40-44 years of age' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='16080' | fill=9 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='3166' | fill=9 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='2112' | fill=9 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='15529' | fill=9 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='3611' | fill=9 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='1134' | fill=9 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='4709' | fill=9 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='237' | fill=9 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='42' | fill=9 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B11 | value='45-49 years of age' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='13385' | fill=9 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='2501' | fill=9 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='1678' | fill=9 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='14361' | fill=9 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='3393' | fill=9 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='1219' | fill=9 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='4276' | fill=9 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='207' | fill=9 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='47' | fill=9 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B12 | value='50-54 years of age' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='9370' | fill=9 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='1512' | fill=9 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='1019' | fill=9 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='11225' | fill=9 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2640' | fill=9 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='1000' | fill=9 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='3463' | fill=9 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='135' | fill=9 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='39' | fill=9 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B13 | value='55-59 years of age' | fill=FF00B050 | rows=[12] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C13 | value='5657' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='848' | fill=9 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='508' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='8537' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='2040' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='799' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='2273' | fill=9 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='96' | fill=9 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='25' | fill=9 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B14 | value='60 and over' | fill=FF00B050 | rows=[13] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C14 | value='1607' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='203' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='123' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='2573' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='575' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='206' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='703' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='23' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='5' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Unknown' | fill=FF00B050 | rows=[14] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C15 | value='299' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='75' | fill=9 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='47' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='296' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='79' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='35' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='66' | fill=9 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='5' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='-' | fill=9 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Ethnicity' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='White' | fill=FF00B050 | rows=[16] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C17 | value='162001' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='35333' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='23895' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='130278' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='27868' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='8602' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='49393' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='2851' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='759' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Asian or Asian British' | fill=FF00B050 | rows=[17] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C18 | value='12855' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='2407' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='1283' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='13498' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='3199' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='1089' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='3278' | fill=9 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='232' | fill=9 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='58' | fill=9 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Black or Black British' | fill=FF00B050 | rows=[18] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C19 | value='17103' | fill=9 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='4143' | fill=9 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='2444' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='13689' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='2783' | fill=9 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='819' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='2859' | fill=9 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='196' | fill=9 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='43' | fill=9 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Mixed' | fill=FF00B050 | rows=[19] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C20 | value='5631' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='1420' | fill=9 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='798' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='4060' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='799' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='257' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='1124' | fill=9 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='69' | fill=9 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='19' | fill=9 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Other/ Chinese' | fill=FF00B050 | rows=[20] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C21 | value='4410' | fill=9 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='784' | fill=9 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='400' | fill=9 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='5534' | fill=9 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='1397' | fill=9 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='655' | fill=9 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='1007' | fill=9 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='79' | fill=9 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='19' | fill=9 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Unknown' | fill=FF00B050 | rows=[21] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C22 | value='16365' | fill=9 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='3469' | fill=9 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='2247' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='13783' | fill=9 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='3846' | fill=9 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='1356' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='4533' | fill=9 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='325' | fill=9 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='103' | fill=9 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Gender' | fill=FF00B050 | rows=[23] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B24 | value='Male' | fill=FF00B050 | rows=[23] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C24 | value='157743' | fill=9 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='35973' | fill=9 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='23864' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='128597' | fill=9 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='28874' | fill=9 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='9158' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='41971' | fill=9 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='2702' | fill=9 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='737' | fill=9 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Female' | fill=FF00B050 | rows=[24] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C25 | value='60608' | fill=9 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='10947' | fill=9 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='6737' | fill=9 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='52239' | fill=9 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='10628' | fill=9 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='3126' | fill=9 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='20212' | fill=9 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='934' | fill=9 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='231' | fill=9 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Unknown' | fill=FF00B050 | rows=[25] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C26 | value='12' | fill=9 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-' | fill=9 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='-' | fill=9 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='5' | fill=9 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='-' | fill=9 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='-' | fill=9 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='-' | fill=9 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='-' | fill=9 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='-' | fill=9 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Disability' | fill=FF00B050 | rows=[27] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B28 | value='Disability - Yes' | fill=FF00B050 | rows=[27] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C28 | value='41680' | fill=9 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='8999' | fill=9 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='6057' | fill=9 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='38869' | fill=9 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='9087' | fill=9 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='3022' | fill=9 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='8446' | fill=9 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='585' | fill=9 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='164' | fill=9 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Disability - No' | fill=FF00B050 | rows=[28] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C29 | value='176657' | fill=9 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='37917' | fill=9 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='24537' | fill=9 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='141953' | fill=9 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='30415' | fill=9 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='9258' | fill=9 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='53734' | fill=9 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='3053' | fill=9 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='802' | fill=9 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Unknown' | fill=FF00B050 | rows=[29] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C30 | value='23' | fill=9 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='-' | fill=9 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='-' | fill=9 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='16' | fill=9 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='-' | fill=9 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='-' | fill=9 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='-' | fill=9 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='-' | fill=9 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='-' | fill=9 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Regional Group' | fill=FF00B050 | rows=[31] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B32 | value='Central England' | fill=FF00B050 | rows=[31] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C32 | value='45499' | fill=9 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='9041' | fill=9 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='5477' | fill=9 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='39635' | fill=9 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='11687' | fill=9 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='4005' | fill=9 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='14863' | fill=9 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
